Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Aryaman Scene,Aryaman Function,Aryaman Notes,Sasha Scene,Sasha Function,Sasha Notes,#REF!,,,,,,,,,,,,,lpp_8
# sent_id = lpp_1943.367,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chapter,,,,,,,,,,,,,,,,,,,,,,,,
2,8,,,,,,,,,,,,,,,,,,,,,,,,
3,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.368,,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,,,,,,,,,,,,,,,,,,,
2,soon,,,,,,,,,,,,,,,,,,,,,,,,
3,learned,,,,,,,,,,,,,,,,,,,,,,,,
4,to,,`i,`i,,`i,`i,,`i,`i,,,,,,,,,,,,,,,
5,know,,,,,,,,,,,,,,,,,,,,,,,,
6,this,,,,,,,,,,,,,,,,,,,,,,,,
7,flower,,,,,,,,,,,,,,,,,,,,,,,,
8,better,,,,,,,,,,,,,,,,,,,,,,,,
9,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.369,,,,,,,,,,,,,,,,,,,,,,,,,
1,On,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
2,the,,,,,,,,,,,,,,,,,,,,,,,,
3,little,,,,,,,,,,,,,,,,,,,,,,,,
4,prince,,,,,,,,,,,,,,,,,,,,,,,,
5,'s,*,Gestalt,Gestalt,,Gestalt,Gestalt,,Gestalt,Gestalt,,,,,,,,,,,,,,,
6,planet,,,,,,,,,,,,,,,,,,,,,,,,
7,the,,,,,,,,,,,,,,,,,,,,,,,,
8,flowers,,,,,,,,,,,,,,,,,,,,,,,,
9,had,,,,,,,,,,,,,,,,,,,,,,,,
10,always,,,,,,,,,,,,,,,,,,,,,,,,
11,been,,,,,,,,,,,,,,,,,,,,,,,,
12,very,,,,,,,,,,,,,,,,,,,,,,,,
13,simple,,,,,,,,,,,,,,,,,,,,,,,,
14,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.370,,,,,,,,,,,,,,,,,,,,,,,,,
1,They,,,,,,,,,,,,,,,,,,,,,,,,
2,had,,,,,,,,,,,,,,,,,,,,,,,,
3,only,,,,,,,,,,,,,,,,,,,,,,,,
4,one,,,,,,,,,,,,,,,,,,,,,,,,
5,ring,,,,,,,,,,,,,,,,,,,,,,,,
6,of,*,QuantityItem,Stuff,*Q*,Gestalt,Gestalt,"the opposite would be Characteristic~Locus ""petals in a ring""",Stuff,Stuff,?,,,,,,,,,,,,,,
7,petals,,,,,,,,,,,,,,,,,,,,,,,,
8,;,,,,,,,,,,,,,,,,,,,,,,,,
9,they,,,,,,,,,,,,,,,,,,,,,,,,
10,took,,,,,,,,,,,,,,,,,,,,,,,,
11,up,,,,,,,,,,,,,,,,,,,,,,,,
12,no,,,,,,,,,,,,,,,,,,,,,,,,
13,room,,,,,,,,,,,,,,,,,,,,,,,,
14,at,1:1**,Extent,Extent,,Extent,Extent,,Extent,Extent,,,,,,,,,,,,,,,
15,all,1:2,,,,,,,,,,,,,,,,,,,,,,,
16,;,,,,,,,,,,,,,,,,,,,,,,,,
17,they,,,,,,,,,,,,,,,,,,,,,,,,
18,were,,,,,,,,,,,,,,,,,,,,,,,,
19,a,,,,,,,,,,,,,,,,,,,,,,,,
20,trouble,,,,,,,,,,,,,,,,,,,,,,,,
21,to,*,Beneficiary,Goal,,Experiencer,Goal,or Beneficiary?,Beneficiary,Goal,ig?,,,,,,,,,,,,,,
22,nobody,,,,,,,,,,,,,,,,,,,,,,,,
23,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.371,,,,,,,,,,,,,,,,,,,,,,,,,
1,One,,,,,,,,,,,,,,,,,,,,,,,,
2,morning,,,,,,,,,,,,,,,,,,,,,,,,
3,they,,,,,,,,,,,,,,,,,,,,,,,,
4,would,,,,,,,,,,,,,,,,,,,,,,,,
5,appear,,,,,,,,,,,,,,,,,,,,,,,,
6,in,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
7,the,,,,,,,,,,,,,,,,,,,,,,,,
8,grass,,,,,,,,,,,,,,,,,,,,,,,,
9,",",,,,,,,,,,,,,,,,,,,,,,,,
10,and,,,,,,,,,,,,,,,,,,,,,,,,
11,by,*,EndTime,EndTime,,Time,Time,,EndTime,EndTime,,,,,,,,,,,,,,,
12,night,,,,,,,,,,,,,,,,,,,,,,,,
13,they,,,,,,,,,,,,,,,,,,,,,,,,
14,would,,,,,,,,,,,,,,,,,,,,,,,,
15,have,,,,,,,,,,,,,,,,,,,,,,,,
16,faded,,,,,,,MWE1,,,,,,,,,,,,,,,,,
17,peacefully,,,,,,,,,,,,,,,,,,,,,,,,
18,away,*,Goal,Direction,*Q*,NONSNACS,NONSNACS,MWE1,Direction,Direction,(fictive motion ??),,,,,,,,,,,,,,
19,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.372,,,,,,,,,,,,,,,,,,,,,,,,,
1,But,,,,,,,,,,,,,,,,,,,,,,,,
2,one,,,,,,,,,,,,,,,,,,,,,,,,
3,day,,,,,,,,,,,,,,,,,,,,,,,,
4,",",,,,,,,,,,,,,,,,,,,,,,,,
5,from,*,Source,Source,,Source,Source,,Source,Source,,,,,,,,,,,,,,,
6,a,,,,,,,,,,,,,,,,,,,,,,,,
7,seed,,,,,,,,,,,,,,,,,,,,,,,,
8,blown,,,,,,,,,,,,,,,,,,,,,,,,
9,from,*,Source,Source,,Source,Source,,Source,Locus,?,,,,,,,,,,,,,,
10,no,,,,,,,,,,,,,,,,,,,,,,,,
11,one,,,,,,,,,,,,,,,,,,,,,,,,
12,knew,,,,,,,,,,,,,,,,,,,,,,,,
13,where,,,,,,,,,,,,,,,,,,,,,,,,
14,",",,,,,,,,,,,,,,,,,,,,,,,,
15,a,,,,,,,,,,,,,,,,,,,,,,,,
16,new,,,,,,,,,,,,,,,,,,,,,,,,
17,flower,,,,,,,,,,,,,,,,,,,,,,,,
18,had,,,,,,,,,,,,,,,,,,,,,,,,
19,come,,,,,,,,,,,,,,,,,,,,,,,,
20,up,,,,,,,,,,,,,,,,,,,,,,,,
21,;,,,,,,,,,,,,,,,,,,,,,,,,
22,and,,,,,,,,,,,,,,,,,,,,,,,,
23,the,,,,,,,,,,,,,,,,,,,,,,,,
24,little,,,,,,,,,,,,,,,,,,,,,,,,
25,prince,,,,,,,,,,,,,,,,,,,,,,,,
26,had,,,,,,,,,,,,,,,,,,,,,,,,
27,watched,,NONSNACS,NONSNACS,MWE1,,,,,,,,,,,,,,,,,,,,
28,very,,,,,,,,,,,,,,,,,,,,,,,,
29,closely,,,,,,,,,,,,,,,,,,,,,,,,
30,over,*,NONSNACS,NONSNACS,MWE1,Stimulus,Direction,"maybe ""watch over"" is an MWE, but cf. ""look over"" (diff meaning tho)",,,uhhhhhhh,,,,,,,,,,,,,,
31,this,,,,,,,,,,,,,,,,,,,,,,,,
32,small,,,,,,,,,,,,,,,,,,,,,,,,
33,sprout,,,,,,,,,,,,,,,,,,,,,,,,
34,which,,,,,,,,,,,,,,,,,,,,,,,,
35,was,,,,,,,,,,,,,,,,,,,,,,,,
36,not,,,,,,,,,,,,,,,,,,,,,,,,
37,like,*,ComparisonRef,ComparisonRef,,ComparisonRef,ComparisonRef,,ComparisonRef,ComparisonRef,,,,,,,,,,,,,,,
38,any,,,,,,,,,,,,,,,,,,,,,,,,
39,other,,,,,,,,,,,,,,,,,,,,,,,,
40,small,,,,,,,,,,,,,,,,,,,,,,,,
41,sprouts,,,,,,,,,,,,,,,,,,,,,,,,
42,on,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
43,his,*,Gestalt,Gestalt,,Gestalt,Gestalt,,Gestalt,Gestalt,,,,,,,,,,,,,,,
44,planet,,,,,,,,,,,,,,,,,,,,,,,,
45,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.373,,,,,,,,,,,,,,,,,,,,,,,,,
1,It,,,,,,,,,,,,,,,,,,,,,,,,
2,might,,,,,,,,,,,,,,,,,,,,,,,,
3,",",,,,,,,,,,,,,,,,,,,,,,,,
4,you,,,,,,,,,,,,,,,,,,,,,,,,
5,see,,,,,,,,,,,,,,,,,,,,,,,,
6,",",,,,,,,,,,,,,,,,,,,,,,,,
7,have,,,,,,,,,,,,,,,,,,,,,,,,
8,been,,,,,,,,,,,,,,,,,,,,,,,,
9,a,,,,,,,,,,,,,,,,,,,,,,,,
10,new,,,,,,,,,,,,,,,,,,,,,,,,
11,kind,,,,,,,,,,,,,,,,,,,,,,,,
12,of,,,,,,,,,,,,,,,,,,,,,,,,
13,baobab,,,,,,,,,,,,,,,,,,,,,,,,
14,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.374,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,shrub,,,,,,,,,,,,,,,,,,,,,,,,
3,soon,,,,,,,,,,,,,,,,,,,,,,,,
4,stopped,,,,,,,,,,,,,,,,,,,,,,,,
5,growing,,,,,,,,,,,,,,,,,,,,,,,,
6,",",,,,,,,,,,,,,,,,,,,,,,,,
7,and,,,,,,,,,,,,,,,,,,,,,,,,
8,began,,,,,,,,,,,,,,,,,,,,,,,,
9,to,,`i,`i,,`i,`i,,,,,,,,,,,,,,,,,,
10,get,,,,,,,,,,,,,,,,,,,,,,,,
11,ready,,,,,,,,,,,,,,,,,,,,,,,,
12,to,,`i,`i,,`i,`i,,,,,,,,,,,,,,,,,,
13,produce,,,,,,,,,,,,,,,,,,,,,,,,
14,a,,,,,,,,,,,,,,,,,,,,,,,,
15,flower,,,,,,,,,,,,,,,,,,,,,,,,
16,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.375,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,little,,,,,,,,,,,,,,,,,,,,,,,,
3,prince,,,,,,,,,,,,,,,,,,,,,,,,
4,",",,,,,,,,,,,,,,,,,,,,,,,,
5,who,,,,,,,,,,,,,,,,,,,,,,,,
6,was,,,,,,,,,,,,,,,,,,,,,,,,
7,present,,,,,,,,,,,,,,,,,,,,,,,,
8,at,*,Circumstance,Circumstance,*Q*,Circumstance,Circumstance,falls under an occassion? other option is Time,Time,Time,,,,,,,,,,,,,,,
9,the,,,,,,,,,,,,,,,,,,,,,,,,
10,first,,,,,,,,,,,,,,,,,,,,,,,,
11,appearance,,,,,,,,,,,,,,,,,,,,,,,,
12,of,*,Theme,Theme,,Theme,Theme,,Theme,Gestalt,?,,,,,,,,,,,,,,
13,a,,,,,,,,,,,,,,,,,,,,,,,,
14,huge,,,,,,,,,,,,,,,,,,,,,,,,
15,bud,,,,,,,,,,,,,,,,,,,,,,,,
16,",",,,,,,,,,,,,,,,,,,,,,,,,
17,felt,,,,,,,,,,,,,,,,,,,,,,,,
18,at,*,Time,Time,MWE,NONSNACS,NONSNACS,MWE,Time,Time,MWE?,,,,,,,,,,,,,,
19,once,,_,_,MWE,NONSNACS,NONSNACS,MWE,,,,,,,,,,,,,,,,,
20,that,,,,,,,,,,,,,,,,,,,,,,,,
21,some,,,,,,,,,,,,,,,,,,,,,,,,
22,sort,,,,,,,,,,,,,,,,,,,,,,,,
23,of,,,,,,,,,,,,,,,,,,,,,,,,
24,miraculous,,,,,,,,,,,,,,,,,,,,,,,,
25,apparition,,,,,,,,,,,,,,,,,,,,,,,,
26,must,,,,,,,,,,,,,,,,,,,,,,,,
27,emerge,,,,,,,,,,,,,,,,,,,,,,,,
