Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Aryaman Scene,Aryaman Function,Aryaman Notes,Sasha Scene,Sasha Function,Sasha Notes,,,,,,,,,,,,,,lpp_13
# sent_id = lpp_1943.648,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chapter,,,,,,,,,,,,,,,,,,,,,,,,
2,13,,,,,,,,,,,,,,,,,,,,,,,,
3,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.649,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,fourth,,,,,,,,,,,,,,,,,,,,,,,,
3,planet,,,,,,,,,,,,,,,,,,,,,,,,
4,belonged,,,,,,,,,,,,,,,,,,,,,,,,
5,to,,Possessor,,*Q*,Possessor,Goal,idk??,Theme,Theme,"im not committed to theme, but i put it later, so for the sake of consistency, i marked all ""belong to"" 'to's as theme ~ theme",,,,,,,,,,,,,,
6,a,,,,,,,,,,,,,,,,,,,,,,,,
7,businessman,,,,,,,,,,,,,,,,,,,,,,,,
8,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.650,,,,,,,,,,,,,,,,,,,,,,,,,
1,This,,,,,,,,,,,,,,,,,,,,,,,,
2,man,,,,,,,,,,,,,,,,,,,,,,,,
3,was,,,,,,,,,,,,,,,,,,,,,,,,
4,so,,,,,,,,,,,,,,,,,,,,,,,,
5,much,,,,,,,,,,,,,,,,,,,,,,,,
6,occupied,,,,,,,,,,,,,,,,,,,,,,,,
7,that,,,,,,,,,,,,,,,,,,,,,,,,
8,he,,,,,,,,,,,,,,,,,,,,,,,,
9,did,,,,,,,,,,,,,,,,,,,,,,,,
10,not,,,,,,,,,,,,,,,,,,,,,,,,
11,even,,,,,,,,,,,,,,,,,,,,,,,,
12,raise,,,,,,,,,,,,,,,,,,,,,,,,
13,his,*,Whole,Gestalt,,Whole,Gestalt,,Whole,Gestalt,,,,,,,,,,,,,,,
14,head,,,,,,,,,,,,,,,,,,,,,,,,
15,at,*,Explanation,Time,,Time,Time,Explanation~Time?,Stimulus,Causer,,,,,,,,,,,,,,,
16,the,,,,,,,,,,,,,,,,,,,,,,,,
17,little,,,,,,,,,,,,,,,,,,,,,,,,
18,prince,,,,,,,,,,,,,,,,,,,,,,,,
19,'s,*,Theme,Gestalt,,Theme,Theme,motion,Agent,Gestalt,,,,,,,,,,,,,,,
20,arrival,,,,,,,,,,,,,,,,,,,,,,,,
21,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.651,,,,,,,,,,,,,,,,,,,,,,,,,
