Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Aryaman Scene,Aryaman Function,Aryaman Notes,Sasha Scene,Sasha Function,Sasha Notes,,,,,,,,,,,,,,lpp_24
# sent_id = lpp_1943.1218,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chapter,,,,,,,,,,,,,,,,,,,,,,,,
2,24,,,,,,,,,,,,,,,,,,,,,,,,
3,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1219,,,,,,,,,,,,,,,,,,,,,,,,,
1,It,,,,,,,,,,,,,,,,,,,,,,,,
2,was,,,,,,,,,,,,,,,,,,,,,,,,
3,now,,,,,,,,,,,,,,,,,,,,,,,,
4,the,,,,,,,,,,,,,,,,,,,,,,,,
5,eighth,,,,,,,,,,,,,,,,,,,,,,,,
6,day,,,,,,,,,,,,,,,,,,,,,,,,
7,since,*,Time,Time,,Time,Time,,Time,Time,,,,,,,,,,,,,,,
8,I,,,,,,,,,,,,,,,,,,,,,,,,
9,had,,,,,,,,,,,,,,,,,,,,,,,,
10,had,,,,,,,,,,,,,,,,,,,,,,,,
11,my,*,Theme,Gestalt,,Theme,Gestalt,,Agent,Gestalt,???,,,,,,,,,,,,,,
12,accident,,,,,,,,,,,,,,,,,,,,,,,,
13,in,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
14,the,,,,,,,,,,,,,,,,,,,,,,,,
15,desert,,,,,,,,,,,,,,,,,,,,,,,,
16,",",,,,,,,,,,,,,,,,,,,,,,,,
17,and,,,,,,,,,,,,,,,,,,,,,,,,
18,I,,,,,,,,,,,,,,,,,,,,,,,,
19,had,,,,,,,,,,,,,,,,,,,,,,,,
20,listened,,,,,,,,,,,,,,,,,,,,,,,,
21,to,*,Stimulus,Goal,,Stimulus,Goal,,Stimulus,,**,,,,,,,,,,,,,,
22,the,,,,,,,,,,,,,,,,,,,,,,,,
23,story,,,,,,,,,,,,,,,,,,,,,,,,
24,of,*,Topic,Topic,,Topic,Topic,,Topic,Topic,,,,,,,,,,,,,,,
25,the,,,,,,,,,,,,,,,,,,,,,,,,
26,merchant,,,,,,,,,,,,,,,,,,,,,,,,
27,as,*,Circumstance,Circumstance,,Circumstance,Circumstance,unfolding same time?,Circumstance,Circumstance,,,,,,,,,,,,,,,
28,I,,,,,,,,,,,,,,,,,,,,,,,,
29,was,,,,,,,,,,,,,,,,,,,,,,,,
30,drinking,,,,,,,,,,,,,,,,,,,,,,,,
31,the,,,,,,,,,,,,,,,,,,,,,,,,
32,last,,,,,,,,,,,,,,,,,,,,,,,,
33,drop,,,,,,,,,,,,,,,,,,,,,,,,
34,of,*,Whole,Whole,,Whole,Whole,?? drop is a portion of the water supply,Whole,Whole,,,,,,,,,,,,,,,
35,my,*,Possessor,Possessor,,Possessor,Possessor,,Possessor,Possessor,,,,,,,,,,,,,,,
36,water,,,,,,,,,,,,,,,,,,,,,,,,
37,supply,,,,,,,,,,,,,,,,,,,,,,,,
38,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1220,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
