Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Emma Scene,Emma Function,Emma Notes,Aryaman Scene,Aryaman Function,Aryaman Notes,#REF!,,,,,,,,,,,,,lpp_2
# sent_id = lpp_1943.36,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chapter,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,,,,,,,
3,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.37,,,,,,,,,,,,,,,,,,,,,,,,,
1,So,,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,,,,,,,,,,,,,,,,,,,,,,
3,lived,,,,,,,,,,,,,,,,,,,,,,,,
4,my,*,Theme,Gestalt,,Theme,Gestalt,,Theme,Gestalt,,,,,,,,,,,,,,,
5,life,,,,,,,,,,,,,,,,,,,,,,,,
6,alone,,,,,,,,,,,,,,,,,,,,,,,,
7,",",,,,,,,,,,,,,,,,,,,,,,,,
8,without,*,Ancillary,Ancillary,,Ancillary,Ancillary,"or... manner? Ancillary is good if ""I live my life together with someone"" is but idk",Ancillary,Ancillary,"not Manner for sure (6.5.2), but not sure if it's pure Ancillary",,,,,,,,,,,,,,
9,anyone,,,,,,,,,,,,,,,,,,,,,,,,
10,that,,,,,,,,,,,,,,,,,,,,,,,,
11,I,,,,,,,,,,,,,,,,,,,,,,,,
12,could,,,,,,,,,,,,,,,,,,,,,,,,
13,really,,,,,,,,,,,,,,,,,,,,,,,,
14,talk,,,,,,,,,,,,,,,,,,,,,,,,
15,to,*,Recipient,Goal,,Recipient,Goal,,Recipient,Goal,,,,,,,,,,,,,,,
16,",",,,,,,,,,,,,,,,,,,,,,,,,
17,until,*,EndTime,EndTime,,EndTime,EndTime,,EndTime,EndTime,,,,,,,,,,,,,,,
18,I,,,,,,,,,,,,,,,,,,,,,,,,
19,had,,,,,,,,,,,,,,,,,,,,,,,,
20,an,,,,,,,,,,,,,,,,,,,,,,,,
21,accident,,,,,,,,,,,,,,,,,,,,,,,,
22,with,*,Theme,Theme,,Topic,Topic,is this 'Applicability' as in OGI 70 https://github.com/carmls/snacs-guidelines/issues/70,Theme,Theme,,,,,,,,,,,,,,,
23,my,*,Possessor,Possessor,,Possessor,Possessor,,Possessor,Possessor,,,,,,,,,,,,,,,
24,plane,,,,,,,,,,,,,,,,,,,,,,,,
25,in,*,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,,,,
26,the,,,,,,,,,,,,,,,,,,,,,,,,
27,Desert,,,,,,,,,,,,,,,,,,,,,,,,
28,of,*,Identity,Identity,,Identity,Identity,,Identity,Identity,,,,,,,,,,,,,,,
29,Sahara,,,,,,,,,,,,,,,,,,,,,,,,
30,",",,,,,,,,,,,,,,,,,,,,,,,,
31,six,,,,,,,,,,,,,,,,,,,,,,,,
32,years,,,,,,,,,,,,,,,,,,,,,,,,
33,ago,*,Time,Interval,,Time,Interval,,Time,Interval,,,,,,,,,,,,,,,
34,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.38,,,,,,,,,,,,,,,,,,,,,,,,,
1,Something,,,,,,,,,,,,,,,,,,,,,,,,
2,was,,,,,,,,,,,,,,,,,,,,,,,,
3,broken,,,,,,,,,,,,,,,,,,,,,,,,
4,in,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
