Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Emma Scene,Emma Function,Emma Notes,Sasha Scene,Sasha Function,Sasha Notes,#REF!,,,,,,,,,,,,,lpp_7
# sent_id = lpp_1943.289,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chapter,,,,,,,,,,,,,,,,,,,,,,,,
2,7,,,,,,,,,,,,,,,,,,,,,,,,
3,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.290,,,,,,,,,,,,,,,,,,,,,,,,,
1,On,*,Time,Time,,Time,Time,,Time,Time,,,,,,,,,,,,,,,
2,the,,,,,,,,,,,,,,,,,,,,,,,,
3,fifth,,,,,,,,,,,,,,,,,,,,,,,,
4,day,,,,,,,,,,,,,,,,,,,,,,,,
5,--,,,,,,,,,,,,,,,,,,,,,,,,
6,again,,,,,,,,,,,,,,,,,,,,,,,,
7,",",,,,,,,,,,,,,,,,,,,,,,,,
8,as,*,ComparisonRef,ComparisonRef,,ComparisonRef,ComparisonRef,,,,this is comparison ref or discourse i think,,,,,,,,,,,,,,
9,always,,,,,,,,,,,,,,,,,,,,,,,,
10,",",,,,,,,,,,,,,,,,,,,,,,,,
11,it,,,,,,,,,,,,,,,,,,,,,,,,
12,was,,,,,,,,,,,,,,,,,,,,,,,,
13,thanks,1:1**,Explanation,Explanation,,Explanation,Explanation,,,,imo this is not a MWE ,,,,,,,,,,,,,,
14,to,1:2,_,_,,,,,Causer,Causer,,,,,,,,,,,,,,,
15,the,,,,,,,,,,,,,,,,,,,,,,,,
16,sheep,,,,,,,are these sheep or are they friends?,,,,,,,,,,,,,,,,,
17,--,,,,,,,,,,,,,,,,,,,,,,,,
18,the,,,,,,,,,,,,,,,,,,,,,,,,
19,secret,,,,,,,,,,,,,,,,,,,,,,,,
20,of,*,Topic,Topic,,Topic,Topic,is this the same as 'secrets of your sad little life' in 6?,Topic,Topic,,,,,,,,,,,,,,,
21,the,,,,,,,,,,,,,,,,,,,,,,,,
22,little,,,,,,,,,,,,,,,,,,,,,,,,
23,prince,,,,,,,,,,,,,,,,,,,,,,,,
24,'s,*,Theme,Gestalt,,Theme,Gestalt,,Theme,Gestalt,,,,,,,,,,,,,,,
25,life,,,,,,,,,,,,,,,,,,,,,,,,
26,was,,,,,,,,,,,,,,,,,,,,,,,,
27,revealed,,,,,,,,,,,,,,,,,,,,,,,,
28,to,*,Recipient,Goal,,Recipient,Goal,?,recipient,Direction,?,,,,,,,,,,,,,,
29,me,,,,,,,,,,,,,,,,,,,,,,,,
30,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.291,,,,,,,,,,,,,,,,,,,,,,,,,
1,Abruptly,,,,,,,,,,,,,,,,,,,,,,,,
2,",",,,,,,,,,,,,,,,,,,,,,,,,
3,without,*,Manner,Manner,,Manner,Manner,?,Manner,Manner,,,,,,,,,,,,,,,
4,anything,,,,,,,,,,,,,,,,,,,,,,,,
5,to,*,Purpose,Purpose,,Purpose,Purpose,,Purpose,Purpose,,,,,,,,,,,,,,,
6,lead,,NONSNACS,NONSNACS,MWE,NONSNACS,NONSNACS,MWE,NONSNACS,NONSNACS,MWE,,,,,,,,,,,,,,
7,up,1:1**,NONSNACS,NONSNACS,MWE,NONSNACS,NONSNACS,MWE,,,MWE,,,,,,,,,,,,,,
8,to,1:2,NONSNACS,NONSNACS,MWE; *Q* is to separate?,NONSNACS,NONSNACS,MWE,,,not MWE,,,,,,,,,,,,,,
9,it,,,,,,,,,,,,,,,,,,,,,,,,
10,",",,,,,,,,,,,,,,,,,,,,,,,,
11,and,,,,,,,,,,,,,,,,,,,,,,,,
12,as,,ComparisonRef,ComparisonRef,MWE,ComparisonRef,ComparisonRef,MWE,,,,,,,,,,,,,,,,,
13,if,,_,_,MWE,_,_,MWE,,,,,,,,,,,,,,,,,
14,the,,,,,,,,,,,,,,,,,,,,,,,,
15,question,,,,,,,,,,,,,,,,,,,,,,,,
16,had,,,,,,,,,,,,,,,,,,,,,,,,
17,been,,,,,,,,,,,,,,,,,,,,,,,,
18,born,,,,,,,,,,,,,,,,,,,,,,,,
19,of,*,Source,Source,,Causer,Gestalt,?,Source,Source,,,,,,,,,,,,,,,
20,long,,,,,,,,,,,,,,,,,,,,,,,,
21,and,,,,,,,,,,,,,,,,,,,,,,,,
22,silent,,,,,,,,,,,,,,,,,,,,,,,,
23,meditation,,,,,,,,,,,,,,,,,,,,,,,,
24,on,*,Topic,Topic,,Topic,Topic,,Topic,Topic,,,,,,,,,,,,,,,
25,his,*,Experiencer,Gestalt,,Experiencer,Gestalt,feel like we discussed this recently but idk where?,Gestalt,Gestalt,,,,,,,,,,,,,,,
26,problem,,,,,,,,,,,,,,,,,,,,,,,,
