Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Emma Scene,Emma Function,Emma Notes,Aryaman Scene,Aryaman Function,Aryaman Notes,,,,,,,,,,,,,,lpp_19
# sent_id = lpp_1943.1006,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chapter,,,,,,,,,,,,,,,,,,,,,,,,
2,19,,,,,,,,,,,,,,,,,,,,,,,,
3,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1007,,,,,,,,,,,,,,,,,,,,,,,,,
1,After,*,Time,Time,,Time,Time,,Time,Time,,,,,,,,,,,,,,,
2,that,,,,,,,,,,,,,,,,,,,,,,,,
3,",",,,,,,,,,,,,,,,,,,,,,,,,
4,the,,,,,,,,,,,,,,,,,,,,,,,,
5,little,,,,,,,,,,,,,,,,,,,,,,,,
6,prince,,,,,,,,,,,,,,,,,,,,,,,,
7,climbed,,,,,,,,,,,,,,,,,,,,,,,,
8,a,,,,,,,,,,,,,,,,,,,,,,,,
9,high,,,,,,,,,,,,,,,,,,,,,,,,
10,mountain,,,,,,,,,,,,,,,,,,,,,,,,
11,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1008,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,only,,,,,,,,,,,,,,,,,,,,,,,,
3,mountains,,,,,,,,,,,,,,,,,,,,,,,,
4,he,,,,,,,,,,,,,,,,,,,,,,,,
5,had,,,,,,,,,,,,,,,,,,,,,,,,
6,ever,,,,,,,,,,,,,,,,,,,,,,,,
7,known,,,,,,,,,,,,,,,,,,,,,,,,
8,were,,,,,,,,,,,,,,,,,,,,,,,,
9,the,,,,,,,,,,,,,,,,,,,,,,,,
10,three,,,,,,,,,,,,,,,,,,,,,,,,
11,volcanoes,,,,,,,,,,,,,,,,,,,,,,,,
12,",",,,,,,,,,,,,,,,,,,,,,,,,
13,which,,,,,,,,,,,,,,,,,,,,,,,,
14,came,,,,*Q*,,,,,,,,,,,,,,,,,,,,
15,up,,,,MWE,,,,,,,,,,,,,,,,,,,,
16,to,*,,,MWE,Goal,Goal,?,Goal,Goal,,,,,,,,,,,,,,,
17,his,*,Whole,Gestalt,,Whole,Gestalt,,Whole,Gestalt,,,,,,,,,,,,,,,
18,knees,,,,,,,,,,,,,,,,,,,,,,,,
19,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1009,,,,,,,,,,,,,,,,,,,,,,,,,
