Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Emma Scene,Emma Function,Emma Notes,Sasha Scene,Sasha Function,Sasha Notes,,,,,,,,,,,,,,lpp_16
# sent_id = lpp_1943.917,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chapter,,,,,,,,,,,,,,,,,,,,,,,,
2,16,,,,,,,,,,,,,,,,,,,,,,,,
3,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.918,,,,,,,,,,,,,,,,,,,,,,,,,
1,So,,,,,,,,,,,,,,,,,,,,,,,,
2,then,,,,,,,,,,,,,,,,,,,,,,,,
3,the,,,,,,,,,,,,,,,,,,,,,,,,
4,seventh,,,,,,,,,,,,,,,,,,,,,,,,
5,planet,,,,,,,,,,,,,,,,,,,,,,,,
6,was,,,,,,,,,,,,,,,,,,,,,,,,
7,the,,,,,,,,,,,,,,,,,,,,,,,,
8,Earth,,,,,,,,,,,,,,,,,,,,,,,,
9,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.919,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,Earth,,,,,,,,,,,,,,,,,,,,,,,,
3,is,,,,,,,,,,,,,,,,,,,,,,,,
4,not,,,,,,,,,,,,,,,,,,,,,,,,
5,just,,,,,,,,,,,,,,,,,,,,,,,,
6,an,,,,,,,,,,,,,,,,,,,,,,,,
7,ordinary,,,,,,,,,,,,,,,,,,,,,,,,
8,planet,,,,,,,,,,,,,,,,,,,,,,,,
9,!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.920,,,,,,,,,,,,,,,,,,,,,,,,,
1,One,,,,,,,,,,,,,,,,,,,,,,,,
2,can,,,,,,,,,,,,,,,,,,,,,,,,
3,count,,,,,,,,,,,,,,,,,,,,,,,,
4,",",,,,,,,"questionable punctuation choices, if I'm parsing this right",,,,,,,,,,,,,,,,,
5,there,,,,,,,,,,,,,,,,,,,,,,,,
6,111,,,,,,,,,,,,,,,,,,,,,,,,
7,kings,,,,,,,,,,,,,,,,,,,,,,,,
8,(,,,,,,,,,,,,,,,,,,,,,,,,
9,not,,,,,,,,,,,,,,,,,,,,,,,,
10,forgetting,,,,,,,,,,,,,,,,,,,,,,,,
11,",",,,,,,,,,,,,,,,,,,,,,,,,
12,to,,,,,,,is this a thing??,,,,,,,,,,,,,,,,,
13,be,,,,,,,,,,,,,,,,,,,,,,,,
14,sure,,,,,,,,,,,,,,,,,,,,,,,,
15,",",,,,,,,,,,,,,,,,,,,,,,,,
16,the,,,,,,,,,,,,,,,,,,,,,,,,
17,Negro,,,,,,,yikes,,,,,,,,,,,,,,,,,
18,kings,,,,,,,,,,,,,,,,,,,,,,,,
19,among,*,Whole,Whole,,Locus,Locus,???,Whole,Whole,,,,,,,,,,,,,,,
20,them,,,,,,,,,,,,,,,,,,,,,,,,
21,),,,,,,,,,,,,,,,,,,,,,,,,
22,",",,,,,,,,,,,,,,,,,,,,,,,,
23,7000,,,,,,,,,,,,,,,,,,,,,,,,
24,geographers,,,,,,,,,,,,,,,,,,,,,,,,
25,",",,,,,,,,,,,,,,,,,,,,,,,,
26,"900,000",,,,,,,,,,,,,,,,,,,,,,,,
27,businessmen,,,,,,,,,,,,,,,,,,,,,,,,
28,",",,,,,,,,,,,,,,,,,,,,,,,,
29,"7,500,000",,,,,,,,,,,,,,,,,,,,,,,,
30,tipplers,,,,,,,,,,,,,,,,,,,,,,,,
31,",",,,,,,,,,,,,,,,,,,,,,,,,
32,"311,000,000",,,,,,,,,,,,,,,,,,,,,,,,
33,conceited,,,,,,,,,,,,,,,,,,,,,,,,
34,men,,,,,,,,,,,,,,,,,,,,,,,,
35,-,,,,,,,,,,,,,,,,,,,,,,,,
36,-,,,,,,,,,,,,,,,,,,,,,,,,
37,that,,,,,,,,,,,,,,,,,,,,,,,,
38,is,,,,,,,,,,,,,,,,,,,,,,,,
39,to,,,,,,,???,,,,,,,,,,,,,,,,,
40,say,,,,,,,,,,,,,,,,,,,,,,,,
41,",",,,,,,,,,,,,,,,,,,,,,,,,
42,about,*,Approximator,Approximator,,Approximator,Approximator,,Approximator,Approximator,,,,,,,,,,,,,,,
43,"2,000,000,000",,,,,,,,,,,,,,,,,,,,,,,,
44,grown,,,,,,,,,,,,,,,,,,,,,,,,
45,-,,,,,,,,,,,,,,,,,,,,,,,,
46,ups,,,,,,,,,,,,,,,,,,,,,,,,
47,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.921,,,,,,,,,,,,,,,,,,,,,,,,,
1,To,*,Purpose,Purpose,,Purpose,Purpose,,Explanation,Explanation,,,,,,,,,,,,,,,
2,give,,,,,,,,,,,,,,,,,,,,,,,,
3,you,,,,,,,,,,,,,,,,,,,,,,,,
4,an,,,,,,,,,,,,,,,,,,,,,,,,
5,idea,,,,,,,,,,,,,,,,,,,,,,,,
6,of,*,Topic,Topic,,Topic,Topic,,Topic,Topic,,,,,,,,,,,,,,,
7,the,,,,,,,,,,,,,,,,,,,,,,,,
8,size,,,,,,,,,,,,,,,,,,,,,,,,
9,of,*,Gestalt,Gestalt,,Gestalt,Gestalt,,Gestalt,Gestalt,,,,,,,,,,,,,,,
10,the,,,,,,,,,,,,,,,,,,,,,,,,
11,Earth,,,,,,,,,,,,,,,,,,,,,,,,
12,",",,,,,,,,,,,,,,,,,,,,,,,,
13,I,,,,,,,,,,,,,,,,,,,,,,,,
