Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Emma Scene,Emma Function,Emma Notes,Aryaman Scene,Aryaman Function,Aryaman Notes,#REF!,,,,,,,,,,,,,lpp_11
# sent_id = lpp_1943.603,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chapter,,,,,,,,,,,,,,,,,,,,,,,,
2,11,,,,,,,,,,,,,,,,,,,,,,,,
3,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.604,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,second,,,,,,,,,,,,,,,,,,,,,,,,
3,planet,,,,,,,,,,,,,,,,,,,,,,,,
4,was,,,,,,,,,,,,,,,,,,,,,,,,
5,inhabited,,,,,,,,,,,,,,,,,,,,,,,,
6,by,*,Agent,Agent,,Agent,Agent,this is what we decided in 10,Agent,Agent,I want to put a Theme here since it's a motion event? but that doesn't fit,,,,,,,,,,,,,,
7,a,,,,,,,,,,,,,,,,,,,,,,,,
8,conceited,,,,,,,,,,,,,,,,,,,,,,,,
9,man,,,,,,,,,,,,,,,,,,,,,,,,
10,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.605,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,Ah,,,,,,,,,,,,,,,,,,,,,,,,
3,!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.606,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ah,,,,,,,,,,,,,,,,,,,,,,,,
2,!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.607,,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,,,,,,,,,,,,,,,,,,,
2,am,,,,,,,,,,,,,,,,,,,,,,,,
3,about,,,,,,,,,,,,,,,,,,,,,,,,
4,to,,`i,`i,,`i,`i,,,,,,,,,,,,,,,,,,
5,receive,,,,,,,,,,,,,,,,,,,,,,,,
6,a,,,,,,,,,,,,,,,,,,,,,,,,
7,visit,,,,,,,,,,,,,,,,,,,,,,,,
8,from,*,Agent,Source,,Agent,Source,,Source,Source,[118],,,,,,,,,,,,,,
9,an,,,,,,,,,,,,,,,,,,,,,,,,
10,admirer,,,,,,,,,,,,,,,,,,,,,,,,
