Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Aryaman Scene,Aryaman Function,Aryaman Notes,Sasha Scene,Sasha Function,Sasha Notes,,,,,,,,,,,,,,lpp_20
# sent_id = lpp_1943.1024,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chapter,,,,,,,,,,,,,,,,,,,,,,,,
2,20,,,,,,,,,,,,,,,,,,,,,,,,
3,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1025,,,,,,,,,,,,,,,,,,,,,,,,,
1,But,,,,,,,,,,,,,,,,,,,,,,,,
2,it,,,,,,,,,,,,,,,,,,,,,,,,
3,happened,,,,,,,,,,,,,,,,,,,,,,,,
4,that,,,,,,,,,,,,,,,,,,,,,,,,
5,after,*,Time,Time,,Time,Time,,Time,Time,,,,,,,,,,,,,,,
6,walking,,,,,,,,,,,,,,,,,,,,,,,,
7,for,*,Duration,Duration,,Duration,Duration,,Duration,Duration,,,,,,,,,,,,,,,
8,a,,,,,,,,,,,,,,,,,,,,,,,,
9,long,,,,,,,,,,,,,,,,,,,,,,,,
10,time,,,,,,,,,,,,,,,,,,,,,,,,
11,through,*,Path,Path,,Path,Path,,Path,Path,,,,,,,,,,,,,,,
12,sand,,,,,,,,,,,,,,,,,,,,,,,,
13,",",,,,,,,,,,,,,,,,,,,,,,,,
14,and,,,,,,,,,,,,,,,,,,,,,,,,
15,rocks,,,,,,,,,,,,,,,,,,,,,,,,
16,",",,,,,,,,,,,,,,,,,,,,,,,,
17,and,,,,,,,,,,,,,,,,,,,,,,,,
18,snow,,,,,,,,,,,,,,,,,,,,,,,,
19,",",,,,,,,,,,,,,,,,,,,,,,,,
20,the,,,,,,,,,,,,,,,,,,,,,,,,
21,little,,,,,,,,,,,,,,,,,,,,,,,,
22,prince,,,,,,,,,,,,,,,,,,,,,,,,
23,at,*,Time,Time,MWE,Time,Time,1:1,Time,Time,MWE,,,,,,,,,,,,,,
24,last,,_,_,MWE,_,_,1:2,_,_,MWE,,,,,,,,,,,,,,
25,came,,,,,,,,,,,,,,,,,,,,,,,,
26,upon,*,Goal,Goal,,,,,Goal,Goal,,,,,,,,,,,,,,,
27,a,,,,,,,,,,,,,,,,,,,,,,,,
28,road,,,,,,,,,,,,,,,,,,,,,,,,
29,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1026,,,,,,,,,,,,,,,,,,,,,,,,,
1,And,,,,,,,,,,,,,,,,,,,,,,,,
2,all,,,,,,,,,,,,,,,,,,,,,,,,
3,roads,,,,,,,,,,,,,,,,,,,,,,,,
4,lead,,,,,,,,,,,,,,,,,,,,,,,,
5,to,*,Locus,Goal,,Locus,Goal,,Goal,Goal,,,,,,,,,,,,,,,
6,the,,,,,,,,,,,,,,,,,,,,,,,,
7,abodes,,,,,,,,,,,,,,,,,,,,,,,,
8,of,*,Possessor,Possessor,,Possessor,Possessor,,Possessor,Possessor,,,,,,,,,,,,,,,
9,men,,,,,,,,,,,,,,,,,,,,,,,,
10,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1027,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
