,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
लेओं,,,,,,,,,,,,,,
वेर्थ,,,,,,,,,,,,,,
को,को,Recipient,Recipient,,को,Beneficiary,Recipient,,Uncertain whether dedication should take a Recipient or Beneficiary.,को,Recipient,Recipient,,en guidelines 273 (She gave the story to her editor)
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
बच्चों,,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
क्षमा,,,,,,,,,,,,,,
चाहता,,,,,,,,,,,,,,
हूं,,,,,,,,,,,,,,
क्योंकि,,,,,,,,,,,,,,
मैंने,ने,Agent,Agent,,ने,Agent,Agent,,,ने,Agent,Agent,,
यह,,,,,,,,,,,,,,
पुस्तक,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
वयस्क,,,,,,,,,,,,,,
को,को,Recipient,Recipient,,को,Beneficiary,Recipient,,,को,Recipient,Recipient,,en guidelines 273
समर्पित,,,,,,,,,,,,,,
की,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
कारण,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
वयस्क,,,,,,,,,,,,,,
दुनिया,,,,,,,,,,,,,,
में,में,Locus,Locus,,में,Whole,Locus,,out of everyone in the world,में,Locus,Locus,,"substitute दुनिया with a non-whole element, like ज़िन्दगी?"
मेरा,का,SocialRel,Gestalt,,का,SocialRel,Gestalt,,,का,SocialRel,Gestalt,,
सबसे,से,ComparisonRef,ComparisonRef,,से,ComparisonRef,ComparisonRef,,,से,??,??,,"en guidelines section 6.3.2 (youngest of all the children cf. 'best friend from/of all'

versus
 
Omkar Koul  (2009) p.50 21-23 use of से  as difference / comparison in quality "
प्रिय,,,,,,,,,,,,,,
दोस्त,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
फिर,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
सब,,,,,,,,,,,,,,
कुछ,,,,,,,,,,,,,,
समझ,,,,,,,,,,,,,,
सकता,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,
बच्चों,,,,,,,,,,,,,,
की,का,Beneficiary,Possessor,,का,Beneficiary,Possessor,,,की,Beneficiary,Possessor,,
पुस्तकें,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,भी,,,,,भी,`d,,,emphasis ('too)
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
