,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
पांचवा,,,,,,,,,,,,,,
ग्रह,,,,,,,,,,,,,,
अद्भुत,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
सबसे,से,ComparisonRef,ComparisonRef,,से,ComparisonRef,ComparisonRef,,,से,ComparisonRef,ComparisonRef,,
छोटा,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
इतना,,,,,,,,,,,,,,
छोटा,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
बस,,,,,,,,,,,,,,
इतनी,,,,,,,,,,,,,,
जगह,,,,,,,,,,,,,,
थी,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
लैम्पपोस्ट,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
बत्ती,,,,,,,,,,,,,,
वाला,वाला,NONSNACS,NONSNACS,,वाला,NONSNACS,NONSNACS,,,वाला,??,??,,
खड़ा,,,,,,,,,,,,,,
हो,,,,,,,,,,,,,,
सके,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
के,का,Experiencer,Gestalt,,का,Whole,Whole,,,का,Gestalt,Gestalt,,
समझ,,,,,,,,,,,Experiencer,Gestalt,,
में,में,Goal,Locus,,में,Goal,Locus,,,में,Goal,Locus,,
नहीं,,,,,,,,,,,,,,
आया,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
आकाश,,,,,,,,,,,,,,
में,में,Locus,Locus,,में,Locus,Locus,,,में,Locus,Locus,,
एक,,,,,,,,,,,,,,
छोटे,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
वीरान,,,,,,,,,,,,,,
ग्रह,,,,,,,,,,,,,,
पर,पर,Locus,Locus,,पर,Locus,Locus,,,पर,Locus,Locus,,
जहां,,,,,,,,,,,,,,
कोई,,,,,,,,,,,,,,
न,,,,,,,,,,,,,,
रहता,,,,,,,,,,,,,,
हो,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
लालटेन,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
उसके,के,Theme,Theme,,का,Theme,Theme,,,के,Theme,Theme,,
जलाने,,,,,,,,,,,,,,
वाले,वाले,NONSNACS,NONSNACS,,वाला,NONSNACS,NONSNACS,,,वाले,??,??,,
की,की,Topic,Topic,,का,Stimulus,Topic,,,की,Topic,Theme,,
क्या,,,,,,,,,,,Topic,Topic,,
जरूरत।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
फिर,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,
उसने,ने,Experiencer,Agent,,ने,Experiencer,Agent,,,ने,Agent,Agent,,
सोचा,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
शायद,,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
आदमी,,,,,,,,,,,,,,
बिल्कुल,,,,,,,,,,,,,,
बकवास,,,,,,,,,,,,,,
हो,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
पर,पर,NONSNACS,NONSNACS,,,,,,,पर,NONSNACS,NONSNACS,,
यह,,,,,,,,,,,,,,
उस,,,,,,,,,,,,,,
राजा,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
घमंडी,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
शराबी,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
व्यवसायी,,,,,,,,,,,,,,
जैसा,जैसा,ComparisonRef,ComparisonRef,,जैसा,ComparisonRef,ComparisonRef,,,जैसा,ComparisonRef,ComparisonRef,,
मूढ़,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
कम-से-कम,,,,,,,,,,,,,,
उसके,के,Agent,Gestalt,,का,Agent,Gestalt,,,के,Agent,Gestalt,,
काम,,,,,,,,,,,,,,
का,का,Gestalt,Gestalt,,का,Gestalt,Gestalt,,,का,Gestalt,Gestalt,,
कोई,,,,,,,,,,,,,,
अर्थ,,,,,,,,,,,,,,
तो,तो,Focus,Focus,,,,,,,तो,Focus,Focus,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
जब,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
अपनी,की,Possessor,Possessor,,का,Possessor,Possessor,,,की,Possessor,Possessor,,
बत्ती,,,,,,,,,,,,,,
जलाता,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
तो,तो,`d,,,,,,,,तो,`d,,,
जैसे,जैसे,ComparisonRef,ComparisonRef,,जैसे,ComparisonRef,ComparisonRef,,,जैसे,ComparisonRef,ComparisonRef,,
एक,,,,,,,,,,,,,,
तारा,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
फूल,,,,,,,,,,,,,,
जगमगाने,,,,,,,,,,,,,,
लगता,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
जब,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
उसे,को,Theme,Theme,,को,Theme,Theme,,,को,Theme,Theme,,
बुझाता,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
तो,तो,`d,,,,,,,,तो,`d,,,
मानों,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
तारा,,,,,,,,,,,,,,
या,,,,,,,,,,,,,,
फूल,,,,,,,,,,,,,,
सो,,,,,,,,,,,,,,
जाता,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
तो,तो,Focus,Focus,,,,,,,तो,Focus,Focus,,
एक,,,,,,,,,,,,,,
सुंदर,,,,,,,,,,,,,,
काम,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
चूंकि,,,,,,,,,,,,,,
सुंदर,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
इसलिए,के लिए,Explanation,Explanation,,के लिए,Explanation,Explanation,,,के लिए,Explanation,Explanation,,
उपयोगी,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
जैसे,जैसे ही,Time,Time,1:1,जैसे,Time,Time,,,जैसे ही,Time,Time,1:1,
ही,जैसे ही,,,1:2,,,,,,जैसे ही,,,1:2,
उसने,ने,Agent,Agent,,ने,Agent,Agent,,,ने,Agent,Agent,,
उस,,,,,,,,,,,,,,
ग्रह,,,,,,,,,,,,,,
