,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
उस,,,,,,,,,,,,,,
कुएं,,,,,,,,,,,,,,
के,के पास,Locus,Locus,1:1,के पास,Locus,Locus,1:1,,के पास,Locus,Locus,1:1,
पास,के पास,,,1:2,के पास,,,1:2,,के पास,,,1:2,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
एक,,,,,,,,,,,,,,
पत्थर,,,,,,,,,,,,,,
की,की,Stuff,Stuff,,का,Stuff,Stuff,,,की,Stuff,Stuff,,
दीवार,,,,,,,,,,,,,,
का,का,Identity,Identity,,का,Identity,Identity,,,का,Identity,Identity,,
खंडहर,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
दूसरे,,,,,,,,,,,,,,
दिन,,,,,,,,,,,,,,
शाम,,,,,,,,,,,,,,
को,को,Time,Time,,को,Time,Time,,,को,Time,Time,,
जब,,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
काम,,,,,,,,,,,,,,
कर,,,,,,,,,,,,,,
के,,,,,,,,,,,,,,
वहां,,,,,,,,,,,,,,
लौटा,,,,,,,,,,,,,,
तो,तो,`d,,,,,,,,तो,`d,,,
नन्हा,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
ऊँचाई,,,,,,,,,,,,,,
पर,पर,Locus,Locus,,पर,Locus,Locus,,,पर,Locus,Locus,,
पैर,,,,,,,,,,,,,,
लटकाए,,,,,,,,,,,,,,
बैठा,,,,,,,,,,,,,,
हुआ,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैंने,ने,Experiencer,Agent,,ने,Experiencer,Agent,,,ने,Experiencer,Agent,,
सुना,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
किसी,,,,,,,,,,,,,,
से,से,Agent,Ancillary,,से,Agent,Ancillary,,,से,Agent,Ancillary,,
बातें,,,,,,,,,,,,,,
कर,,,,,,,,,,,,,,
रहा,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
तुझे,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
याद,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
कह,,,,,,,,,,,,,,
रहा,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
एकदम,,,,,,,,,,,,,,
यहां,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
दूसरी,,,,,,,,,,,,,,
आवाज,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
उससे,से,Recipient,Ancillary,,से,Recipient,Ancillary,,,से,Recipient,Ancillary,,
निश्चित,,,,,,,,,,,,,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
कुछ,,,,,,,,,,,,,,
कहा,,,,,,,,,,,,,,
होगा,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
क्योंकि,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
फिर,,,,,,,,,,,,,,
जोर,,,,,,,,,,,,,,
देकर,,,,,,,,,,,,,,
कहा,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
तुम्हें,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
याद,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
आज,,,,,,,,,,,,,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
है,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
दिन,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
हां,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
जगह,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
दीवार,,,,,,,,,,,,,,
की,की ओर,Direction,Direction,1:1,की ओर,Direction,Direction,1:1,,की ओर,Direction,Direction,1:1,
ओर,की ओर,,,1:2,की ओर,,,1:2,,की ओर,,,1:2,
बढ़ा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैंने,ने,Experiencer,Agent,,ने,Experiencer,Agent,,,ने,Experiencer,Agent,,
किसी,,,,,,,,,,,,,,
को,को,Stimulus,Theme,,को,Stimulus,Theme,,,को,Stimulus,Theme,,
नहीं,,,,,,,,,,,,,,
देखा,,,,,,,,,,,,,,
वहां,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
कोई,,,,,,,,,,,,,,
आवाज,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
सुनाई,,,,,,,,,,,,,,
पड़ी,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
फिर,फिर से,`d,`d,1:1,फिर से,`d,`d,1:1,,फिर से,`d,,,
से,फिर से,,,1:2,फिर से,,,1:2,,फिर से,,,,
कहा,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
...,,,,,,,,,,,,,,
निश्चित,,,,,,,,,,,,,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
देखना,,,,,,,,,,,,,,
मेरे,के,Gestalt,Gestalt,,का,Theme,Theme,,,के,Agent,Gestalt,,"?? - 
not the same translation **revist**"
उतरने,,,,,,,,,,,,,,
के,के,Explanation,Gestalt,,का,Gestalt,Gestalt,,*Q*,के,Identity,Identity,,not a property
निशान,,,,,,,,,,,,,,
बने,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
रेत,,,,,,,,,,,,,,
में,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मेरा,का,Theme,Theme,,का,Theme,Theme,,,का,Theme,Theme,,
इंतजार,,,,,,,,,,,,,,
करना,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
रात,,,,,,,,,,,,,,
में,में,Time,Time,,में,Goal,Locus,,,में,Time,Time,,
वहां,,,,,,,,,,,,,,
पहुंच,,,,,,,,,,,,,,
जाऊँगा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
दीवाल,,,,,,,,,,,,,,
से,से,Locus,Source,,से,Locus,Source,,,से,Locus,Source,,
कुल,,,,,,,,,,,,,,
बीस,,,,,,,,,,,,,,
मीटर,,,,,,,,,,,,,,
दूर,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
फिर,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,
मुझे,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
कुछ,,,,,,,,,,,,,,
दिखाई,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
दे,,,,,,,,,,,,,,
रहा,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
चुप्पी,,,,,,,,,,,,,,
के,के बाद,Time,Interval,1:1,के बाद,Time,Interval,1:1,,के बाद,Time,Time,1:1,"does chuppi (lit. 'a silence') have a 
relative like time element? may also stand as a 
reference to some definite time "
बाद,के बाद,,,1:2,के बाद,,,1:2,,के बाद,,,1:2,
राजकुमार,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
फिर,,,,,,,,,,,,,,
कहा,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
तेरा,का,Whole,Whole,,का,Originator,Gestalt,,*Q*,का,Whole,Whole,,"in full context, this is Whole. 
But the context is difficult to get.
Gestalt may be safer?"
जहर,,,,,,,,,,,,,,
बहुत,,,,,,,,,,,,,,
तेज,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
न?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मुझे,को,Experiencer,Recipient,,को,Experiencer,Gestalt,,,को,Experiencer,Recipient,,
बहुत,,,,,,,,,,,,,,
देर,,,,,,,,,,,,,,
तक,तक,EndTime,Interval,,तक,EndTime,Interval,,,तक,EndTime,Interval,,
तकलीफ,,,,,,,,,,,,,,
तो,तो,Focus,Focus,,,,,,,तो,Focus,Focus,,
नहीं,,,,,,,,,,,,,,
होगी,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
मेरे,के,Whole,Whole,,का,Whole,Whole,,,के,Whole,Whole,,
दिल,,,,,,,,,,,,,,
की,की,Theme,Theme,,का,Theme,Theme,,,की,Gestalt,Gestalt,,
धड़कन,,,,,,,,,,,,,,
रूकती,,,,,,,,,,,,,,
सी,सी,ComparisonRef,ComparisonRef,,,,,,,सी,Extent,Extent,,
लगी,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
रुक,,,,,,,,,,,,,,
गया,,,,,,,,,,,,,,
पर,पर,NONSNACS,NONSNACS,,,,,,,पर,NONSNACS,NONSNACS,,
समझ,,,,,,,,,,,,,,
में,में,Goal,Locus,,में,Goal,Locus,,,में,Goal,Locus,,
फिर,,,,,,,,,,,,,,
कुछ,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
आ,,,,,,,,,,,,,,
रहा,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
अब,,,,,,,,,,,,,,
जा,,,,,,,,,,,,,,
तू,,,,,,,,,,,,,,
उसने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
कहा,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
उतरना,,,,,,,,,,,,,,
चाहता,,,,,,,,,,,,,,
हूं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैंने,ने,Experiencer,Agent,,ने,Experiencer,Agent,,,ने,Experiencer/Agent,Agent,,'jhuk kar dekha'' - complex multi-faceted verb?
दीवार,,,,,,,,,,,,,,
के,के नीचे,Locus,Locus,1:1,के नीचे,Locus,Locus,1:1,,के नीचे,Locus,Locus,1:1,
नीचे,के नीचे,,,1:2,के नीचे,,,1:2,,के नीचे,,,1:2,
झुक,,,,,,,,,,,,,,
कर,,,,,,,,,,,,,,
देखा,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
चीख,,,,,,,,,,,,,,
निकल,,,,,,,,,,,,,,
गई,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
यहीं,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
की,की ओर,Recipient,Direction,1:1,की ओर,Recipient,Direction,1:1,,की ओर,Direction,Direction,1:1,
ओर,की ओर,,,1:2,की ओर,,,1:2,,की ओर,,,1:2,
मुखातिब,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,
पीला,,,,,,,,,,,,,,
सांप,,,,,,,,,,,,,,
जिसका,का,Whole,Whole,,का,Whole,Whole,,,का,Whole,Whole,,
काटा,,,,,,,,,,,,,,
आध,,,,,,,,,,,,,,
मिनट,,,,,,,,,,,,,,
के,के अंदर,Duration,Duration,2:1,के अंदर,Duration,Duration,2:1,,के अंदर,Duration,Duration,1:1,
अंदर,के अंदर,,,2:2,के अंदर,,,2:2,,के अंदर,,,1:2,
दम,,,,,,,,,,,,,,
तोड़,,,,,,,,,,,,,,
देता,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
हड़बड़ाहट,,,,,,,,,,,,,,
में,में,Circumstance,Circumstance,,में,Circumstance,Circumstance,,,में,Manner,Manner,,
मैंने,ने,Agent,Agent,,ने,Agent,Agent,,,ने,Agent,Agent,,
जेब,,,,,,,,,,,,,,
से,से,Source,Source,,से,Source,Source,,,से,Source,Source,,
पिस्तौल,,,,,,,,,,,,,,
निकाली,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
दौड़ने,,,,,,,,,,,,,,
को,को,Theme,Theme,,को,`i,`i,,,को,Theme,Theme,,? **revisit**
हुआ,,,,,,,,,,,,,,
पर,पर,NONSNACS,NONSNACS,,,,,,,पर,NONSNACS,NONSNACS,,
मेरी,की,Originator,Gestalt,,का,Originator,Gestalt,,,की,Originator,Gestalt,,
आवाज,,,,,,,,,,,,,,
पर,पर,Explanation,Time,,पर,Explanation,Time,,,पर,Explanation,Time,,Koul - sequence of actions
सांप,,,,,,,,,,,,,,
वैसे,,,,,,,,,,,,,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
नीचे,,,,,,,,,,,,,,
सिकुड़,,,,,,,,,,,,,,
गया,,,,,,,,,,,,,,
जैसे,जैसे,Manner,ComparisonRef,,जैसे,Manner,ComparisonRef,,,जैसे,Manner,ComparisonRef,,
फव्वारा,,,,,,,,,,,,,,
बंद,,,,,,,,,,,,,,
होने,,,,,,,,,,,,,,
पर,पर,Explanation,Time,,पर,Explanation,Time,,,पर,Explanation,Time,,
पानी,,,,,,,,,,,,,,
की,की,Identity,Identity,,का,Identity,Identity,,,की,Identity,Identity,,
धर,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
धीरे-धीरे,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
खनखनाहट,,,,,,,,,,,,,,
के,के साथ,Manner,Manner,1:1,के साथ,Manner,Manner,1:1,,के साथ,Ancillary,Ancillary,1:1,"dont think Manner, as Manner typically for modifiers?
This is not exactly a modifier
Ancillary as scene as the khankhanahat can be entirelt eliminated
also together with test pass"
साथ,के साथ,,,1:2,के साथ,,,1:2,,के साथ,,,1:2,
पत्थरों,,,,,,,,,,,,,,
के,के बीच,Locus,Locus,2:1,के बीच,Locus,Locus,2:1,,के बीच,Locus,Locus,1:1,
बीच,के बीच,,,2:2,के बीच,,,2:2,,के बीच,,,1:2,
रेंग,,,,,,,,,,,,,,
गया,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
भागकर,,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
दीवार,,,,,,,,,,,,,,
तक,तक,Goal,Extent,,तक,Goal,Goal,,,तक,Goal,Extent,,
पहुंचा,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
नन्हे-मुन्ने,,,,,,,,,,,,,,
से,से,Extent,Extent,,,,,,,से,??,??,,Manner/Extent?
