,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
इस,,,,,,,,,,,,,,
प्रकार,,,,,,,,,,,,,,
मुझे,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
दूसरी,,,,,,,,,,,,,,
बात,,,,,,,,,,,,,,
का,का,Topic,Topic,,का,Topic,Topic,,,का,Theme,Theme,,
पता,,,,,,,,,,,,,,
चला,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
जिस,,,,,,,,,,,,,,
ग्रह,,,,,,,,,,,,,,
से,से,Source,Source,,से,Source,Source,,,से,Source,Source,,
आया,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
मुश्किल,,,,,,,,,,,,,,
से,से,Manner,Manner,,से,Manner,Manner,,,से,Manner,Manner,,
इतना,,,,,,,,,,,,,,
बड़ा,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
जितना,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
घर।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
इससे,से,Stimulus,Source,,से,Stimulus,Source,,,से,Stimulus,Source,,
मुझे,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
बहुत,,,,,,,,,,,,,,
आश्चर्य,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
हुआ,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
जानता,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
पृथ्वी,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
बृहस्पति,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
मंगल,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
शनि,,,,,,,,,,,,,,
