,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
पांचवे,,,,,,,,,,,,,,
दिन,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
सदा,,,,,,,,,,,,,,
की,की तरह,ComparisonRef,ComparisonRef,1:1,की तरह,ComparisonRef,ComparisonRef,1:1,,की तरह,Circumstance,ComparisonRef,1:1,"'as usual', sets context"
तरह,की तरह,,,1:2,की तरह,,,1:2,,की तरह,,,1:2,
भेड़,,,,,,,,,,,,,,
की,की कृपा से,Causer,Causer,1:1,की कृपा से,Explanation,Explanation,2:1,,की कृपा से,Causer,Causer,1:1,"Causer or Explanation.
The sheep is a core participant?
'by the sheep's grace'. Causer? en guidelines section 6.2
The sheep's grace is not an explanation of the prince's secret being found out?"
कृपा,की कृपा से,,,1:2,की कृपा से,,,2:2,,की कृपा से,,,1:2,
से,की कृपा से,,,1:3,की कृपा से,,,2:3,,की कृपा से,,,1:3,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,emphasis
",",,,,,,,,,,,,,,
नन्हे,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
के,के,Topic,Topic,,का,Topic,Topic,,,के,Gestalt,Gestalt,,"mystery of /about the little prince?
Topic scene is set by the next post-position"
एक,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
रहस्य,,,,,,,,,,,,,,
का,का,Topic,Topic,,का,Topic,Topic,,,का,Topic,Topic,,
पता,,,,,,,,,,,,,,
चला,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
जैसे,जैसे,ComparisonRef,ComparisonRef,,जैसे,Time,Time,,,जैसे,ComparisonRef,ComparisonRef,,"in the original french, this is 'comme' or english 'like'"
वह,,,,,,,,,,,,,,
किसी,,,,,,,,,,,,,,
समस्या,,,,,,,,,,,,,,
पर,पर,Topic,Theme,,पर,Topic,Topic,,,पर,Topic,Theme,,Omkar Koul (object of verbs)
चुपचाप,,,,,,,,,,,,,,
बहुत,,,,,,,,,,,,,,
देर,,,,,,,,,,,,,,
से,से,StartTime,Interval,,से,Duration,StartTime,,*Q*,से,Duration,Duration,,"no indication of a Start / End Time, as continuous tense shows"
विचार,,,,,,,,,,,,,,
कर,,,,,,,,,,,,,,
रहा,,,,,,,,,,,,,,
हो,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
उसने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
बिना,बिना,Circumstance,Circumstance,1:1,के बिना,Manner,Manner,1:1,,बिना,Circumstance,Circumstance,1:1,
किसी,,,,,,,,,,,,,,
भूमिका,,,,,,,,,,,,,,
के,के,,,1:2,के बिना,,,1:2,*Q* idk?,के,`d,,1:1,"french : Il me demanda avec brusquerie, sans préambule
english:  Abruptly, without anything to lead up to it,

Hindi: only 1 example of के झट in Sketch Engine: मेरा मन कर रहा था के झट से पकड़ कर मुँह में डाल लूं
I think this is MWE with jhat, and not a classic adposition"
झट,,,,,,,,,,,,,,
से,से,Manner,Manner,1:2,से,Manner,Manner,,,से,Manner,Manner,1:2,
कहा,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
अगर,,,,,,,,,,,,,,
भेड़,,,,,,,,,,,,,,
झाड़,,,,,,,,,,,,,,
खाती,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
तो,तो,`d,,,,,,,,तो,`d,,,'then'
फूल,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,too' emphasis
खा,,,,,,,,,,,,,,
सकती,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
भेड़,,,,,,,,,,,,,,
जो,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,what 'ever'
मिल,,,,,,,,,,,,,,
जाए,,,,,,,,,,,,,,
खा,,,,,,,,,,,,,,
डालती,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
"""कांटे",,,,,,,,,,,,,,
वाले,,,,,,,,,,,,,,
फूल,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,
?,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
हां,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
कांटेदार,,,,,,,,,,,,,,
फूल,,,,,,,,,,,,,,
भी।,भी।,Focus,Focus,,,,,,,भी।,Focus,Focus,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
तो,तो,`d,,,,,,,,तो,`d,,,
फिर,,,,,,,,,,,,,,
कांटे,,,,,,,,,,,,,,
किस,,,,,,,,,,,,,,
लिए,,,,,,,,,,,,,,
होते,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मुझे,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
नहीं,,,,,,,,,,,,,,
मालूम,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
यह।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मेरे,के,Possessor,Possessor,,का,Possessor,Possessor,,,के,Possessor,Possessor,,
जहाज,,,,,,,,,,,,,,
के,के,Whole,Whole,,का,Whole,Whole,,,के,Whole,Whole,,
इंजन,,,,,,,,,,,,,,
में,में,Locus,Locus,,में,Locus,Locus,,,में,Locus,Locus,,
एक,,,,,,,,,,,,,,
बोल्ट,,,,,,,,,,,,,,
फंस,,,,,,,,,,,,,,
गया,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
तो,तो,`d,,,,,,,,तो,`d,,,
मैं,,,,,,,,,,,,,,
उसे,को,Theme,Theme,,को,Theme,Theme,,,को,Theme,Theme,,
निकालने,,,,,,,,,,,,,,
में,में,Topic,Topic,,में,Topic,Topic,,,में,Topic,Topic,,em guidelines 232.d
व्यस्त,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
बड़ी,,,,,,,,,,,,,,
चिंता,,,,,,,,,,,,,,
में,में,Characteristic,Locus,,में,Characteristic,Locus,,,में,Experiencer,Locus,,
था,,,,,,,,,,,,,,
क्योंकि,,,,,,,,,,,,,,
मरम्मत,,,,,,,,,,,,,,
कठिन,,,,,,,,,,,,,,
लगने,,,,,,,,,,,,,,
लगी,,,,,,,,,,,,,,
थी,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
सबसे,से,ComparisonRef,ComparisonRef,,से,ComparisonRef,ComparisonRef,,,से,ComparisonRef,ComparisonRef,,
ज्यादा,,,,,,,,,,,,,,
डर,,,,,,,,,,,,,,
पानी,,,,,,,,,,,,,,
समाप्त,,,,,,,,,,,,,,
होने,,,,,,,,,,,,,,
का,का,Stimulus,Topic,,का,Stimulus,Gestalt,,,का,Topic,Theme,,worst fear was of running out of water
था,,,,,,,,,,,Stimulus,Topic,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
कांटे,,,,,,,,,,,,,,
किस,,,,,,,,,,,,,,
लिए,के लिए,Purpose,Purpose,,के लिए,Purpose,Purpose,,,के लिए,Purpose,Purpose,,
होते,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
बार,,,,,,,,,,,,,,
प्रश्न,,,,,,,,,,,,,,
करने,,,,,,,,,,,,,,
पर,पर,Time,Time,,पर,Time,Time,,,पर,Time,Time,,
उसे,को,Topic,Theme,,को,Topic,Theme,,,को,Topic,Theme,,
भूलता,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
मरम्मत,,,,,,,,,,,,,,
से,से,Stimulus,Causer,,से,Stimulus,Causer,,,से,Stimulus,Causer,,
खीजा,,,,,,,,,,,,,,
हुआ,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
जो,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,
मुंह,,,,,,,,,,,,,,
में,में,Goal,Locus,,में,Goal,Locus,,,में,Goal,Locus,,
आए,,,,,,,,,,,,,,
उत्तर,,,,,,,,,,,,,,
दे,,,,,,,,,,,,,,
देता,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
कांटे,,,,,,,,,,,,,,
एकदम,,,,,,,,,,,,,,
बेकार,,,,,,,,,,,,,,
