,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
नन्हा,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
ऊँचे,,,,,,,,,,,,,,
पहाड़,,,,,,,,,,,,,,
पर,पर,Goal,Locus,,पर,Goal,Locus,,,पर,Goal,Locus,,
गया,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
तब,,,,,,,,,,,,,,
तक,तक,EndTime,EndTime,,तक,EndTime,EndTime,,,तक,EndTime,EndTime,,"but, EndTime denotes non seeing?"
उसने,ने,Experiencer,Agent,,ने,Experiencer,Agent,,,ने,Experiencer,Agent,,
तीन,,,,,,,,,,,,,,
ज्वालामुखी,,,,,,,,,,,,,,
पहाड़ों,,,,,,,,,,,,,,
के,के अतिरिक्त,PartPortion,PartPortion,1:1,के अतिरिक्त,PartPortion,PartPortion,1:1,,के अतिरिक्त,PartPortion,PartPortion,1:1,
अतिरिक्त,के अतिरिक्त,,,1:2,के अतिरिक्त,,,1:2,,के अतिरिक्त,,,1:2,
कोई,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
पहाड़,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
देखा,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
उसके,के,Gestalt,Gestalt,,का,Gestalt,Gestalt,,,के,Org,Gestalt,,
ग्रह,,,,,,,,,,,,,,
के,के,Locus,Gestalt,,का,Locus,Gestalt,,,के,Locus,Gestalt,,
पहाड़,,,,,,,,,,,,,,
केवल,,,,,,,,,,,,,,
उसके,के,Whole,Whole,,का,Whole,Whole,,,के,Whole,Whole,,
घुटनों,,,,,,,,,,,,,,
तक,तक,Goal,Extent,,तक,Goal,Goal,,,तक,Extent,Extent,,
आते,,,,,,,,,,,Goal,Extent,,
थे,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
अपने,के,Possessor,Possessor,,का,Possessor,Possessor,,,के,Possessor,Possessor,,
सुप्त,,,,,,,,,,,,,,
ज्वालामुखी,,,,,,,,,,,,,,
को,को,Theme,Theme,,को,Theme,Theme,,,को,Theme,Theme,,
वो,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
स्टूल,,,,,,,,,,,,,,
की,की तरह,Manner,ComparisonRef,1:1,की तरह,Identity,ComparisonRef,1:1,*Q*,की तरह,Manner,ComparisonRef,1:1,"en guidelines 465 
used his mountains as (if they were) a stool"
तरह,की तरह,,,1:2,की तरह,,,1:2,,की तरह,,,1:2,
इस्तेमाल,,,,,,,,,,,,,,
करता,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
उसने,ने,Experiencer,Agent,,ने,Experiencer,Agent,,,ने,Agent,Agent,,internal action?
सोचा,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
इतने,,,,,,,,,,,,,,
ऊँचे,,,,,,,,,,,,,,
पहाड़,,,,,,,,,,,,,,
की,की,Whole,Whole,,का,Whole,Whole,,,की,Gestalt,Gestalt,,is the top a part or a property of the mountain
चोटी,,,,,,,,,,,,,,
से,से,Locus,Source,,से,Locus,Source,,,से,Locus,Source,,
तो,तो,Focus,Focus,,,,,,,तो,Focus,Focus,,
वो,,,,,,,,,,,,,,
पूरी,,,,,,,,,,,,,,
