,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
"""",,,,,,,,,,,,,,
नमस्कार,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
नमस्कार,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
सिग्नल-मैन,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
कहा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
क्या,,,,,,,,,,,,,,
कर,,,,,,,,,,,,,,
रहे,,,,,,,,,,,,,,
हो,,,,,,,,,,,,,,
यहां,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
हजारों,,,,,,,,,,,,,,
के,के,QuantityItem,Stuff,,का,QuantityItem,Stuff,,,के,QuantityItem,Stuff,,
झुंड,,,,,,,,,,,,,,
में,में,Whole,Locus,,में,Whole,Whole,,,में,Whole,Locus,,
यात्रियों,,,,,,,,,,,,,,
को,को,Theme,Theme,,को,Theme,Theme,,,को,Theme,Theme,,
चुनता,,,,,,,,,,,,,,
हूं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
उन,,,,,,,,,,,,,,
गाड़ियों,,,,,,,,,,,,,,
को,को,Theme,Theme,,को,Theme,Theme,,,को,Theme,Theme,,
दाएं-बाएं,,,,,,,,,,,,,,
भेजता,,,,,,,,,,,,,,
हूं,,,,,,,,,,,,,,
जिनमें,में,Locus,Locus,,में,Locus,Locus,,,में,Locus,Locus,,
यात्री,,,,,,,,,,,,,,
होते,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
तूफान,,,,,,,,,,,,,,
मेल,,,,,,,,,,,,,,
बिजली,,,,,,,,,,,,,,
की,की तरह,Manner,ComparisonRef,1:1,की तरह,Manner,ComparisonRef,1:1,,की तरह,Manner,ComparisonRef,1:1,
तरह,की तरह,,,1:2,की तरह,,,1:2,,की तरह,,,1:2,
गरजता,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
पूरे,,,,,,,,,,,,,,
केबिन,,,,,,,,,,,,,,
को,को,Theme,Theme,,को,Theme,Theme,,,को,Theme,Theme,,
हिलाता,,,,,,,,,,,,,,
हुआ,,,,,,,,,,,,,,
तेजी,,,,,,,,,,,,,,
से,से,Manner,Manner,,से,Manner,Manner,,,से,Manner,Manner,,
गुजर,,,,,,,,,,,,,,
जाता,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
ये,,,,,,,,,,,,,,
लोग,,,,,,,,,,,,,,
बड़ी,,,,,,,,,,,,,,
जल्दी,,,,,,,,,,,,,,
में,में,Characteristic,Locus,,में,Characteristic,Locus,,,में,Characteristic,Locus,,
हैं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
क्या,,,,,,,,,,,,,,
चाहते,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
ये,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
पूछा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
ड्राइवर,,,,,,,,,,,,,,
को,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
खुद,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
मालूम,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
दूसरी,,,,,,,,,,,,,,
ओर,,,,,,,,,,,,,,
से,से,Source,Source,,से,Source,Source,,,से,Source,Direction,,
एक,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
गाड़ी,,,,,,,,,,,,,,
शोर,,,,,,,,,,,,,,
मचाती,,,,,,,,,,,,,,
हुई,,,,,,,,,,,,,,
गुजर,,,,,,,,,,,,,,
गई,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
अरे,,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
लौट,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,
आए,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
पूछा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
वही,,,,,,,,,,,,,,
लोग,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
थे,,,,,,,,,,,,,,
ये,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
तो,तो,Focus,Focus,,,,,,,तो,Focus,Focus,,
दूसरी,,,,,,,,,,,,,,
गाड़ी,,,,,,,,,,,,,,
थी,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
जहां,,,,,,,,,,,,,,
थे,,,,,,,,,,,,,,
वहां,,,,,,,,,,,,,,
संतुष्ट,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
थे,,,,,,,,,,,,,,
ये,,,,,,,,,,,,,,
क्या,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
पूछा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
आदमी,,,,,,,,,,,,,,
जहां,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
वहां,,,,,,,,,,,,,,
कभी,,,,,,,,,,,,,,
संतुष्ट,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
रहता,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
फिर,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
गाड़ी,,,,,,,,,,,,,,
गुजरी,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
ये,,,,,,,,,,,,,,
लोग,,,,,,,,,,,,,,
पहले,,,,,,,,,,,,,,
यात्रियों,,,,,,,,,,,,,,
के,के पीछे,Direction,Locus,1:1,के पीछे,Locus,Locus,1:1,,के पीछे,Locus,Direction,1:1,
पीछे,के पीछे,,,1:2,के पीछे,,,1:2,,के पीछे,,,1:2,
जा,,,,,,,,,,,,,,
रहे,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
ये,,,,,,,,,,,,,,
कुछ,,,,,,,,,,,,,,
करते,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
अंदर,,,,,,,,,,,,,,
बैठे,,,,,,,,,,,,,,
सो,,,,,,,,,,,,,,
रहे,,,,,,,,,,,,,,
होंगे,,,,,,,,,,,,,,
या,,,,,,,,,,,,,,
जम्हाई,,,,,,,,,,,,,,
ले,,,,,,,,,,,,,,
रहे,,,,,,,,,,,,,,
होंगे,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
बस,,,,,,,,,,,,,,
बच्चे,,,,,,,,,,,,,,
खिड़की,,,,,,,,,,,,,,
से,से,Locus,Ancillary,,से,Goal,Ancillary,,*Q* force dynamics,से,Instrument,Instrument,,
नाक,,,,,,,,,,,,,,
रगड़ते,,,,,,,,,,,,,,
कुछ,,,,,,,,,,,,,,
देख,,,,,,,,,,,,,,
रहे,,,,,,,,,,,,,,
होंगे,,,,,,,,,,,,,,
