,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
अंत,,,,,,,,,,,,,,
में,में,Circumstance,Circumstance,,में,Circumstance,Circumstance,,,में,Circumstance,Circumstance,,
रेगिस्तान,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
पहाड़,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
बर्फ़ीले,,,,,,,,,,,,,,
मैदानों,,,,,,,,,,,,,,
में,में,Locus,Locus,,में,Locus,Locus,,,में,Locus,Locus,,
भटकते-भटकते,,,,,,,,,,,,,,
नन्हे,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
को,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
एक,,,,,,,,,,,,,,
रास्ता,,,,,,,,,,,,,,
दिखाई,,,,,,,,,,,,,,
पड़ा,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
रास्ते,,,,,,,,,,,,,,
आदमियों,,,,,,,,,,,,,,
तक,तक,Goal,Extent,,तक,Goal,Goal,,,तक,Goal,Goal,,Extent?
ले,,,,,,,,,,,Goal,Extent,,
जाते,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
नमस्कार,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
फूलों,,,,,,,,,,,,,,
से,से,Instrument,Instrument,,से,Causer,Causer,,,से,Instrument,Instrument,,loaded with flowers
लदे,,,,,,,,,,,,,,
बाग,,,,,,,,,,,,,,
को,को,Stimulus,Theme,,को,Stimulus,Theme,,,को,Stimulus,Theme,,
देखकर,,,,,,,,,,,,,,
उसने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
कहा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
नमस्कार,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
गुलाब,,,,,,,,,,,,,,
के,के,Identity,Identity,,का,Identity,Identity,,,के,Identity,Identity,,
फूलों,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
उत्तर,,,,,,,,,,,,,,
दिया,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
ने,ने,Experiencer,Agent,,ने,Experiencer,Agent,,,ने,Experiencer,Agent,,
देखा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
वे,,,,,,,,,,,,,,
सब,,,,,,,,,,,,,,
उसके,के,Possessor,Possessor,,का,Possessor,Possessor,,,के,Possessor,Possessor,,
अपने,,Possessor,Possessor,,का,Possessor,Possessor,,,,??,??,,"should be marked? or just purely marks 
reflexive function?"
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
फूल,,,,,,,,,,,,,,
की,की तरह,ComparisonRef,ComparisonRed,1:1,की तरह,ComparisonRef,ComparisonRef,1:1,,की तरह,ComparisonRef,ComparisonRed,1:1,
तरह,की तरह,,,1:2,की तरह,,,1:2,,की तरह,,,1:2,
थे,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
कौन,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
आप,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
चकित,,,,,,,,,,,,,,
होकर,,,,,,,,,,,,,,
उसने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
पूछा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
हम,,,,,,,,,,,,,,
लोग,,,,,,,,,,,,,,
गुलाब,,,,,,,,,,,,,,
के,के,Identity,Identity,,का,Identity,Identity,,,के,Identity,Identity,,
फूल,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
अच्छा,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
अच्छा,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
