,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
मुझे,को,Theme,Recipient,,को,Theme,Recipient,,"passes reflexivization test for subject, passage of time is Theme",को,Experiencer,Recipient,,Scene is just: मुझे यह समझने
यह,,,,,,,,,,,,,,
समझने,,,,,,,,,,,,,,
में,में,Circumstance,Circumstance,,में,Topic,Topic,,"unsure, took time to do x is Purpose but this use of में is generally Topic",में,Circumstance,Circumstance,,"""Some days passed in understanding this that...""
Some days passed could be a sentence on its own, with the rest providing context"
कई,,,,,,,,,,,,,,
दिन,,,,,,,,,,,,,,
लग,,,,,,,,,,,,,,
गए,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
आखिर,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
नन्हा,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
कौन,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
कहां,,,,,,,,,,,,,,
से,से,Source,Source,,से,Source,Source,,,से,Source,Source,,
आया,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
मुझसे,से,Recipient,Source,,से,Recipient,Source,,,से,Recipient,Ancillary,,"Omkar Koul page 47, use of 'se' for association / mutual dealing"
तो,तो,Focus,Focus,,,,,,,तो,Focus,Focus,,
बहुत,,,,,,,,,,,,,,
सारे,,,,,,,,,,,,,,
सवाल,,,,,,,,,,,,,,
पूछता,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
पर,,,,,,,,,,पर,NONSNACS,NONSNACS,,
लगता,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
मेरी,का,Originator,Gestalt,,का,Originator,Gestalt,,,की,Possessor,Possessor,,my questions - alienable?
बिल्कुल,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
सुनता,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मुझे,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
धीरे-धीरे,,,,,,,,,,,,,,
उसकी,का,Originator,Gestalt,,का,Originator,Gestalt,,,की,Originator,Gestalt,,
बातों,,,,,,,,,,,,,,
से,से,Source,Source,,से,Source,Source,,*Q* indication?,से,Source,Source,,"Has a Causer-like feel, but inanimate. em guidelines 103"
सब,,,,,,,,,,,,,,
कुछ,,,,,,,,,,,,,,
पता,,,,,,,,,,,,,,
चला,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
इस,,,,,,,,,,,,,,
प्रकार,,,,,,,,,,,,,,
जब,,,,,,,,,,,,,,
उसने,ने,Experiencer,Agent,,ने,Experiencer,Agent,,,ने,Experiencer,Agent,,
मेरा,का,Possessor,Possessor,,का,Possessor,Possessor,,,का,Possessor,Possessor,,
जहाज,,,,,,,,,,,,,,
पहली,,,,,,,,,,,,,,
बार,,,,,,,,,,,,,,
देखा,,,,,,,,,,,,,,
(,,,,,,,,,,,,,,
जहाज,,,,,,,,,,,,,,
का,का,Topic,Topic,,का,Topic,Topic,,,का,Topic,Topic,,
चित्र,,,,,,,,,,,,,,
बनाना,,,,,,,,,,,,,,
मेरे,का,Gestalt,Gestalt,,का,Gestalt,Gestalt,,,के,Gestalt,Gestalt,,
वश,,,,,,,,,,,,,,
की,का,Topic,Topic,,का,ComparisonRef,Gestalt,,"sort of like ""within my power""",का,Topic,Topic,,"difficult scene ,
 maybe the scene doesnt exist like in 'my abilities'
**revisit**"
बात,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
),,,,,,,,,,,,,,
तो,तो,NONSNACS,NONSNACS,,,,,,,तो,`d,,,
पूछ,,,,,,,,,,,,,,
बैठा,,,,,,,,,,,,,,
