,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
हर,,,,,,,,,,,,,,
दिन,,,,,,,,,,,,,,
मुझे,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
कुछ-न-कुछ,,,,,,,,,,,,,,
पता,,,,,,,,,,,,,,
चलता,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,
कभी,,,,,,,,,,,,,,
ग्रह,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
कभी,,,,,,,,,,,,,,
वहां,,,,,,,,,,,,,,
से,से,Source,Source,,से,Source,Source,,,से,Source,Source,,
प्रस्थान,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
कभी,,,,,,,,,,,,,,
यात्राओं,,,,,,,,,,,,,,
के,के बारे में,Topic,Topic,1:1,के बारे में,Topic,Topic,1:1,,के बारे में,Topic,Topic,1:1,
बारे,के बारे में,,,1:2,के बारे में,,,1:2,,के बारे में,,,1:2,
में,के बारे में,,,1:3,के बारे में,,,1:3,,के बारे में,,,1:3,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
सब,,,,,,,,,,,,,,
धीरे-धीरे,,,,,,,,,,,,,,
अनायास,,,,,,,,,,,,,,
हुआ,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
इसी,,,,,,,,,,,,,,
तरह,,,,,,,,,unsure *Q*,,,,,adjective may not be adposition by itself
राजकुमार,,,,,,,,,,,,,,
से,से,Ancillary,Ancillary,,से,Agent,Ancillary,,,से,Ancillary,Ancillary,,passes together with test
मुलाकात,,,,,,,,,,,,,,
के,के,Time,Whole,,का,QuantityItem,Whole,,,के,Time,Time,,"on the third day of meeting the prince'
assumes ordinal dates (third day) are absolute times
**revisit** - not time as not absolute?"
तीसरे,,,,,,,,,,,,,,
दिन,,,,,,,,,,,,,,
