,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
छः,,,,,,,,,,,,,,
साल,,,,,,,,,,,,,,
पहले,पहले,Time,Interval,,पहले,Time,Interval,,,पहले,Time,Interval,,defined as an adjective in the OHED
तक,तक,EndTime,EndTime,,तक,EndTime,EndTime,,,तक,EndTime,EndTime,,
बिना,बिना,Manner,Manner,,बिना,Manner,Manner,,without really telling what I really felt to anyone else,बिना,Manner,Manner,,
किसी,,,,,,,,,,,,,,
से,से,Recipient,Ancillary,,से,Recipient,Ancillary,,unsure between Agent and Recipient,से,Ancillary,Ancillary,,passes the together with test for scene
मन,,,,,,,,,,,,,,
की,का,Topic,Topic,,का,Topic,Topic,,,की,Topic,Topic,,
बात,,,,,,,,,,,,,,
किए,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
एकाकी,,,,,,,,,,,,,,
सा,सा,Extent,Extent,,,,,,,सा,Extent,Extent,,
",",,,,,,,,,,,,,,
जीता,,,,,,,,,,,,,,
रहा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
दिन,,,,,,,,,,,,,,
सहारा,,,,,,,,,,,,,,
के,का,Identity,Identity,,का,Identity,Identity,,,के,Identity,Identity,,
रेगिस्तान,,,,,,,,,,,,,,
में,में,Locus,Locus,,में,Locus,Locus,,,में,Locus,Locus,,
मेरा,का,Possessor,Possessor,,,,,,,का,Possessor,Possessor,,
जहाज,,,,,,,,,,,,,,
बिगड़,,,,,,,,,,,,,,
गया,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
मुझे,को,Agent,Agent,,को,Agent,Agent,,,को,Agent,Agent,,"had to get off', modal verb treatment unclear"
उतरना,,,,,,,,,,,,,,
पड़ा।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
न,,,,,,,,,,,,,,
तो,तो,Focus,Focus,,,,,,,तो,Focus,Focus,,emphasis
मेरे,के साथ,Ancillary,Ancillary,1:1,के साथ,Locus,Ancillary,1:1,,के साथ,Ancillary,Ancillary,1:1,passes together with test
साथ,के साथ,,,1:2,के साथ,,,1:2,,के साथ,,,1:2,
कोई,,,,,,,,,,,,,,
मिस्त्री,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
न,,,,,,,,,,,,,,
