,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
पूरा,,,,,,,,,,,,,,
रेगिस्तान,,,,,,,,,,,,,,
पार,,,,,,,,,,,,,,
करते,,,,,,,,,,,,,,
हुए,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
को,को,Recipient,Recipient,,को,Recipient,Recipient,,,को,Recipient,Recipient,,
बस,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
फूल,,,,,,,,,,,,,,
मिला,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
तीन,,,,,,,,,,,,,,
पंखुड़ियों,,,,,,,,,,,,,,
वाला,वाला,PartPortion,Characteristic,,वाला,PartPortion,Characteristic,,,वाला,PartPortion,Characteristic,,
",",,,,,,,,,,,,,,
साधारण,,,,,,,,,,,,,,
सा,सा,Extent,Extent,,,,,,,सा,Extent,Extent,,
फूल,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
नमस्ते,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
कहा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
नमस्ते,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
फूल,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
जवाब,,,,,,,,,,,,,,
दिया,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
आदमी,,,,,,,,,,,,,,
लोग,,,,,,,,,,,,,,
कहां,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
कुछ,,,,,,,,,,,,,,
दिन,,,,,,,,,,,,,,
पहले,पहले,Time,Interval,,पहले,Time,Interval,,,पहले,Time,Interval,,
फूल,,,,,,,,,,,,,,
ने,ने,Experiencer,Agent,,ने,Experiencer,Agent,,,ने,Experiencer,Agent,,
एक,,,,,,,,,,,,,,
क़ाफ़िला,,,,,,,,,,,,,,
गुजरते,,,,,,,,,,,,,,
देखा,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
आदमी,,,,,,,,,,,,,,
लोग,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मेरे,के ख़याल से,`d,`d,1:1,के ख़याल से,`d,`d,1:1,,के ख़याल से,`d,`d,1:1,
ख्याल,के ख़याल से,,,1:2,के ख़याल से,,,1:2,,के ख़याल से,,,1:2,
से,के ख़याल से,,,1:3,के ख़याल से,,,1:3,,के ख़याल से,,,1:3,
कुल,,,,,,,,,,,,,,
छह-सात,,,,,,,,,,,,,,
आदमी,,,,,,,,,,,,,,
होंगे,,,,,,,,,,,,,,
धरती,,,,,,,,,,,,,,
पर,पर,Locus,Locus,,पर,Locus,Locus,,,पर,Locus,Locus,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
उन्हें,को,Stimulus,Theme,,को,Stimulus,Theme,,,को,Stimulus,Theme,,
गुजरते,,,,,,,,,,,,,,
देखा,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
मैंने,ने,Experiencer,Agent,,ने,Experiencer,Agent,,,ने,Experiencer,Agent,,
कई,,,,,,,,,,,,,,
साल,,,,,,,,,,,,,,
पहले,पहले,Time,Interval,,पहले,Time,Interval,,,पहले,Time,Interval,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
लेकिन,,,,,,,,,,,,,,
अब,,,,,,,,,,,,,,
कहां,,,,,,,,,,,,,,
मिलेंगे,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
मुझे,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
मालूम,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
हवा,,,,,,,,,,,,,,
उन्हें,को,Theme,Theme,,को,Theme,Theme,,,को,Theme,Theme,,
यहां,,,,,,,,,,,,,,
से,से,Source,Source,,से,Source,Source,,,से,Source,Source,,
बहा,,,,,,,,,,,,,,
ले,,,,,,,,,,,,,,
जाती,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,
इधर-उधर,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
उनकी,की,Gestalt,Gestalt,,का,Whole,Whole,,,की,Gestalt,Gestalt,,metaphorical - going with Gestalt
कोई,,,,,,,,,,,,,,
जड़ें,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
इसीलिए,के लिए,Explanation,Explanation,,के लिए,Explanation,Explanation,,,के लिए,Explanation,Explanation,,
वे,,,,,,,,,,,,,,
खानाबदोश,,,,,,,,,,,,,,
होते,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
अलविदा,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
कहा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
अलविदा।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
