,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
चौथे,,,,,,,,,,,,,,
ग्रह,,,,,,,,,,,,,,
का,का,Possession,Possession,,का,Possession,Possession,,'the owner of the planet',का,Possession,Possession,,
स्वामी,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
व्यवसायी,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
व्यक्ति,,,,,,,,,,,,,,
इतना,,,,,,,,,,,,,,
व्यस्त,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
उसने,ने,Agent,Agent,,ने,Agent,Agent,,,ने,Agent,Agent,,
राजकुमार,,,,,,,,,,,,,,
के,के,Theme,Theme,,के,Theme,Theme,,,का,Theme,Theme,,
आने,,,,,,,,,,,,,,
की,की,Topic ,Topic,,की,Topic ,Topic,,,का,Topic,Topic,,
आहट,,,,,,,,,,,,,,
पर,पर,Explanation,Time,,पर,Time,Time,,"mediates between two time expressions
is in its own clause scene, so not an explanation of the matrix clause scene",पर,Explanation,Time,,*Q* feels more Time though
अपना,का,Whole,Whole,,का,Whole,Whole,,,का,Whole,Whole,,
सिर,,,,,,,,,,,,,,
तक,तक,FOCUS,Focus,Focus,तक,FOCUS,Focus,Focus,even',तक,`d,`d,,emphatic
नहीं,,,,,,,,,,,,,,
उठाया,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
नमस्ते,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
आपकी,की,Possessor,Possessor,,की,Possessor,Possessor,,,का,Possessor,Possessor,,
सिगरेट,,,,,,,,,,,,,,
बुझ,,,,,,,,,,,,,,
चुकी,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
बोला।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
तीन,,,,,,,,,,,,,,
दो,,,,,,,,,,,,,,
पांच।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
पांच,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
सात,,,,,,,,,,,,,,
ग्यारह,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
नमस्कार,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
पंद्रह,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
सात,,,,,,,,,,,,,,
बाईस,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
बाईस,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
छः,,,,,,,,,,,,,,
अट्ठाईस,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
उसे,को,Theme,Theme,,को,Theme,Theme,,,को,Theme,Theme,,
जलाने,,,,,,,,,,,,,,
तक,तक,FOCUS,Focus,Focus,तक,FOCUS,Focus,Focus,,तक,`d,`d,,
का,का,Purpose,Purpose,,का,Purpose,Purpose,,,का,Purpose,Purpose,,
वक्त,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
छब्बीस,,,,,,,,,,,,,,
ओर,,,,,,,,,,,,,,
पांच,,,,,,,,,,,,,,
इकतीस,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
हूं,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
तो,तो,`d,,,तो,`d,,,,,,,,
कुछ,,,,,,,,,,,,,,
मिलाकर,,,,,,,,,,,,,,
पचास,,,,,,,,,,,,,,
करोड़,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
सोलह,,,,,,,,,,,,,,
लाख,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
बाईस,,,,,,,,,,,,,,
हजार,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
सात,,,,,,,,,,,,,,
सौ,,,,,,,,,,,,,,
इकतीस,,,,,,,,,,,,,,
हुआ।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
पचास,,,,,,,,,,,,,,
करोड़,,,,,,,,,,,,,,
क्या,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
अच्छा,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
