,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
राजकुमार,,,,,,,,,,,,,,
बोला,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
आदमी,,,,,,,,,,,,,,
लोग,,,,,,,,,,,,,,
तेज,,,,,,,,,,,,,,
गाड़ियों,,,,,,,,,,,,,,
में,में,Instrument,Locus,,में,Instrument,Locus,,,में,Means/Locus,Locus,,"Instrument facilitates the action, 
has adjunct quality but 'in the car'?"
भागते,,,,,,,,,,,,,,
फिरते,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
बिना,बिना,Manner,Manner,,,,,,,बिना,Manner,Manner,,
जाने,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
उन्हें,को,Agent,Recipient,,को,Experiencer,Recipient,,,को,Agent,Recipient,,"'talash' is governor? as unhe in sub clause
**revisit** noun governor with obl subject?"
किस,,,,,,,,,,,,,,
चीज,,,,,,,,,,,,,,
की,की,Theme,Theme,,का,Theme,Theme,,,की,Theme,Theme,,
तलाश,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
बस,,,,,,,,,,,,,,
कुछ,,,,,,,,,,,,,,
करते,,,,,,,,,,,,,,
रहते,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
कोल्हू,,,,,,,,,,,,,,
के,के,Characteristic,Characteristic,,का,Characteristic,Characteristic,,*Q*,के,Identity,Identity,,"idiomatic to Hindi 'a plodding ox'
idiom suggests tightly coupled concepts?"
बैल,,,,,,,,,,,,,,
की,की तरह,ComparisonRef,ComparisonRef,1:1,की तरह,ComparisonRef,ComparisonRef,1:1,,की तरह,ComparisonRef,ComparisonRef,1:1,
तरह,की तरह,,,1:2,की तरह,,,1:2,,की तरह,,,1:2,
...,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
