,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
तेज,,,,,,,,,,,,,,
व्यंग्यात्मक,,,,,,,,,,,,,,
बात,,,,,,,,,,,,,,
करने,,,,,,,,,,,,,,
वाला,वाला,Characteristic,Characteristic,,वाला,Characteristic,Characteristic,,,वाला,Characteristic,Characteristic,,
आदमी,,,,,,,,,,,,,,
कभी,,,,,,,,,,,,,,
बिल्कुल,,,,,,,,,,,,,,
सच,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
बोलता,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
बत्ती,,,,,,,,,,,,,,
वालों,वाला,??,??,,वाला,NONSNACS,NONSNACS,,,वाला,??,??,,
की,की,Topic,Topic,,का,Topic,Topic,,,की,Topic,Topic,,
बात,,,,,,,,,,,,,,
करते,,,,,,,,,,,,,,
समय,,,,,,,,,,,,,,
मैंने,ने,Agent,Agent,,ने,Agent,Agent,,,ने,Agent,Agent,,
थोड़ी,,,,,,,,,,,,,,
अतिश्योक्ति,,,,,,,,,,,,,,
कर,,,,,,,,,,,,,,
दी,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
जिन्हें,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
धरती,,,,,,,,,,,,,,
के,के बारे में,Topic,Topic,1:1,के बारे में,Topic,Topic,1:1,,के बारे में,Topic,Topic,1:1,
बारे,के बारे में,,,1:2,के बारे में,,,1:2,,के बारे में,,,1:2,
में,के बारे में,,,1:3,के बारे में,,,1:3,,के बारे में,,,1:3,
नहीं,,,,,,,,,,,,,,
मालूम,,,,,,,,,,,,,,
उन्हें,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
मेरी,की,Originator,Gestalt,,का,Originator,Gestalt,,,की,Originator,Gestalt,,
बात,,,,,,,,,,,,,,
से,से,Source,Source,,से,Source,Source,,,से,Explanation,Source,,"remove the negative, is it 
explanation?"
सही,,,,,,,,,,,,,,
तस्वीर,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
मिल,,,,,,,,,,,,,,
पाएगी,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
इस,,,,,,,,,,,,,,
विशाल,,,,,,,,,,,,,,
धरती,,,,,,,,,,,,,,
के,के,Whole,Whole,,का,Whole,Whole,,,के,Whole,Whole,,
बहुत,,,,,,,,,,,,,,
छोटे,,,,,,,,,,,,,,
से,से,Extent,Extent,,,,,,,से,Extent,Extent,,
हिस्से,,,,,,,,,,,,,,
पर,पर,Locus,Locus,,पर,Locus,Locus,,,पर,Locus,Locus,,
आदमी,,,,,,,,,,,,,,
रहता,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
यदि,,,,,,,,,,,,,,
कुल,,,,,,,,,,,,,,
दो,,,,,,,,,,,,,,
अरब,,,,,,,,,,,,,,
मनुष्य,,,,,,,,,,,,,,
एक-दूसरे,,,,,,,,,,,,,,
के,के पास,Locus,Locus,,के पास,Locus,Locus,1:1,,के पास,Locus,Locus,,
पास,के पास,,,,के पास,,,1:2,,के पास,,,,
खड़े,,,,,,,,,,,,,,
हो,,,,,,,,,,,,,,
जाएं,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
जैसे,जैसे,ComparisonRef,ComparisonRef,,जैसे,Manner,ComparisonRef,,,जैसे,ComparisonRef,ComparisonRef,,"much closer to en guidelines 453
the action of standing is not being compared here for Manner"
लोग,,,,,,,,,,,,,,
किसी,,,,,,,,,,,,,,
सभा,,,,,,,,,,,,,,
में,में,Circumstance,Locus,,में,Circumstance,Locus,,,में,Locus,Locus,,difficult
खड़े,,,,,,,,,,,,,,
होते,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
तो,तो,`d,,,,,,,,तो,`d,,,
बीस,,,,,,,,,,,,,,
मील,,,,,,,,,,,,,,
लंबी,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
बीस,,,,,,,,,,,,,,
मील,,,,,,,,,,,,,,
चैड़ी,,,,,,,,,,,,,,
जगह,,,,,,,,,,,,,,
से,से,ComparisonRef,ComparisonRef,1:1,से ज़्यादा,Approximator,Approximator,2:1,,से,ComparisonRef,ComparisonRef,1:1,"Does not fuzzify the 20 by 20 km area like an approximator does
'will not take more than a 20 by 20 km area
Sketch engine - zyaada does not collocate with se often 
(missing in 8/15 examples)"
ज्यादा,,,,,से ज़्यादा,,,2:2,,,,,,
जगह,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
घेरेंगे,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
सारी,,,,,,,,,,,,,,
मानवता,,,,,,,,,,,,,,
को,को,Theme,Theme,,को,Theme,Theme,,,को,Theme,Theme,,
प्रशांत,,,,,,,,,,,,,,
