,Target,SS,SS2,MWE,Notes
छः,"","","","",""
साल,"","","","",""
बीत,"","","","",""
गए,"","","","",""
...,"","","","",""
"","","","","",""
मैंने,ने,Originator,Agent,"",""
कभी,"","","","",""
नहीं,"","","","",""
सुनाई,"","","","",""
यह,"","","","",""
कहानी,"","","","",""
।,"","","","",""
,"","","","",""
मेरे,का,Theme,Theme,"",""
जिंदा,"","","","",""
वापिस,"","","","",""
आने,"","","","",""
पर,पर,Explanation,Time,"",""
मेरे,का,SocialRel,Gestalt,"",""
दोस्त,"","","","",""
खुश,"","","","",""
हुए,"","","","",""
थे,"","","","",""
!,"","","","",""
"","","","","",""
मैं,"","","","",""
उदास,"","","","",""
था,"","","","",""
लेकिन,"","","","",""
मैंने,ने,Originator,Agent,"",""
उनसे,से,Recipient,Ancillary,"",""
कहा,"","","","",""
",","","","","",""
"""","","","","",""
कुछ,"","","","",""
नहीं,"","","","",""
बस,"","","","",""
थका,"","","","",""
हुआ,"","","","",""
हूं,"","","","",""
...,"","","","",""
।,"","","","",""
"""","","","","",""
,"","","","",""
अब,"","","","",""
कुछ,"","","","",""
संभला,"","","","",""
हूं,"","","","",""
पर,"","","","",""
पूरी,"","","","",""
तरह,"","","","",""
नहीं,"","","","",""
।,"","","","",""
,"","","","",""
मैं,"","","","",""
नहीं,"","","","",""
जानता,"","","","",""
हूं,"","","","",""
कि,"","","","",""
वह,"","","","",""
अपने,का,Possessor,Possessor,"",""
घर,"","","","",""
पहुंच,"","","","",""
गया,"","","","",""
।,"","","","",""
,"","","","",""
क्योंकि,"","","","",""
दूसरे,"","","","",""
दिन,"","","","",""
सुबह,"","","","",""
मैंने,ने,Recipient,Recipient,"",""
उसका,का,Whole,Whole,"",*Q*
शरीर,"","","","",""
वहां,"","","","",""
नहीं,"","","","",""
पाया,"","","","",""
था,"","","","",""
।,"","","","",""
,"","","","",""
उतना,"","","","",""
भारी,"","","","",""
नहीं,"","","","",""
था,"","","","",""
उसका,का,Whole,Whole,"",*Q*
शरीर,"","","","",""
...,"","","","",""
"","","","","",""
रात,"","","","",""
को,को,Time,Time,"",""
मैं,"","","","",""
सितारों,"","","","",""
की,का,Gestalt,Gestalt,"",*Q* Sensory content
आवाज,"","","","",""
सुनता,"","","","",""
हूं,"","","","",""
मानों,"","","","",""
करोड़ों,"","","","",""
घंटियां,"","","","",""
बज,"","","","",""
रही,"","","","",""
