,Target,SS,SS2,MWE,Notes
अगले,,,,,
ग्रह,,,,,
में,में,Locus,Locus,,
एक,,,,,
शराबी,,,,,
रहता,,,,,
था,,,,,
।,,,,,
,,,,,
वहां,,,,,
वह,,,,,
थोड़ी,,,,,
ही,,,,,
देर,,,,,
रहा,,,,,
पर,,,,,
उसका,का,Whole,Whole,,
मन,,,,,
विषाद,,,,,
से,से,Theme,Instrument,,*Q* metaphorical filling though
भर,,,,,
गया,,,,,
।,,,,,
,,,,,
उसने,ने,Experiencer,Agent,,
देखा,,,,,
कि,,,,,
वह,,,,,
व्यक्ति,,,,,
कुछ,,,,,
खाली,,,,,
",",,,,,
कुछ,,,,,
भरी,,,,,
बोतलें,,,,,
लिए,,,,,
चुपचाप,,,,,
बैठा,,,,,
है,,,,,
।,,,,,
,,,,,
उसने,ने,Originator,Agent,,
पूछा,,,,,
",",,,,,
,,,,,
"""",,,,,
क्या,,,,,
कर,,,,,
रहे,,,,,
हैं,,,,,
आप,,,,,
?,,,,,
"""",,,,,
,,,,,
एक,,,,,
उदास,,,,,
आवाज,,,,,
में,में,Manner,Manner,,
उसने,ने,Originator,Agent,,
जवाब,,,,,
दिया,,,,,
",",,,,,
,,,,,
"""",,,,,
पी,,,,,
रहा,,,,,
हूं,,,,,
।,,,,,
"""",,,,,
,,,,,
"""",,,,,
क्यों,,,,,
पी,,,,,
रहे,,,,,
हैं,,,,,
?,,,,,
"""",,,,,
,,,,,
"""",,,,,
भूलने,,,,,
के,के लिए,Purpose,Purpose,1:1,
लिए,के लिए,,,1:2,
।,,,,,
"""",,,,,
,,,,,
"""",,,,,
क्या,,,,,
भूलने,,,,,
के,के लिए,Purpose,Purpose,1:1,
लिए,के लिए,,,1:2,
?,,,,,
"""",,,,,
,,,,,
राजकुमार,,,,,
ने,ने,Originator,Agent,,
पूछा,,,,,
।,,,,,
,,,,,
वह,,,,,
उसकी,का,Gestalt,Gestalt,,
हालत,,,,,
पर,पर,Stimulus,Topic,,*Q*
दुखी,,,,,
था,,,,,
।,,,,,
,,,,,
"""",,,,,
यह,,,,,
भूलने,,,,,
के,के लिए,Purpose,Purpose,1:1,
लिए,के लिए,,,1:2,
कि,,,,,
मैं,,,,,
शर्मिन्दा,,,,,
हूं,,,,,
।,,,,,
"""",,,,,
,,,,,
उसने,ने,Originator,Agent,,
स्वीकार,,,,,
किया,,,,,
।,,,,,
,,,,,
उसका,का,Whole,Whole,,
सिर,,,,,
एक,,,,,
तरफ,,,,,
झूल,,,,,
रहा,,,,,
था,,,,,
।,,,,,
,,,,,
"""",,,,,
किस,,,,,
बात,,,,,
की,का,Stimulus,Topic,,
शर्म,,,,,
?,,,,,
"""",,,,,
,,,,,
राजकुमार,,,,,
ने,ने,Originator,Agent,,
जोर,,,,,
देकर,,,,,
पूछा,,,,,
।,,,,,
,,,,,
"""",,,,,
मुझे,को,Experiencer,Recipient,,
अपने,का,Agent,Gestalt,,
पीने,,,,,
पर,पर,Stimulus,Topic,,
शर्म,,,,,
है,,,,,
।,,,,,
"""",,,,,
,,,,,
उस,,,,,
पिअक्कड़,,,,,
ने,ने,Agent,Agent,,
अपनी,का,Originator,Gestalt,,
बात,,,,,
खत्म,,,,,
करके,,,,,
एकदम,,,,,
से,से,Manner,Manner,,
चुप्पी,,,,,
साध,,,,,
ली,,,,,
।,,,,,
,,,,,
राजकुमार,,,,,
के,का,Experiencer,Gestalt,,
कुछ,,,,,
समझ,,,,,
में,में,Goal,Locus,,
नहीं,,,,,
आया,,,,,
।,,,,,
,,,,,
वह,,,,,
चल,,,,,
पड़ा,,,,,
",",,,,,
उसने,ने,Experiencer,Agent,,
सोचा,,,,,
ये,,,,,
बड़े,,,,,
लोग,,,,,
सचमुच,,,,,
बड़े,,,,,
अजीब,,,,,
होते,,,,,
हैं,,,,,
।,,,,,
