"","Target","SS","SS2","MWE","Notes"
"छः","","","","",""
"साल","","","","",""
"पहले","पहले","Time","Interval","",""
"तक","तक","EndTime","EndTime","",""
"बिना","बिना","Manner","Manner","","without really telling what I really felt to anyone else"
"किसी","","","","",""
"से","से","Recipient","Ancillary","","unsure between Agent and Recipient"
"मन","","","","",""
"की","का","Topic","Topic","",""
"बात","","","","",""
"किए","","","","",""
",","","","","",""
"एकाकी","","","","",""
"सा","","","","",""
",","","","","",""
"जीता","","","","",""
"रहा","","","","",""
"।","","","","",""
"","","","","",""
"एक","","","","",""
"दिन","","","","",""
"सहारा","","","","",""
"के","का","Identity","Identity","",""
"रेगिस्तान","","","","",""
"में","में","Locus","Locus","",""
"मेरा","","","","",""
"जहाज","","","","",""
"बिगड़","","","","",""
"गया","","","","",""
"और","","","","",""
"मुझे","को","Agent","Agent","",""
"उतरना","","","","",""
"पड़ा।","","","","",""
"","","","","",""
"न","","","","",""
"तो","","","","",""
"मेरे","के साथ","Locus","Ancillary","1:1",""
"साथ","के साथ","","","1:2",""
"कोई","","","","",""
"मिस्त्री","","","","",""
"था","","","","",""
"न","","","","",""
"यात्री।","","","","",""
"","","","","",""
"झख","","","","",""
"मार","","","","",""
"कर","","","","",""
"अकेले","","","","",""
"ही","","","","",""
"उसे","को","Theme","Theme","",""
"ठीक","","","","",""
"करने","","","","",""
"की","का","Topic","Identity","",""
"बात","","","","",""
"सोची","","","","",""
"।","","","","",""
"","","","","",""
"मेरे","के लिए","Experiencer","Beneficiary","1:1",""
"लिए","के लिए","","","1:2",""
"जीवन-मृत्यु","","","","",""
"का","का","Topic","Identity","",""
"प्रश्न","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"मेरे","के पास","Possessor","Locus","1:1",""
"पास","के पास","","","1:2",""
"मुश्किल","","","","",""
"से","से","Manner","Manner","",""
"आठ","","","","",""
"दिनों","","","","",""
"के","के लिए","ComparisonRef","Purpose","2:1","sufficiency/excess"
"लिए","के लिए","","","2:2",""
"पीने","","","","",""
"का","का","Purpose","Purpose","",""
"पानी","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"पहली","","","","",""
"शाम","","","","",""
",","","","","",""
"बस्ती","","","","",""
"से","से","Locus","Source","",""
"हजारों","","","","",""
"मील","","","","",""
"दूर","","","","",""
",","","","","",""
"रेत","","","","",""
"पर","पर","Locus","Locus","",""
