"","Target","SS","SS2","MWE","Notes"
"अंत","","","","",""
"में","में","Circumstance","Circumstance","",""
"रेगिस्तान","","","","",""
",","","","","",""
"पहाड़","","","","",""
",","","","","",""
"और","","","","",""
"बर्फ़ीले","","","","",""
"मैदानों","","","","",""
"में","में","Locus","Locus","",""
"भटकते-भटकते","","","","",""
"नन्हे","","","","",""
"राजकुमार","","","","",""
"को","को","Experiencer","Recipient","",""
"एक","","","","",""
"रास्ता","","","","",""
"दिखाई","","","","",""
"पड़ा","","","","",""
"-","","","","",""
"और","","","","",""
"रास्ते","","","","",""
"आदमियों","","","","",""
"तक","तक","Goal","Goal","",""
"ले","","","","",""
"जाते","","","","",""
"हैं","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"नमस्कार","","","","",""
",","","","","",""
"""","","","","",""
"एक","","","","",""
"फूलों","","","","",""
"से","से","Causer","Causer","",""
"लदे","","","","",""
"बाग","","","","",""
"को","को","Stimulus","Theme","",""
"देखकर","","","","",""
"उसने","ने","Originator","Agent","",""
"कहा","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"नमस्कार","","","","",""
",","","","","",""
"""","","","","",""
"गुलाब","","","","",""
"के","का","Identity","Identity","",""
"फूलों","","","","",""
"ने","ने","Originator","Agent","",""
"उत्तर","","","","",""
"दिया","","","","",""
"।","","","","",""
"","","","","",""
"राजकुमार","","","","",""
"ने","ने","Experiencer","Agent","",""
"देखा","","","","",""
"।","","","","",""
"","","","","",""
"वे","","","","",""
"सब","","","","",""
"उसके","का","Possessor","Possessor","",""
"अपने","का","Possessor","Possessor","",""
"ही","","","","",""
"फूल","","","","",""
"की","की तरह","ComparisonRef","ComparisonRef","1:1",""
"तरह","की तरह","","","1:2",""
"थे","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"कौन","","","","",""
"हैं","","","","",""
"आप","","","","",""
"?","","","","",""
"""","","","","",""
"चकित","","","","",""
"होकर","","","","",""
"उसने","ने","Originator","Agent","",""
"पूछा","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"हम","","","","",""
"लोग","","","","",""
"गुलाब","","","","",""
"के","का","Identity","Identity","",""
"फूल","","","","",""
"हैं","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"अच्छा","","","","",""
"!","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"अच्छा","","","","",""
"!","","","","",""
"""","","","","",""
"","","","","",""
"वह","","","","",""
"उदास","","","","",""
"हो","","","","",""
"गया","","","","",""
"।","","","","",""
"","","","","",""
"उसके","का","Possessor","Possessor","",""
"फूल","","","","",""
"ने","ने","Originator","Agent","",""
"उससे","से","Recipient","Ancillary","",""
"कहा","","","","",""
"था","","","","",""
"कि","","","","",""
"ब्रहमांड","","","","",""
"में","में","Whole","Locus","",""
"वह","","","","",""
"अपने","का","Gestalt","Gestalt","",""
"ढंग","","","","",""
"का","का","Characteristic","Identity","",""
"निराला","","","","",""
"फूल","","","","",""
"है।","","","","",""
"","","","","",""
"और","","","","",""
"यहां","","","","",""
"केवल","","","","",""
"एक","","","","",""
"ही","","","","",""
"बगीचे","","","","",""
"में","में","Locus","Locus","",""
"उसके","जैसे","ComparisonRef","ComparisonRef","1:1",""
"जैसे","जैसे","","","1:2",""
"हजारों","","","","",""
"फूल","","","","",""
"खिल","","","","",""
"रहे","","","","",""
"थे","","","","",""
"।","","","","",""
"","","","","",""
"उसने","ने","Experiencer","Agent","",""
"सोचा","","","","",""
"कि","","","","",""
"अगर","","","","",""
"वो","","","","",""
"इन्हें","को","Stimulus","Theme","",""
"देख","","","","",""
"ले","","","","",""
"तो","","","","",""
"परेशान","","","","",""
"हो","","","","",""
"जाएगा","","","","",""
"।","","","","",""
"","","","","",""
"उससे","से","Recipient","Ancillary","",""
"वह","","","","",""
"तरह-तरह","","","","",""
"के","का","Characteristic","Identity","",""
"बहाने","","","","",""
"बनाएगा","","","","",""
"जैसे","जैसे","Manner","ComparisonRef","",""
"मर","","","","",""
"रहा","","","","",""
"हो","","","","",""
"ताकि","","","","",""
"उस","","","","",""
"हास्यास्पद","","","","",""
"स्थिति","","","","",""
"से","से","Theme","Source","",""
"उबर","","","","",""
"सके","","","","",""
"।","","","","",""
"","","","","",""
"और","","","","",""
"मुझे","को","Agent","Agent","",""
"भी","","","","",""
"उसकी","का","Beneficiary","Theme","",""
"सेवा","","","","",""
"करने","","","","",""
"का","का","Identity","Identity","",""
"नाटक","","","","",""
"करना","","","","",""
"पड़ेगा","","","","",""
"।","","","","",""
"","","","","",""
"नहीं","","","","",""
"तो","","","","",""
"मुझे","को","Theme","Theme","",""
"नीचा","","","","",""
"दिखाने","","","","",""
"के","के लिए","Purpose","Purpose","1:1",""
"लिए","के लिए","","","1:2",""
"वह","","","","",""
"सचमुच","","","","",""
"मर","","","","",""
"जाएगा","","","","",""
"।","","","","",""
"","","","","",""
"वह","","","","",""
"सोचता","","","","",""
"रहा","","","","",""
",","","","","",""
"मैं","","","","",""
"अपने","","","","",""
"को","को","Topic","Theme","",""
"उस","","","","",""
"निराले","","","","",""
"फूल","","","","",""
"के","के कारण","Explanation","Explanation","1:1",""
"कारण","के कारण","","","1:2",""
"भाग्यशाली","","","","",""
"समझता","","","","",""
"था","","","","",""
",","","","","",""
"पर","","","","",""
"वह","","","","",""
"एक","","","","",""
"साधरण","","","","",""
"फूल","","","","",""
"निकला","","","","",""
"।","","","","",""
"","","","","",""
"एक","","","","",""
"फूल","","","","",""
"और","","","","",""
"तीन","","","","",""
"घुटने","","","","",""
"भर","","","","",""
"के","का","Characteristic","Identity","",""
"ज्वालामुखी","","","","",""
"जिसमें","के","Whole","Locus","",""
"एक","","","","",""
"शायद","","","","",""
"हमेशा","","","","",""
"के","के लिए","Duration","Duration","1:1",""
"लिए","के लिए","","","1:2",""
"सुप्त","","","","",""
"हो","","","","",""
"गया","","","","",""
"है","","","","",""
"-","","","","",""
"","","","","",""
"इतने","","","","",""
"मात्रा","","","","",""
"से","से","Explanation","Source","",""
"मैं","","","","",""
"एक","","","","",""
"ऐश्वर्यशाली","","","","",""
"राजकुमार","","","","",""
"नहीं","","","","",""
"हो","","","","",""
"सकता","","","","",""
"।","","","","",""
"","","","","",""
"घास","","","","",""
"पर","पर","Locus","Locus","",""
"लेटे-लेटे","","","","",""
"उसकी","का","Whole","Whole","",""
"आंखों","","","","",""
"से","से","Source","Source","",""
"आंसू","","","","",""
"बरसने","","","","",""
"लगे","","","","",""
"।","","","","",""
"","","","","",""
