"","Target","SS","SS2","MWE","Notes"
"पांचवे","","","","",""
"दिन","","","","",""
",","","","","",""
"सदा","","","","",""
"की","की तरह","ComparisonRef","ComparisonRef","1:1",""
"तरह","की तरह","","","1:2",""
"भेड़","","","","",""
"की","की कृपा से","Explanation","Explanation","2:1",""
"कृपा","की कृपा से","","","2:2",""
"से","की कृपा से","","","2:3",""
"ही","","","","",""
",","","","","",""
"नन्हे","","","","",""
"राजकुमार","","","","",""
"के","का","Topic","Topic","",""
"एक","","","","",""
"और","","","","",""
"रहस्य","","","","",""
"का","का","Topic","Topic","",""
"पता","","","","",""
"चला","","","","",""
"।","","","","",""
"","","","","",""
"जैसे","जैसे","Time","Time","",""
"वह","","","","",""
"किसी","","","","",""
"समस्या","","","","",""
"पर","पर","Topic","Topic","",""
"चुपचाप","","","","",""
"बहुत","","","","",""
"देर","","","","",""
"से","से","Duration","StartTime","","*Q*"
"विचार","","","","",""
"कर","","","","",""
"रहा","","","","",""
"हो","","","","",""
",","","","","",""
"उसने","ने","Originator","Agent","",""
"बिना","के बिना","Manner","Manner","1:1",""
"किसी","","","","",""
"भूमिका","","","","",""
"के","के बिना","","","1:2","*Q* idk?"
"झट","","","","",""
"से","से","Manner","Manner","",""
"कहा","","","","",""
",","","","","",""
"","","","","",""
"""","","","","",""
"अगर","","","","",""
"भेड़","","","","",""
"झाड़","","","","",""
"खाती","","","","",""
"है","","","","",""
"तो","","","","",""
"फूल","","","","",""
"भी","","","","",""
"खा","","","","",""
"सकती","","","","",""
"है","","","","",""
"?","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"भेड़","","","","",""
"जो","","","","",""
"भी","","","","",""
"मिल","","","","",""
"जाए","","","","",""
"खा","","","","",""
"डालती","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"""कांटे","","","","",""
"वाले","","","","",""
"फूल","","","","",""
"भी","","","","",""
"?","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"हां","","","","",""
",","","","","",""
"कांटेदार","","","","",""
"फूल","","","","",""
"भी।","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"तो","","","","",""
"फिर","","","","",""
"कांटे","","","","",""
"किस","","","","",""
"लिए","","","","",""
"होते","","","","",""
"हैं","","","","",""
"?","","","","",""
"""","","","","",""
"","","","","",""
"मुझे","को","Experiencer","Recipient","",""
"नहीं","","","","",""
"मालूम","","","","",""
"था","","","","",""
"यह।","","","","",""
"","","","","",""
"मेरे","का","Possessor","Possessor","",""
"जहाज","","","","",""
"के","का","Whole","Whole","",""
"इंजन","","","","",""
"में","में","Locus","Locus","",""
"एक","","","","",""
"बोल्ट","","","","",""
"फंस","","","","",""
"गया","","","","",""
"था","","","","",""
"तो","","","","",""
"मैं","","","","",""
"उसे","को","Theme","Theme","",""
"निकालने","","","","",""
"में","में","Topic","Topic","",""
"व्यस्त","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"मैं","","","","",""
"बड़ी","","","","",""
"चिंता","","","","",""
"में","में","Characteristic","Locus","",""
"था","","","","",""
"क्योंकि","","","","",""
"मरम्मत","","","","",""
"कठिन","","","","",""
"लगने","","","","",""
"लगी","","","","",""
"थी","","","","",""
"।","","","","",""
"","","","","",""
"सबसे","से","ComparisonRef","ComparisonRef","",""
"ज्यादा","","","","",""
"डर","","","","",""
"पानी","","","","",""
"समाप्त","","","","",""
"होने","","","","",""
"का","का","Stimulus","Gestalt","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"कांटे","","","","",""
"किस","","","","",""
"लिए","के लिए","Purpose","Purpose","",""
"होते","","","","",""
"हैं","","","","",""
"?","","","","",""
"""","","","","",""
"","","","","",""
"राजकुमार","","","","",""
"एक","","","","",""
"बार","","","","",""
"प्रश्न","","","","",""
"करने","","","","",""
"पर","पर","Time","Time","",""
"उसे","को","Topic","Theme","",""
"भूलता","","","","",""
"नहीं","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"मैं","","","","",""
"मरम्मत","","","","",""
"से","से","Stimulus","Causer","",""
"खीजा","","","","",""
"हुआ","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"जो","","","","",""
"भी","","","","",""
"मुंह","","","","",""
"में","में","Goal","Locus","",""
"आए","","","","",""
"उत्तर","","","","",""
"दे","","","","",""
"देता","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"कांटे","","","","",""
"एकदम","","","","",""
"बेकार","","","","",""
"होते","","","","",""
"हैं","","","","",""
"।","","","","",""
"","","","","",""
"बस","","","","",""
"फूलों","","","","",""
"के","के प्रति","Source","Direction","1:1","*Q* no clue"
"प्रति","के प्रति","","","1:2",""
"दुष्टता","","","","",""
"के","का","Topic","Topic","",""
"प्रतीक","","","","",""
"होते","","","","",""
"हैं","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"अच्छा","","","","",""
"!","","","","",""
"""","","","","",""
"","","","","",""
"वह","","","","",""
"थोड़ी","","","","",""
"देर","","","","",""
"तक","तक","Duration","EndTime","",""
"चुप","","","","",""
"रहा","","","","",""
"फिर","","","","",""
"झुंझला","","","","",""
"कर","","","","",""
"उसने","ने","Originator","Agent","",""
"प्रश्नों","","","","",""
"की","का","QuantityItem","Stuff","",""
"एक","","","","",""
"झड़ी","","","","",""
"लगा","","","","",""
"दी","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"लेकिन","","","","",""
"मुझे","को","Experiencer","Recipient","",""
"तेरी","","","","",""
"बात","","","","",""
"पर","पर","Topic","Topic","",""
"विश्वास","","","","",""
"नहीं","","","","",""
"होता","","","","",""
"।","","","","",""
"","","","","",""
"फूल","","","","",""
"तो","","","","",""
"कोमल","","","","",""
"होते","","","","",""
"हैं","","","","",""
",","","","","",""
"मासूम","","","","",""
"होते","","","","",""
"हैं","","","","",""
"।","","","","",""
"","","","","",""
"जैसे","जैसे","Manner","ComparisonRef","","*Q* however, in whatever way"
"भी","","","","",""
"हो","","","","",""
"अपने","","","","",""
"को","को","Experiencer","Recipient","",""
"आश्वस्त","","","","",""
"कर","","","","",""
"लेते","","","","",""
"हैं","","","","",""
"।","","","","",""
"","","","","",""
"कांटों","","","","",""
"के","का","Theme","Theme","",""
"होने","","","","",""
"से","से","Explanation","Source","",""
"वे","","","","",""
"अपने","","","","",""
"आप","","","","",""
"को","को","Topic","Theme","",""
"सुरक्षित","","","","",""
"समझते","","","","",""
"होंगे","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"मैंने","ने","Originator","Agent","",""
"कोई","","","","",""
"जवाब","","","","",""
"नहीं","","","","",""
"दिया","","","","",""
"।","","","","",""
"","","","","",""
"मैं","","","","",""
"सोच","","","","",""
"रहा","","","","",""
"था","","","","",""
"अगर","","","","",""
"थोड़ी","","","","",""
"देर","","","","",""
"में","में","Time","Interval","",""
"ठीक","","","","",""
"नहीं","","","","",""
"हुआ","","","","",""
"तो","","","","",""
"मैं","","","","",""
"बोल्ट","","","","",""
"पर","पर","Goal","Locus","",""
"हथौड़ा","","","","",""
"चला","","","","",""
"दूंगा","","","","",""
"।","","","","",""
"","","","","",""
"उसने","ने","Agent","Agent","",""
"फिर","","","","",""
"मेरा","का","Experiencer","Gestalt","",""
"ध्यान","","","","",""
"बंटा","","","","",""
"दिया","","","","",""
",","","","","",""
"","","","","",""
"""","","","","",""
"और","","","","",""
"तुझे","को","Experiencer","Recipient","",""
"विश्वास","","","","",""
"है","","","","",""
"कि","","","","",""
"फूल","","","","",""
"...","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"नहीं","","","","",""
",","","","","",""
"नहीं","","","","",""
",","","","","",""
"मैं","","","","",""
"कुछ","","","","",""
"नहीं","","","","",""
"जानता।","","","","",""
"""","","","","",""
"","","","","",""
"मैंने","ने","Recipient","Agent","",""
"जो","","","","",""
"भी","","","","",""
"समझा","","","","",""
"जवाब","","","","",""
"दे","","","","",""
"दिया","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"मैं","","","","",""
"जरूरी","","","","",""
"काम","","","","",""
"कर","","","","",""
"रहा","","","","",""
"हूं","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"अकबक","","","","",""
"होकर","","","","",""
"उसने","ने","Experiencer","Agent","",""
"मुझे","को","Stimulus","Theme","",""
"देखा","","","","",""
",","","","","",""
"","","","","",""
"""","","","","",""
"जरूरी","","","","",""
"काम","","","","",""
"?","","","","",""
"""","","","","",""
"","","","","",""
"उसने","ने","Experiencer","Agent","",""
"देखा","","","","",""
"कि","","","","",""
"मेरी","का","Whole","Whole","",""
"उंगलियां","","","","",""
"काली","","","","",""
"हो","","","","",""
"रही","","","","",""
"हैं","","","","",""
"और","","","","",""
"मैं","","","","",""
"एक","","","","",""
"भोंडी","","","","",""
"सी","","","","",""
"चीज","","","","",""
"पर","पर","Direction","Locus","",""
"हथौड़ा","","","","",""
"लिए","","","","",""
"झुका","","","","",""
"हुआ","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"तू","","","","",""
"तो","","","","",""
"बूढ़ों","","","","",""
"जैसे","जैसे","ComparisonRef","ComparisonRef","",""
"बातें","","","","",""
"करता","","","","",""
"है","","","","",""
