,Target,SS,SS2,MWE,Notes
पांचवा,,,,,
ग्रह,,,,,
अद्भुत,,,,,
था,,,,,
।,,,,,
,,,,,
वह,,,,,
सबसे,से,ComparisonRef,ComparisonRef,,
छोटा,,,,,
था,,,,,
-,,,,,
,,,,,
इतना,,,,,
छोटा,,,,,
कि,,,,,
बस,,,,,
इतनी,,,,,
जगह,,,,,
थी,,,,,
कि,,,,,
एक,,,,,
लैम्पपोस्ट,,,,,
और,,,,,
एक,,,,,
बत्ती,,,,,
वाला,वाला,NONSNACS,NONSNACS,,
खड़ा,,,,,
हो,,,,,
सके,,,,,
।,,,,,
,,,,,
राजकुमार,,,,,
के,का,Whole,Whole,,
समझ,,,,,
में,में,Goal,Locus,,
नहीं,,,,,
आया,,,,,
कि,,,,,
आकाश,,,,,
में,में,Locus,Locus,,
एक,,,,,
छोटे,,,,,
और,,,,,
वीरान,,,,,
ग्रह,,,,,
पर,पर,Locus,Locus,,
जहां,,,,,
कोई,,,,,
न,,,,,
रहता,,,,,
हो,,,,,
एक,,,,,
लालटेन,,,,,
और,,,,,
उसके,का,Theme,Theme,,
जलाने,,,,,
वाले,वाला,NONSNACS,NONSNACS,,
की,का,Stimulus,Topic,,
क्या,,,,,
जरूरत।,,,,,
,,,,,
फिर,,,,,
भी,,,,,
उसने,ने,Experiencer,Agent,,
सोचा,,,,,
,,,,,,
शायद,,,,,
यह,,,,,
आदमी,,,,,
बिल्कुल,,,,,
बकवास,,,,,
हो,,,,,
।,,,,,
,,,,,
पर,,,,,
यह,,,,,
उस,,,,,
राजा,,,,,
,,,,,,
घमंडी,,,,,
,,,,,,
शराबी,,,,,
और,,,,,
व्यवसायी,,,,,
जैसा,जैसा,ComparisonRef,ComparisonRef,,
मूढ़,,,,,
नहीं,,,,,
है,,,,,
।,,,,,
,,,,,
कम-से-कम,,,,,
उसके,का,Agent,Gestalt,,
काम,,,,,
का,का,Gestalt,Gestalt,,
कोई,,,,,
अर्थ,,,,,
तो,,,,,
है,,,,,
।,,,,,
,,,,,
जब,,,,,
वह,,,,,
अपनी,का,Possessor,Possessor,,
बत्ती,,,,,
जलाता,,,,,
है,,,,,
तो,,,,,
जैसे,जैसे,ComparisonRef,ComparisonRef,,
एक,,,,,
तारा,,,,,
,,,,,,
एक,,,,,
फूल,,,,,
जगमगाने,,,,,
लगता,,,,,
है,,,,,
और,,,,,
जब,,,,,
वह,,,,,
उसे,को,Theme,Theme,,
बुझाता,,,,,
है,,,,,
तो,,,,,
मानों,,,,,
वह,,,,,
तारा,,,,,
या,,,,,
फूल,,,,,
सो,,,,,
जाता,,,,,
है,,,,,
।,,,,,
,,,,,
यह,,,,,
तो,,,,,
एक,,,,,
सुंदर,,,,,
काम,,,,,
है,,,,,
और,,,,,
चूंकि,,,,,
सुंदर,,,,,
है,,,,,
इसलिए,के लिए,Explanation,Explanation,,
उपयोगी,,,,,
भी,,,,,
।,,,,,
,,,,,
जैसे,जैसे,Time,Time,,
ही,,,,,
उसने,ने,Agent,Agent,,
उस,,,,,
ग्रह,,,,,
पर,पर,Goal,Locus,,
पांव,,,,,
रखा,,,,,
,,,,,,
उसने,ने,Originator,Agent,,
उस,,,,,
जलानेवाले,वाला,NONSNACS,NONSNACS,,
को,को,Recipient,Theme,,depparse labels as obj
सम्मानपूर्वक,,,,,
नमस्कार,,,,,
किया,,,,,
,,,,,,
,,,,,
"""",,,,,
शुभ,,,,,
प्रातः,,,,,
!,,,,,
,,,,,
क्यों,,,,,
बुझा,,,,,
दी,,,,,
अपनी,का,Possessor,Possessor,,
बत्ती,,,,,
?,,,,,
"""",,,,,
,,,,,
"""",,,,,
यह,,,,,
नियम,,,,,
है,,,,,
,,,,,,
"""",,,,,
,,,,,
कहते,,,,,
हुए,,,,,
उसने,ने,Originator,Agent,,
जवाब,,,,,
दिया,,,,,
।,,,,,
,,,,,
"""",,,,,
क्या,,,,,
नियम,,,,,
है,,,,,
?,,,,,
"""",,,,,
,,,,,
"""",,,,,
यही,,,,,
कि,,,,,
मैं,,,,,
इसे,को,Theme,Theme,,
बुझाऊं,,,,,
।,,,,,
,,,,,
अरे,,,,,
शाम,,,,,
हो,,,,,
गई,,,,,
।,,,,,
"""",,,,,
,,,,,
उसने,ने,Agent,Agent,,
बत्ती,,,,,
जला,,,,,
दी,,,,,
।,,,,,
,,,,,
"""",,,,,
अरे,,,,,
!,,,,,
,,,,,
बत्ती,,,,,
क्यों,,,,,
जला,,,,,
दी,,,,,
?,,,,,
"""",,,,,
,,,,,
"""",,,,,
यह,,,,,
मेरा,का,Gestalt,Gestalt,,
काम,,,,,
है,,,,,
।,,,,,
"""",,,,,
,,,,,
"""",,,,,
मैं,,,,,
समझा,,,,,
नहीं,,,,,
,,,,,,
"""",,,,,
,,,,,
राजकुमार,,,,,
ने,ने,Originator,Agent,,
कहा,,,,,
।,,,,,
,,,,,
"""",,,,,
इसमें,में,Topic,Topic,,
समझने,,,,,
की,का,Purpose,Purpose,,
कोई,,,,,
बात,,,,,
नहीं,,,,,
।,,,,,
,,,,,
काम,,,,,
का,का,Gestalt,Gestalt,,
मतलब,,,,,
काम,,,,,
।,,,,,
,,,,,
शुभ,,,,,
प्रातः,,,,,
"""",,,,,
,,,,,
और,,,,,
उसने,ने,Agent,Agent,,
फिर,,,,,
बत्ती,,,,,
बुझा,,,,,
दी,,,,,
।,,,,,
,,,,,
फिर,,,,,
उसने,ने,Agent,Agent,,
एक,,,,,
सफ़ेद,,,,,
और,,,,,
लाल,,,,,
रंग,,,,,
के,का,Characteristic,Identity,,
रूमाल,,,,,
से,से,Instrument,Instrument,,
अपनी,का,Whole,Whole,,
ललाट,,,,,
पोंछ,,,,,
ली,,,,,
।,,,,,
,,,,,
"""",,,,,
बड़ा,,,,,
ही,,,,,
मुश्किल,,,,,
है,,,,,
यह,,,,,
।,,,,,
,,,,,
पहले,पहले,Time,Time,,*Q*
ठीक,,,,,
था,,,,,
।,,,,,
,,,,,
मैं,,,,,
सुबह,,,,,
की,का,Time,Gestalt,,
बत्ती,,,,,
बुझा,,,,,
देता,,,,,
था,,,,,
और,,,,,
शाम,,,,,
को,को,Time,Time,,
जला,,,,,
देता,,,,,
था,,,,,
।,,,,,
,,,,,
पूरा,,,,,
दिन,,,,,
आराम,,,,,
और,,,,,
पूरी,,,,,
रात,,,,,
सोने,,,,,
के,के लिए,Purpose,Purpose,1:1,
लिए,के लिए,,,1:2,
मिल,,,,,
जाती,,,,,
थी,,,,,
...,,,,,
"""",,,,,
,,,,,
"""",,,,,
और,,,,,
फिर,,,,,
क्या,,,,,
नियम,,,,,
बदल,,,,,
गया,,,,,
?,,,,,
"""",,,,,
,,,,,
"""",,,,,
नियम,,,,,
नहीं,,,,,
बदला,,,,,
।,,,,,
,,,,,
प्रकृति,,,,,
की,का,Causer,Gestalt,,*Q* uncertain, acts of nature?
लीला,,,,,
बदल,,,,,
गई,,,,,
।,,,,,
,,,,,
यह,,,,,
ग्रह,,,,,
हर,,,,,
साल,,,,,
