"","Target","SS","SS2","MWE","Notes"
"तेज","","","","",""
"व्यंग्यात्मक","","","","",""
"बात","","","","",""
"करने","","","","",""
"वाला","वाला","Characteristic","Characteristic","",""
"आदमी","","","","",""
"कभी","","","","",""
"बिल्कुल","","","","",""
"सच","","","","",""
"नहीं","","","","",""
"बोलता","","","","",""
"।","","","","",""
"","","","","",""
"बत्ती","","","","",""
"वालों","वाला","NONSNACS","NONSNACS","",""
"की","का","Topic","Topic","",""
"बात","","","","",""
"करते","","","","",""
"समय","","","","",""
"मैंने","ने","Agent","Agent","",""
"थोड़ी","","","","",""
"अतिश्योक्ति","","","","",""
"कर","","","","",""
"दी","","","","",""
"।","","","","",""
"","","","","",""
"जिन्हें","को","Experiencer","Recipient","",""
"धरती","","","","",""
"के","के बारे में","Topic","Topic","1:1",""
"बारे","के बारे में","","","1:2",""
"में","के बारे में","","","1:3",""
"नहीं","","","","",""
"मालूम","","","","",""
"उन्हें","को","Experiencer","Recipient","",""
"मेरी","का","Originator","Gestalt","",""
"बात","","","","",""
"से","से","Source","Source","",""
"सही","","","","",""
"तस्वीर","","","","",""
"नहीं","","","","",""
"मिल","","","","",""
"पाएगी","","","","",""
"।","","","","",""
"","","","","",""
"इस","","","","",""
"विशाल","","","","",""
"धरती","","","","",""
"के","का","Whole","Whole","",""
"बहुत","","","","",""
"छोटे","","","","",""
"से","","","","",""
"हिस्से","","","","",""
"पर","पर","Locus","Locus","",""
"आदमी","","","","",""
"रहता","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"यदि","","","","",""
"कुल","","","","",""
"दो","","","","",""
"अरब","","","","",""
"मनुष्य","","","","",""
"एक-दूसरे","","","","",""
"के","के पास","Locus","Locus","1:1",""
"पास","के पास","","","1:2",""
"खड़े","","","","",""
"हो","","","","",""
"जाएं","","","","",""
",","","","","",""
"जैसे","जैसे","Manner","ComparisonRef","",""
"लोग","","","","",""
"किसी","","","","",""
"सभा","","","","",""
"में","में","Circumstance","Locus","",""
"खड़े","","","","",""
"होते","","","","",""
"हैं","","","","",""
",","","","","",""
"तो","","","","",""
"बीस","","","","",""
"मील","","","","",""
"लंबी","","","","",""
"और","","","","",""
"बीस","","","","",""
"मील","","","","",""
"चैड़ी","","","","",""
"जगह","","","","",""
"से","से ज़्यादा","Approximator","Approximator","2:1",""
"ज्यादा","से ज़्यादा","","","2:2",""
"जगह","","","","",""
"नहीं","","","","",""
"घेरेंगे","","","","",""
"।","","","","",""
"","","","","",""
"सारी","","","","",""
"मानवता","","","","",""
"को","को","Theme","Theme","",""
"प्रशांत","","","","",""
"महासागर","","","","",""
"के","का","Locus","Whole","",""
"एक","","","","",""
"ही","","","","",""
"छोटे","","","","",""
"से","","","","",""
"द्वीप","","","","",""
"में","में","Goal","Locus","",""
"ठूंसा","","","","",""
"जा","","","","",""
"सकता","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"बड़े","","","","",""
"लोग","","","","",""
"इस","","","","",""
"बात","","","","",""
"पर","पर","Stimulus","Theme","",""
"विश्वास","","","","",""
"नहीं","","","","",""
"करेंगे","","","","",""
"।","","","","",""
"","","","","",""
"उनके","के ख़याल से","`d","`d","1:1",""
"ख्याल","के ख़याल से","","","1:2",""
"से","के ख़याल से","","","1:3",""
"वे","","","","",""
"बहुत","","","","",""
"बड़े","","","","",""
"भू-भाग","","","","",""
"पर","पर","Theme","Theme","",""
"काबिज","","","","",""
"हैं","","","","",""
"।","","","","",""
"","","","","",""
"वे","","","","",""
"अपने","","","","",""
"को","को","Topic","Theme","",""
"बाओबाब","","","","",""
"की","की तरह","ComparisonRef","ComparisonRef","1:1",""
"तरह","की तरह","","","1:2",""
"ही","","","","",""
"महत्वपूर्ण","","","","",""
"समझते","","","","",""
"हैं","","","","",""
"।","","","","",""
"","","","","",""
"उनसे","से","Recipient","Ancillary","",""
"संस्थाओं","","","","",""
"की","का","Topic","Topic","",""
"बात","","","","",""
"करनी","","","","",""
"चाहिए","","","","",""
"।","","","","",""
"","","","","",""
"यह","","","","",""
"उन्हें","को","Experiencer","Recipient","",""
"अच्छा","","","","",""
"लगता","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"लेकिन","","","","",""
"इस","","","","",""
"काम","","","","",""
"में","में","Circumstance","Circumstance","",""
"बहुत","","","","",""
"वक्त","","","","",""
"न","","","","",""
"लगाना","","","","",""
"।","","","","",""
"","","","","",""
"मुझ","","","","",""
"पर","पर","Stimulus","Theme","",""
"तुम्हें","को","Experiencer","Recipient","",""
"विश्वास","","","","",""
"है","","","","",""
"यह","","","","",""
"मैं","","","","",""
"जानता","","","","",""
"हूं","","","","",""
"।","","","","",""
"","","","","",""
"धरती","","","","",""
"पर","पर","Locus","Locus","",""
"आकर","","","","",""
"जब","","","","",""
"उसने","ने","Recipient","Agent","","*Q*"
"एक","","","","",""
"दम","","","","",""
"सुनसान","","","","",""
"पाया","","","","",""
"तो","","","","",""
"नन्हे","","","","",""
"राजकुमार","","","","",""
"को","को","Experiencer","Recipient","",""
"बड़ा","","","","",""
