"","Target","SS","SS2","MWE","Notes"
"ओह","","","","",""
"!","","","","",""
"","","","","",""
"नन्हें","","","","",""
"राजकुमार","","","","",""
"!","","","","",""
"","","","","",""
"मैंने","ने","Experiencer","Agent","",""
"तेरा","का","Theme","Theme","",""
"जीवन","","","","",""
",","","","","",""
"उसकी","का","Gestalt","Gestalt","","property of his life"
"उदासी","","","","",""
"धीरे-धीरे","","","","",""
"समझ","","","","",""
"ली","","","","",""
"थी","","","","",""
"","","","","",""
"बहुत","","","","",""
"दिनों","","","","",""
"तक","तक","Duration","EndTime","",""
"मेरे","के पास","Possessor","Locus","","uncertain"
"पास","के पास","","","",""
"मन","","","","",""
"बहलाने","","","","",""
"का","का","Purpose","Purpose","",""
"एक","","","","",""
"मात्रा","","","","",""
"साधन","","","","",""
"था","","","","",""
"सूर्यास्त","","","","",""
"का","का","Gestalt","Gestalt","",""
"सौंदर्य।","","","","",""
"","","","","",""
"इसका","का","","","",""
"पता","","","","",""
"मुझे","को","Recipient","Recipient","",""
"तुझसे","से","Agent","Ancillary","",""
"मुलाकात","","","","",""
"के","का","QuantityItem","Whole","",""
"चौथे","","","","",""
"दिन","","","","",""
"चला","","","","",""
"जब","","","","",""
"तूने","ने","Originator","Agent","",""
"मुझसे","से","Recipient","Ancillary","",""
"कहा","","","","",""
":","","","","",""
"","","","","",""
"""","","","","",""
"मुझे","को","Experiencer","Recipient","",""
"सूर्यास्त","","","","",""
"बहुत","","","","",""
"अच्छा","","","","",""
"लगता","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"आओ","","","","",""
"चलें","","","","",""
"देखें","","","","",""
"!","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"लेकिन","","","","",""
"उसके","के लिए","Purpose","Purpose","1:1",""
"लिए","के लिए","","","1:2",""
"तो","","","","",""
"अभी","","","","",""
"इंतजार","","","","",""
"करना","","","","",""
"होगा","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"इंतजार","","","","",""
",","","","","",""
"इंतजार","","","","",""
"किस","","","","",""
"बात","","","","",""
"का?","का","Purpose","Purpose","","wait for what thing?"
"""","","","","",""
"","","","","",""
"""","","","","",""
"कि","","","","",""
"सूर्यास्त","","","","",""
"हो","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"तुझे","को","Experiencer","Recipient","",""
"बड़ा","","","","",""
"आश्चर्य","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"तू","","","","",""
"अपने","","","","",""
"में","में","Manner","Manner","",""
"हंसता","","","","",""
"हुआ","","","","",""
