"","Target","SS","SS2","MWE","Notes"
"इस","","","","",""
"प्रकार","","","","",""
"मुझे","को","Experiencer","Recipient","",""
"दूसरी","","","","",""
"बात","","","","",""
"का","का","Topic","Topic","",""
"पता","","","","",""
"चला","","","","",""
"कि","","","","",""
"वह","","","","",""
"जिस","","","","",""
"ग्रह","","","","",""
"से","से","Source","Source","",""
"आया","","","","",""
"है","","","","",""
"वह","","","","",""
"मुश्किल","","","","",""
"से","से","Manner","Manner","",""
"इतना","","","","",""
"बड़ा","","","","",""
"है","","","","",""
"जितना","","","","",""
"एक","","","","",""
"घर।","","","","",""
"","","","","",""
"इससे","से","Stimulus","Source","",""
"मुझे","को","Experiencer","Recipient","",""
"बहुत","","","","",""
"आश्चर्य","","","","",""
"नहीं","","","","",""
"हुआ","","","","",""
"।","","","","",""
"","","","","",""
"मैं","","","","",""
"जानता","","","","",""
"था","","","","",""
"कि","","","","",""
"पृथ्वी","","","","",""
",","","","","",""
"बृहस्पति","","","","",""
",","","","","",""
"मंगल","","","","",""
",","","","","",""
"शनि","","","","",""
"जैसे","जैसे","PartPortion","PartPortion","",""
"बड़े-बड़ें","","","","",""
"ग्रहों","","","","",""
"के","के अलावा","PartPortion","PartPortion","1:1",""
"अलावा","के अलावा","","","1:2",""
"सैकड़ों","","","","",""
"ऐसे","","","","",""
"छोटे","","","","",""
",","","","","",""
"बेनाम","","","","",""
"ग्रह","","","","",""
"हैं","","","","",""
"जिन्हें","को","Stimulus","Theme","",""
"दूरबीन","","","","",""
"से","से","Instrument","Instrument","",""
"भी","","","","",""
"देखने","","","","",""
"में","में","Topic","Topic","",""
"कठिनाई","","","","",""
"होती","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"जब","","","","",""
"कोई","","","","",""
"वैज्ञानिक","","","","",""
"किसी","","","","",""
"एक","","","","",""
"ग्रह","","","","",""
"की","का","Theme","Theme","",""
"खोज","","","","",""
"करता","","","","",""
"है","","","","",""
"तो","","","","",""
"वह","","","","",""
