"","Target","SS","SS2","MWE","Notes"
"आकाश","","","","",""
"से","से","Source","Source","",""
"विचरता","","","","",""
",","","","","",""
"उसने","ने","Experiencer","Agent","",""
"अपने","","","","",""
"को","को","Theme","Theme","","*Q*"
"325","","","","",""
",","","","","",""
"326","","","","",""
",","","","","",""
"327","","","","",""
",","","","","",""
"328","","","","",""
",","","","","",""
"329","","","","",""
"और","","","","",""
"330","","","","",""
"नामक","","","","",""
"ग्रहों","","","","",""
"के","के क़रीब","Locus","Locus","1:1",""
"करीब","के क़रीब","","","1:2",""
"पाया","","","","",""
"।","","","","",""
"","","","","",""
"उसने","ने","Experiencer","Agent","",""
"कुछ","","","","",""
"करने","","","","",""
",","","","","",""
"कुछ","","","","",""
"सीखने","","","","",""
"के","के लिए","Purpose","Purpose","1:1",""
"लिए","के लिए","","","1:2",""
"उन","","","","",""
"ग्रहों","","","","",""
"में","में","Goal","Locus","",""
"जाने","","","","",""
"का","का","Topic","Topic","","decision of going to those planets"
"निश्चय","","","","",""
"किया","","","","",""
"।","","","","",""
"","","","","",""
"पहले","","","","",""
"ग्रह","","","","",""
"में","में","Locus","Locus","",""
"एक","","","","",""
"राजा","","","","",""
"रहता","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"फर","","","","",""
"के","का","Stuff","Stuff","","*Q*"
"गुलाबी","","","","",""
"और","","","","",""
"सफेद","","","","",""
"राजसी","","","","",""
"वस्त्रों","","","","",""
"से","से","Possession","Instrument","",""
"सुसज्जित","","","","",""
"वह","","","","",""
"एक","","","","",""
"शानदार","","","","",""
"सिंहासन","","","","",""
"पर","पर","Locus","Locus","",""
"बैठा","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"वाह","","","","",""
"!","","","","",""
"यह","","","","",""
"रही","","","","",""
"मेरी","का","SocialRel","Gestalt","","*Q* or OrgMember??"
"प्रजा","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"नन्हे","","","","",""
"राजकुमार","","","","",""
"को","को","Stimulus","Theme","",""
"देखते","","","","",""
"ही","","","","",""
"वह","","","","",""
"चिल्लाया","","","","",""
"।","","","","",""
"","","","","",""
"राजकुमार","","","","",""
"ने","ने","Experiencer","Agent","",""
"सोचा","","","","",""
",","","","","",""
"","","","","",""
"""","","","","",""
"इसने","ने","Experiencer","Agent","",""
"मुझे","को","Stimulus","Theme","",""
"पहले","","","","",""
"तो","","","","",""
"कभी","","","","",""
"देखा","","","","",""
"नहीं","","","","",""
"फिर","","","","",""
"कैसे","","","","",""
"पहचान","","","","",""
"लिया","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"वह","","","","",""
"नहीं","","","","",""
"जानता","","","","",""
"था","","","","",""
"कि","","","","",""
"राजाओं","","","","",""
"के","के लिए","Experiencer","Beneficiary","1:1",""
"लिए","के लिए","","","1:2",""
"दुनिया","","","","",""
"काफी","","","","",""
"सरल","","","","",""
"होती","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"उनके","के लिए","Experiencer","Beneficiary","1:1",""
"लिए","के लिए","","","1:2",""
"अपने","के अलावा","PartPortion","PartPortion","2:1",""
"अलावा","के अलावा","","","2:2",""
"सब","","","","",""
"लोग","","","","",""
"प्रजा","","","","",""
"होते","","","","",""
"हैं","","","","",""
"।","","","","",""
"","","","","",""
"उस","","","","",""
"एकाकी","","","","",""
"राजा","","","","",""
