"","Target","SS","SS2","MWE","Notes"
"यात्रा","","","","",""
"के","का","QuantityItem","Whole","",""
"सातवें","","","","",""
"दौरे","","","","",""
"में","में","Time","Time","","*Q*"
"वह","","","","",""
"पृथ्वी","","","","",""
"पर","पर","Goal","Locus","",""
"पहुंचा","","","","",""
"।","","","","",""
"","","","","",""
"धरती","","","","",""
"कोई","","","","",""
"ऐसा-वैसा","","","","",""
"ग्रह","","","","",""
"तो","","","","",""
"है","","","","",""
"नहीं","","","","",""
"।","","","","",""
"","","","","",""
"यहां","","","","",""
"111","","","","",""
"राजा","","","","",""
"(","","","","",""
"अफ़्रीकी","","","","",""
"राजाओं","","","","",""
"को","को","Theme","Theme","",""
"लेकर","","","","",""
")","","","","",""
"सात","","","","",""
"हजार","","","","",""
"भूगोलवेत्ता","","","","",""
",","","","","",""
"नौ","","","","",""
"लाख","","","","",""
"व्यवसायी","","","","",""
",","","","","",""
"पचहत्तर","","","","",""
"लाख","","","","",""
"शराबी","","","","",""
",","","","","",""
"इकत्तीस","","","","",""
"करोड़","","","","",""
"दम्भी","","","","",""
"-","","","","",""
"कुल","","","","",""
"मिलाकर","","","","",""
"दो","","","","",""
"करोड़","","","","",""
"वयस्क","","","","",""
"लोग","","","","",""
"रहते","","","","",""
"हैं","","","","",""
"इस","","","","",""
"धरती","","","","",""
"पर","पर","Locus","Locus","",""
"।","","","","",""
"","","","","",""
"धरती","","","","",""
"कितनी","","","","",""
"बड़ी","","","","",""
"है","","","","",""
"इसका","का","Topic","Topic","",""
"अंदाजा","","","","",""
"शायद","","","","",""
"इस","","","","",""
"बात","","","","",""
"से","से","Explanation","Source","",""
"चल","","","","",""
"जाएगा","","","","",""
"कि","","","","",""
"बिजली","","","","",""
"के","का","Theme","Theme","",""
"आविष्कार","","","","",""
"से","से पहले","Time","Time","1:1",""
"पहले","से पहले","","","1:2",""
"कुल","","","","",""
"मिलाकर","","","","",""
"छः","","","","",""
"महाद्वीपों","","","","",""
"पर","पर","Locus","Locus","",""
"रोशनी","","","","",""
"के","के लिए","Purpose","Purpose","2:1",""
"लिए","के लिए","","","2:2",""
"चार","","","","",""
"लाख","","","","",""
"बासठ","","","","",""
"हजार","","","","",""
"पांच","","","","",""
"सौ","","","","",""
"ग्यारह","","","","",""
"बत्तियां","","","","",""
"जलाने","","","","",""
"वालों","वाला","NONSNACS","NONSNACS","",""
"की","का","QuantityItem","Stuff","",""
"पूरी","","","","",""
"फौज","","","","",""
"की","का","Stimulus","Topic","",""
"जरूरत","","","","",""
"पड़ती","","","","",""
"थी","","","","",""
"।","","","","",""
"","","","","",""
"आसमान","","","","",""
"से","से","Locus","Source","",""
"देखने","","","","",""
"पर","पर","Time","Time","","*Q*"
"बड़ा","","","","",""
"मनोहारी","","","","",""
"लगता","","","","",""
"था","","","","",""
"यह","","","","",""
"दृश्य","","","","",""
"।","","","","",""
"","","","","",""
"यह","","","","",""
"फौज","","","","",""
"जब","","","","",""
"काम","","","","",""
"पर","पर","Goal","Locus","","*Q*"
"निकलती","","","","",""
"थी","","","","",""
"तो","","","","",""
"लगता","","","","",""
"था","","","","",""
"जैसे","जैसे","Manner","ComparisonRef","","analogy"
"बैले","","","","",""
"नृत्य","","","","",""
"हो","","","","",""
"रहा","","","","",""
"हो","","","","",""
"।","","","","",""
"","","","","",""
"पहले","","","","",""
"न्यूजीलैंड","","","","",""
"और","","","","",""
"आस्ट्रेलिया","","","","",""
"की","का","Locus","Gestalt","",""
"बत्तियां","","","","",""
"जलती","","","","",""
"थीं","","","","",""
"।","","","","",""
"","","","","",""
"जलाने","","","","",""
"के","के बाद","Time","Time","1:1",""
"बाद","के बाद","","","1:2",""
"वहां","","","","",""
"के","का","Locus","Gestalt","",""
"बत्ती","","","","",""
"वाले","वाला","NONSNACS","NONSNACS","",""
"सोने","","","","",""
"चले","","","","",""
"जाते","","","","",""
"थे","","","","",""
"।","","","","",""
"","","","","",""
"फिर","","","","",""
"आते","","","","",""
"चीन","","","","",""
"और","","","","",""
"साईबेरिया","","","","",""
"के","का","Locus","Gestalt","",""
"बत्ती","","","","",""
"वाले","वाला","NONSNACS","NONSNACS","",""
",","","","","",""
"नृत्य","","","","",""
"के","का","QuantityItem","Whole","",""
"दूसरे","","","","",""
"क्रम","","","","",""
"में","में","Time","Time","",""
"और","","","","",""
"थोड़ी","","","","",""
"देर","","","","",""
"के","के बाद","Time","Interval","1:1",""
"बाद","के बाद","","","1:2",""
"नेपथ्य","","","","",""
"में","में","Goal","Locus","",""
"चले","","","","",""
"जाते","","","","",""
"।","","","","",""
"","","","","",""
"फिर","","","","",""
"आते","","","","",""
"थे","","","","",""
"रूस","","","","",""
"और","","","","",""
"भारत","","","","",""
"के","का","Locus","Gestalt","",""
"बत्ती","","","","",""
"वाले","वाला","NONSNACS","NONSNACS","",""
",","","","","",""
"फिर","","","","",""
"अफ़्रीका","","","","",""
"और","","","","",""
"यूरोप","","","","",""
"के","का","Locus","Gestalt","",""
",","","","","",""
"फिर","","","","",""
"दक्षिणी","","","","",""
"और","","","","",""
"उत्तरी","","","","",""
"अमेरिका","","","","",""
"वाले","वाला","NONSNACS","NONSNACS","",""
"।","","","","",""
"","","","","",""
"कोई","","","","",""
"यह","","","","",""
"नहीं","","","","",""
"भूलता","","","","",""
"था","","","","",""
"कि","","","","",""
"उन्हें","को","Agent","Agent","",""
"कब","","","","",""
"मंच","","","","",""
"पर","पर","Goal","Locus","",""
"आना","","","","",""
"है","","","","",""
"और","","","","",""
"धरती","","","","",""
"के","का","Identity","Identity","",""
"जगमगाते","","","","",""
"मंच","","","","",""
"पर","पर","Locus","Locus","",""
"मशाल","","","","",""
"नृत्य","","","","",""
"चलता","","","","",""
"रहता","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"अद्भुत","","","","",""
"होता","","","","",""
"था","","","","",""
"वह","","","","",""
"दृश्य","","","","",""
"।","","","","",""
"","","","","",""
"केवल","","","","",""
"उत्तरी","","","","",""
"और","","","","",""
"दक्षिणी","","","","",""
"ध्रुव","","","","",""
"के","का","Locus","Gestalt","",""
"एकाकी","","","","",""
"बत्ती","","","","",""
"वाले","वाला","NONSNACS","NONSNACS","",""
"अपने","का","Gestalt","Gestalt","",""
"एक","","","","",""
"मात्रा","","","","",""
"लैम्पपोस्ट","","","","",""
"को","को","Theme","Theme","",""
"जलाने-बुझाने","","","","",""
"में","में","Circumstance","Circumstance","",""
"साल","","","","",""
"में","में","Duration","Duration","",""
"दो","","","","",""
"बार","","","","",""
"काम","","","","",""
"करते","","","","",""
"थे","","","","",""
"।","","","","",""
"","","","","",""
"उनके","का","Theme","Theme","",""
"जीवन","","","","",""
