"","Target","SS","SS2","MWE","Notes"
"नन्हा","","","","",""
"राजकुमार","","","","",""
"एक","","","","",""
"ऊँचे","","","","",""
"पहाड़","","","","",""
"पर","पर","Goal","Locus","",""
"गया","","","","",""
"।","","","","",""
"","","","","",""
"तब","","","","",""
"तक","तक","EndTime","EndTime","",""
"उसने","ने","Experiencer","Agent","",""
"तीन","","","","",""
"ज्वालामुखी","","","","",""
"पहाड़ों","","","","",""
"के","के अतिरिक्त","PartPortion","PartPortion","1:1",""
"अतिरिक्त","के अतिरिक्त","","","1:2",""
"कोई","","","","",""
"और","","","","",""
"पहाड़","","","","",""
"नहीं","","","","",""
"देखा","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"उसके","का","Gestalt","Gestalt","",""
"ग्रह","","","","",""
"के","का","Locus","Gestalt","",""
"पहाड़","","","","",""
"केवल","","","","",""
"उसके","का","Whole","Whole","",""
"घुटनों","","","","",""
"तक","तक","Goal","Goal","",""
"आते","","","","",""
"थे","","","","",""
"।","","","","",""
"","","","","",""
"अपने","का","Possessor","Possessor","",""
"सुप्त","","","","",""
"ज्वालामुखी","","","","",""
"को","को","Theme","Theme","",""
"वो","","","","",""
"एक","","","","",""
"स्टूल","","","","",""
"की","की तरह","Identity","ComparisonRef","1:1","*Q*"
"तरह","की तरह","","","1:2",""
"इस्तेमाल","","","","",""
"करता","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"उसने","ने","Experiencer","Agent","",""
"सोचा","","","","",""
"कि","","","","",""
"इतने","","","","",""
"ऊँचे","","","","",""
"पहाड़","","","","",""
"की","का","Whole","Whole","",""
"चोटी","","","","",""
"से","से","Locus","Source","",""
"तो","","","","",""
"वो","","","","",""
"पूरी","","","","",""
"धरती","","","","",""
"और","","","","",""
"सारे","","","","",""
"मनुष्यों","","","","",""
"को","को","Stimulus","Theme","",""
"एक-साथ","","","","",""
"देख","","","","",""
"लेगा","","","","",""
"।","","","","",""
"","","","","",""
"...","","","","",""
"लेकिन","","","","",""
"उसे","को","Experiencer","Recipient","",""
"केवल","","","","",""
"ऊँची-ऊँची","","","","",""
"चोटियां","","","","",""
"दिखाई","","","","",""
"पड़ीं","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"नमस्कार","","","","",""
",","","","","",""
"""","","","","",""
"नम्रता","","","","",""
"पूर्वक","पूर्वक","Manner","Manner","",""
"उसने","ने","Originator","Agent","",""
"कहा","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"नमस्कार","","","","",""
"...","","","","",""
"नमस्कार","","","","",""
"...","","","","",""
"नमस्कार","","","","",""
"...","","","","",""
"""","","","","",""
"की","का","Identity","Identity","",""
"गूंज","","","","",""
"उसे","को","Experiencer","Recipient","",""
"सुनाई","","","","",""
"पड़ी","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"कौन","","","","",""
"हैं","","","","",""
"आप?","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"कौन","","","","",""
"हैं","","","","",""
"आप","","","","",""
"...","","","","",""
"कौन","","","","",""
"हैं","","","","",""
"आप","","","","",""
"...","","","","",""
"।","","","","",""
"कौन","","","","",""
"हैं","","","","",""
"आप","","","","",""
"...","","","","",""
"आप","","","","",""
"।","","","","",""
"""","","","","",""
"गूंज","","","","",""
"उठी","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"मेरे","का","SocialRel","Gestalt","",""
"दोस्त","","","","",""
"बन","","","","",""
"जाइए","","","","",""
"।","","","","",""
"","","","","",""
"मैं","","","","",""
"एकाकी","","","","",""
"हूं","","","","",""
"-","","","","",""
"मैं","","","","",""
"एकाकी","","","","",""
"हूं","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"अजीब","","","","",""
"है","","","","",""
"यह","","","","",""
"ग्रह","","","","",""
",","","","","",""
"उसने","ने","Experiencer","Agent","",""
"सोचा","","","","",""
",","","","","",""
"एकदम","","","","",""
"सूखा","","","","",""
",","","","","",""
"नोकों","","","","",""
"वाला","","","","",""
",","","","","",""
"खरा","","","","",""
"।","","","","",""
"","","","","",""
"यहां","","","","",""
"के","का","Locus","Gestalt","",""
"लोगों","","","","",""
"के","के पास","Gestalt","Locus","1:1",""
"पास","के पास","","","1:2",""
"कल्पनाशक्ति","","","","",""
"नहीं","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"जो","","","","",""
"कहो","","","","",""
"दोहरा","","","","",""
"देते","","","","",""
"हैं","","","","",""
"...","","","","",""
"","","","","",""
"मेरे","का","Gestalt","Gestalt","",""
"वहां","","","","",""
"मेरा","का","Possessor","Possessor","",""
"फूल","","","","",""
"हरदम","","","","",""
"बोलने","","","","",""
"में","में","Circumstance","Circumstance","",""
"पहल","","","","",""
"करता","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"अपनी","का","Manner","Gestalt","",""
"ही","","","","",""
"बात","","","","",""
"करना","","","","",""
"जानता","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
