"","Target","SS","SS2","MWE","Notes"
"दूसरे","","","","",""
"ग्रह","","","","",""
"पर","पर","Locus","Locus","",""
"एक","","","","",""
"दम्भी","","","","",""
"रहता","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"अहा","","","","",""
"!","","","","",""
"","","","","",""
"हा","","","","",""
"!","","","","",""
"","","","","",""
"आ","","","","",""
"ही","","","","",""
"गया","","","","",""
"मेरा","का","SocialRel","Gestalt","",""
"प्रशंसक।","","","","",""
"""","","","","",""
"","","","","",""
"दूर","","","","",""
"से","से","Locus","Source","",""
"राजकुमार","","","","",""
"को","को","Stimulus","Theme","",""
"आते","","","","",""
"देख","","","","",""
"कर","","","","",""
"उसने","ने","Originator","Agent","",""
"कहा","","","","",""
"।","","","","",""
"","","","","",""
"ऐसे","","","","",""
"दम्भी","","","","",""
"लोगों","","","","",""
"के","के लिए","Experiencer","Beneficiary","1:1",""
"लिए","के लिए","","","1:2",""
"सारे","","","","",""
"लोग","","","","",""
"प्रशंसक","","","","",""
"होते","","","","",""
"हैं","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"नमस्कार","","","","",""
"!","","","","",""
"","","","","",""
"आपका","का","Possessor","Possessor","",""
"टोप","","","","",""
"बड़ा","","","","",""
"दिलचस्प","","","","",""
"है","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"राजकुमार","","","","",""
"ने","ने","Originator","Agent","",""
"कहा","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"है","","","","",""
"न","","","","",""
"?","","","","",""
"""","","","","",""
"","","","","",""
"उसने","ने","Originator","Agent","",""
"कहा","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"यह","","","","",""
"अभिवादन","","","","",""
"के","के लिए","Purpose","Purpose","1:1",""
"लिए","के लिए","","","1:2",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"यह","","","","",""
"इसलिए","के लिए","Explanation","Explanation","",""
"है","","","","",""
"कि","","","","",""
"जब","","","","",""
"लोग","","","","",""
"जय-जयकार","","","","",""
"करें","","","","",""
",","","","","",""
"प्रशंसा","","","","",""
"करें","","","","",""
"तो","","","","",""
"इसे","को","Theme","Theme","",""
"सिर","","","","",""
"से","से","Source","Source","",""
"उठा","","","","",""
"कर","","","","",""
"मैं","","","","",""
"अभिवादन","","","","",""
"का","का","Topic","Identity","","*Q* is it actually Topic?"
"जवाब","","","","",""
"दूं","","","","",""
"।","","","","",""
"","","","","",""
"पर","","","","",""
"दुर्भाग्यवश","","","","",""
"यहां","","","","",""
"कोई","","","","",""
"आता","","","","",""
"ही","","","","",""
"नहीं","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"अच्छा","","","","",""
"?","","","","",""
"""","","","","",""
"","","","","",""
"राजकुमार","","","","",""
"बोला।","","","","",""
"","","","","",""
"उसकी","का","Experiencer","Gestalt","",""
"समझ","","","","",""
"में","में","Goal","Locus","",""
"कुछ","","","","",""
"नहीं","","","","",""
"आया","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"ताली","","","","",""
"बजाओ","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"उस","","","","",""
"दम्भी","","","","",""
"ने","ने","Originator","Agent","",""
"आदेश","","","","",""
"दिया","","","","",""
"।","","","","",""
"","","","","",""
"राजकुमार","","","","",""
"ने","ने","Agent","Agent","",""
"ताली","","","","",""
"बजाई","","","","",""
"और","","","","",""
"उस","","","","",""
"व्यक्ति","","","","",""
"ने","ने","Agent","Agent","",""
"अपना","का","Possessor","Possessor","",""
"टोप","","","","",""
"नम्र","","","","",""
"अभिवादन","","","","",""
"में","में","Manner","Manner","","*Q* or Characteristic~Locus?"
"उठा","","","","",""
"लिया","","","","",""
"।","","","","",""
"","","","","",""
"पांच","","","","",""
"मिनट","","","","",""
"में","में","Duration","Duration","",""
"ही","","","","",""
"इस","","","","",""
"खेल","","","","",""
"की","का","Gestalt","Gestalt","","*Q*"
"एक","","","","",""
"रसता","","","","",""
"से","से","Stimulus","Source","",""
"राजकुमार","","","","",""
"ऊब","","","","",""
"गया","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"और","","","","",""
"टोप","","","","",""
"को","को","Theme","Theme","",""
"नीचे","","","","",""
"लाने","","","","",""
"के","के लिए","Purpose","Purpose","1:1",""
"लिए","के लिए","","","1:2",""
"क्या","","","","",""
"करना","","","","",""
"चाहिए","","","","",""
"?","","","","",""
"""","","","","",""
"","","","","",""
"राजकुमार","","","","",""
"ने","ने","Originator","Agent","",""
"पूछा।","","","","",""
"","","","","",""
"दम्भी","","","","",""
"ने","ने","Experiencer","Agent","",""
"सुना","","","","",""
"नहीं","","","","",""
"।","","","","",""
"","","","","",""
"ऐसे","","","","",""
"लोगों","","","","",""
"को","को","Experiencer","Recipient","",""
"अपनी","","","","",""
"प्रशंसा","","","","",""
"के","के अलावा","PartPortion","PartPortion","1:1",""
"अलावा","के अलावा","","","1:2",""
"कुछ","","","","",""
"नहीं","","","","",""
"सुनाई","","","","",""
"पड़ता","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"क्या","","","","",""
"तुम","","","","",""
"सचमुच","","","","",""
"मेरी","का","Topic","Theme","","*Q*"
"प्रशंसा","","","","",""
"करते","","","","",""
"हो","","","","",""
"?","","","","",""
"""","","","","",""
"","","","","",""
"उसने","ने","Originator","Agent","",""
"राजकुमार","","","","",""
"से","से","Recipient","Source","",""
"पूछा।","","","","",""
"","","","","",""
"""","","","","",""
"प्रशंसा","","","","",""
"?","","","","",""
"","","","","",""
"क्या","","","","",""
"अर्थ","","","","",""
"होते","","","","",""
"हैं","","","","",""
"इसके","का","Gestalt","Gestalt","",""
"?","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"प्रशंसा","","","","",""
"करने","","","","",""
"का","का","Gestalt","Gestalt","",""
"अर्थ","","","","",""
"हुआ","","","","",""
"कि","","","","",""
"तुम","","","","",""
"मुझे","को","Topic","Theme","",""
"इस","","","","",""
"ग्रह","","","","",""
"का","का","Locus","Gestalt","","*Q* could be Whole"
"सबसे","से","ComparisonRef","ComparisonRef","",""
"सुंदर","","","","",""
",","","","","",""
"सबसे","से","ComparisonRef","ComparisonRef","",""
"सुसज्जित","","","","",""
"धनी","","","","",""
"और","","","","",""
"सबसे","से","ComparisonRef","ComparisonRef","",""
"बुद्धिमान","","","","",""
"व्यक्ति","","","","",""
"समझते","","","","",""
"हो","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
