"","Target","SS","SS2","MWE","Notes"
"तभी","","","","",""
"कहीं","","","","",""
"से","से","Source","Source","",""
"एक","","","","",""
"लोमड़ी","","","","",""
"आ","","","","",""
"गई","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"नमस्कार","","","","",""
",","","","","",""
"""","","","","",""
"लोमड़ी","","","","",""
"बोली","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"नमस्कार","","","","",""
",","","","","",""
"""","","","","",""
"मुड़कर","","","","",""
"नन्हे","","","","",""
"राजकुमार","","","","",""
"ने","ने","Originator","Agent","",""
"जवाब","","","","",""
"दिया","","","","",""
"।","","","","",""
"","","","","",""
"पर","","","","",""
"उसे","को","Experiencer","Recipient","",""
"कुछ","","","","",""
"दिखाई","","","","",""
"नहीं","","","","",""
"पड़ा","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"मैं","","","","",""
"यहां","","","","",""
"हूं","","","","",""
"।","","","","",""
"""","","","","",""
"सेब","","","","",""
"के","का","Identity","Identity","",""
"पेड़","","","","",""
"के","का","Locus","Locus","1:1",""
"नीचे","","","","1:2",""
"से","से","Source","Source","",""
"आवाज","","","","",""
"आई","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"कौन","","","","",""
"यह","","","","",""
"तू","","","","",""
"?","","","","",""
"","","","","",""
"अच्छी","","","","",""
"खासी","","","","",""
"लग","","","","",""
"रही","","","","",""
"है","","","","",""
"देखने","","","","",""
"में","में","Topic","Topic","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"मैं","","","","",""
"लोमड़ी","","","","",""
"हूं","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"आओ","","","","",""
"खेलें।","","","","",""
"","","","","",""
"मैं","","","","",""
"बड़ा","","","","",""
"उदास","","","","",""
"हूं","","","","",""
"...","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"कैसे","","","","",""
"खेलूं","","","","",""
"तुम्हारे","के साथ","Agent","Ancillary","1:1",""
"साथ","के साथ","","","1:2",""
"?","","","","",""
"","","","","",""
"तूने","ने","Agent","Agent","",""
"मुझे","को","Theme","Theme","",""
"अपनाया","","","","",""
"तो","","","","",""
"है","","","","",""
"नहीं","","","","",""
",","","","","",""
"""","","","","",""
"लोमड़ी","","","","",""
"ने","ने","Originator","Agent","",""
"कहा","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"माफ़","","","","",""
"करना","","","","",""
",","","","","",""
"""","","","","",""
"थोड़ा","","","","",""
"सोच","","","","",""
"कर","","","","",""
"बोला","","","","",""
",","","","","",""
"""","","","","",""
"अपनाने","","","","",""
"का","का","Gestalt","Gestalt","",""
"मतलब","","","","",""
"?","","","","",""
"","","","","",""
"""","","","","",""
"""तू","","","","",""
"यहां","","","","",""
"का","का","Locus","Gestalt","",""
"रहने","","","","",""
"वाला","वाला","NONSNACS","NONSNACS","",""
"नहीं","","","","",""
"मालूम","","","","",""
"होता","","","","",""
"।","","","","",""
"","","","","",""
"क्या","","","","",""
"कर","","","","",""
"रहा","","","","",""
"है","","","","",""
"यहां","","","","",""
"?","","","","",""
