,,Target,SS,SS2,MWE,Notes
1,हर,,,,,
2,दिन,,,,,
3,मुझे,को,Experiencer,Recipient,,
4,कुछ-न-कुछ,,,,,
5,पता,,,,,
6,चलता,,,,,
7,-,,,,,
8,कभी,,,,,
9,ग्रह,,,,,
10,",",,,,,
11,कभी,,,,,
12,वहां,,,,,
13,से,से,Source,Source,,
14,प्रस्थान,,,,,
15,",",,,,,
16,कभी,,,,,
17,यात्राओं,,,,,
18,के,के बारे में,Topic,Topic,1:1,
19,बारे,के बारे में,,,1:2,
20,में,के बारे में,,,1:3,
21,।,,,,,
,,,,,,
1,यह,,,,,
2,सब,,,,,
3,धीरे-धीरे,,,,,
4,अनायास,,,,,
5,हुआ,,,,,
6,।,,,,,
,,,,,,
1,इसी,,,,,
2,तरह,की तरह,Manner,ComparisonRef,,unsure *Q*
3,राजकुमार,,,,,
4,से,से,Agent,Ancillary,,
5,मुलाकात,,,,,
6,के,का,QuantityItem,Whole,,
7,तीसरे,,,,,
8,दिन,,,,,
9,मुझे,को,Experiencer,Recipient,,
10,‘बाओबाब’,,,,,
11,(,,,,,
12,गोरखचिंच,,,,,
13,),,,,,
14,नामक,,,,,
15,पेड़,,,,,
16,के,का,Theme,Theme,,
17,लगातार,,,,,
18,बढ़ने,,,,,
19,",",,,,,
20,फैलने,,,,,
21,और,,,,,
22,उससे,से,Source,Source,,
23,उत्पन्न,,,,,
24,खतरे,,,,,
25,के,के बारे में,Topic,Topic,1:1,
26,बारे,के बारे में,,,1:2,
27,में,के बारे में,,,1:3,
28,पता,,,,,
29,चला,,,,,
30,-,,,,,
31,और,,,,,
32,यह,,,,,
33,भी,,,,,
34,भेड़,,,,,
35,की,की वजह से,Explanation,Explanation,2:1,
36,ही,,,,,
37,वजह,की वजह से,,,2:2,
38,से,की वजह से,,,2:3,
39,क्योंकि,,,,,
40,उसने,ने,Originator,Agent,,
41,मुझसे,से,Source,Source,,
42,अचानक,,,,,
43,इस,,,,,
44,तरह,की तरह,Manner,ComparisonRef,,
45,पूछा,,,,,
46,जैसे,जैसे,Theme,ComparisonRef,,conclusion reading
47,उसे,को,Experiencer,Recipient,,
48,कोई,,,,,
49,बड़ी,,,,,
50,शंका,,,,,
51,हो,,,,,
52,।,,,,,
,,,,,,
1,"""",,,,,
2,यह,,,,,
3,सच,,,,,
4,है,,,,,
5,ना,,,,,
6,कि,,,,,
7,भेड़,,,,,
8,झाड़ियां,,,,,
9,भी,,,,,
10,खाती,,,,,
11,हैं,,,,,
12,।,,,,,
,,,,,,
1,"""",,,,,
2,"""हां",,,,,
3,",",,,,,
4,खाती,,,,,
5,तो,,,,,
6,हैं,,,,,
7,।,,,,,
8,"""",,,,,
,,,,,,
1,"""",,,,,
2,चलो,,,,,
3,अच्छा,,,,,
4,हुआ।,,,,,
5,"""",,,,,
,,,,,,
1,मैं,,,,,
2,समझा,,,,,
3,नहीं,,,,,
4,कि,,,,,
5,भेड़,,,,,
6,के,का,Agent,Gestalt,,
7,झाड़ी,,,,,
8,खाने,,,,,
9,में,में,Topic,Topic,,
10,क्या,,,,,
11,खास,,,,,
12,बात,,,,,
13,है,,,,,
14,।,,,,,
,,,,,,
1,लेकिन,,,,,
2,तभी,,,,,
3,नन्हें,,,,,
4,राजकुमार,,,,,
5,ने,ने,Originator,Agent,,
6,कहा,,,,,
7,",",,,,,
8,"""",,,,,
9,तब,,,,,
10,तो,,,,,
11,वह,,,,,
12,बाओबाब,,,,,
13,के,का,Identity,Identity,,
14,पेड़,,,,,
15,भी,,,,,
16,खाती,,,,,
17,होगी,,,,,
18,?,,,,,
,,,,,,
1,"""",,,,,
2,मैंने,ने,Originator,Agent,,
3,उसे,को,Recipient,Recipient,,
4,बताया,,,,,
5,कि,,,,,
6,बाओबाब,,,,,
7,झाड़,,,,,
8,की,की तरह,ComparisonRef,ComparisonRef,1:1,
9,तरह,की तरह,,,1:2,
10,नहीं,,,,,
11,होते,,,,,
12,।,,,,,
,,,,,,
1,वे,,,,,
2,तो,,,,,
3,गिरजाघरों,,,,,
4,जैसे,जैसे,ComparisonRef,ComparisonRef,,
