"","Target","SS","SS2","MWE","Notes"
"मैंने","ने","Recipient","Agent","",""
"शीघ्र","","","","",""
"ही","","","","",""
"उस","","","","",""
"फूल","","","","",""
"के","के बारे में","Topic","Topic","1:1",""
"बारे","के बारे में","","","1:2",""
"में","के बारे में","","","1:3",""
"और","","","","",""
"अच्छी","","","","",""
"तरह","","","","",""
"जानना","","","","",""
"सीख","","","","",""
"लिया","","","","",""
"।","","","","",""
"","","","","",""
"नन्हे","","","","",""
"राजकुमार","","","","",""
"की","का","Gestalt","Gestalt","",""
"दुनिया","","","","",""
"में","में","Locus","Locus","",""
"पखुड़ियां","","","","",""
"की","का","QuantityItem","Stuff","","*Q*"
"एक","","","","",""
"ही","","","","",""
"लड़ी","","","","",""
"वाले","वाला","PartPortion","Characteristic","",""
"सादे","","","","",""
"से","","","","",""
"फूल","","","","",""
"होते","","","","",""
"थे","","","","",""
"जो","","","","",""
"थोड़ी","","","","",""
"सी","","","","",""
"जगह","","","","",""
"में","में","Locus","Locus","",""
"बिना","बिना","Manner","Manner","",""
"किसी","","","","",""
"को","को","Experiencer","Recipient","",""
"असुविधा","","","","",""
"पहुंचाए","","","","",""
"उग","","","","",""
"आते","","","","",""
"थे","","","","",""
"।","","","","",""
"","","","","",""
"घास","","","","",""
"के","के बीच","Locus","Locus","1:1",""
"बीच","के बीच","","","1:2",""
"सुबह","","","","",""
"खिलते","","","","",""
"और","","","","",""
"शाम","","","","",""
"को","को","Time","Time","",""
"मुरझा","","","","",""
"जाते","","","","",""
"थे","","","","",""
"।","","","","",""
"","","","","",""
"परंतु","","","","",""
"राजकुमार","","","","",""
"का","का","Experiencer","Gestalt","",""
"प्रिय","","","","",""
"फूल","","","","",""
"ऐसे","","","","",""
"बीज","","","","",""
"से","से","Source","Source","",""
"अंकुरित","","","","",""
"हुआ","","","","",""
"था","","","","",""
"जो","","","","",""
"न","","","","",""
"जाने","","","","",""
"कहां","","","","",""
"से","से","Source","Source","",""
"उसकी","का","Gestalt","Gestalt","",""
"धरती","","","","",""
"पर","पर","Goal","Locus","",""
"आ","","","","",""
"गया","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"उसकी","का","Possessor","Possessor","",""
"अंकुर","","","","",""
"अन्य","","","","",""
"अंकुरों","","","","",""
"से","से","ComparisonRef","ComparisonRef","",""
"भिन्न","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"राजकुमार","","","","",""
"ने","ने","Agent","Agent","",""
"उसकी","का","Theme","Theme","",""
"बड़ी","","","","",""
"संलग्नता","","","","",""
"से","से","Manner","Manner","",""
"देखभाल","","","","",""
"की","","","","",""
"थी","","","","",""
"।","","","","",""
"","","","","",""
"उसे","को","Experiencer","Recipient","",""
"डर","","","","",""
"था","","","","",""
"कि","","","","",""
"वह","","","","",""
"भी","","","","",""
"किसी","","","","",""
"दूसरी","","","","",""
"किस्म","","","","",""
"की","का","Characteristic","Characteristic","",""
"बाओबाब","","","","",""
"की","का","Identity","Identity","",""
"झाड़ी","","","","",""
"न","","","","",""
"हो","","","","",""
"लेकिन","","","","",""
"उस","","","","",""
"पौधे","","","","",""
"का","का","Theme","Theme","",""
