,,Target,SS,SS2,MWE,Notes
1,पांचवे,,,,,
2,दिन,,,,,
3,",",,,,,
4,सदा,,,,,
5,की,की तरह,ComparisonRef,ComparisonRef,1:1,
6,तरह,की तरह,,,1:2,
7,भेड़,,,,,
8,की,की कृपा से,Explanation,Explanation,2:1,
9,कृपा,की कृपा से,,,2:2,
10,से,की कृपा से,,,2:3,
11,ही,,,,,
12,",",,,,,
13,नन्हे,,,,,
14,राजकुमार,,,,,
15,के,का,Topic,Topic,,
16,एक,,,,,
17,और,,,,,
18,रहस्य,,,,,
19,का,का,Topic,Identity,,
20,पता,,,,,
21,चला,,,,,
22,।,,,,,
,,,,,,
1,जैसे,जैसे,Time,Time,,
2,वह,,,,,
3,किसी,,,,,
4,समस्या,,,,,
5,पर,पर,Topic,Topic,,
6,चुपचाप,,,,,
7,बहुत,,,,,
8,देर,,,,,
9,से,से,Duration,StartTime,,*Q*
10,विचार,,,,,
11,कर,,,,,
12,रहा,,,,,
13,हो,,,,,
14,",",,,,,
15,उसने,ने,Originator,Agent,,
16,बिना,बिना,Manner,Manner,,
17,किसी,,,,,
18,भूमिका,,,,,
19,के,का,,,,*Q* idk?
20,झट,,,,,
21,से,से,Manner,Manner,,
22,कहा,,,,,
23,",",,,,,
,,,,,,
1,"""",,,,,
2,अगर,,,,,
3,भेड़,,,,,
4,झाड़,,,,,
5,खाती,,,,,
6,है,,,,,
7,तो,,,,,
8,फूल,,,,,
9,भी,,,,,
10,खा,,,,,
11,सकती,,,,,
12,है,,,,,
13,?,,,,,
14,"""",,,,,
,,,,,,
1,"""",,,,,
2,भेड़,,,,,
3,जो,,,,,
4,भी,,,,,
5,मिल,,,,,
6,जाए,,,,,
7,खा,,,,,
8,डालती,,,,,
9,है,,,,,
10,।,,,,,
,,,,,,
1,"""",,,,,
2,"""कांटे",,,,,
3,वाले,,,,,
4,फूल,,,,,
5,भी,,,,,
6,?,,,,,
7,"""",,,,,
,,,,,,
1,"""",,,,,
2,हां,,,,,
3,",",,,,,
4,कांटेदार,,,,,
5,फूल,,,,,
6,भी।,,,,,
7,"""",,,,,
,,,,,,
1,"""",,,,,
2,तो,,,,,
3,फिर,,,,,
4,कांटे,,,,,
5,किस,,,,,
6,लिए,,,,,
7,होते,,,,,
8,हैं,,,,,
9,?,,,,,
10,"""",,,,,
,,,,,,
2,मुझे,को,Experiencer,Recipient,,
3,नहीं,,,,,
4,मालूम,,,,,
5,था,,,,,
6,यह।,,,,,
,,,,,,
1,मेरे,का,Possessor,Possessor,,
2,जहाज,,,,,
3,के,का,Whole,Whole,,
4,इंजन,,,,,
5,में,में,Locus,Locus,,
6,एक,,,,,
7,बोल्ट,,,,,
8,फंस,,,,,
9,गया,,,,,
10,था,,,,,
11,तो,,,,,
12,मैं,,,,,
13,उसे,को,Theme,Theme,,
14,निकालने,,,,,
15,में,में,Topic,Topic,,
16,व्यस्त,,,,,
17,था,,,,,
18,।,,,,,
,,,,,,
1,मैं,,,,,
2,बड़ी,,,,,
3,चिंता,,,,,
4,में,में,Characteristic,Locus,,
5,था,,,,,
6,क्योंकि,,,,,
7,मरम्मत,,,,,
8,कठिन,,,,,
9,लगने,,,,,
10,लगी,,,,,
11,थी,,,,,
12,।,,,,,
,,,,,,
1,सबसे,से,ComparisonRef,ComparisonRef,,
2,ज्यादा,,,,,
3,डर,,,,,
4,पानी,,,,,
5,समाप्त,,,,,
6,होने,,,,,
7,का,का,Stimulus,Gestalt,,
8,था,,,,,
9,।,,,,,
,,,,,,
1,"""",,,,,
2,कांटे,,,,,
3,किस,,,,,
4,लिए,के लिए,Purpose,Purpose,,
5,होते,,,,,
6,हैं,,,,,
7,?,,,,,
8,"""",,,,,
,,,,,,
1,राजकुमार,,,,,
2,एक,,,,,
3,बार,,,,,
4,प्रश्न,,,,,
5,करने,,,,,
6,पर,पर,Time,Time,,
7,उसे,को,Topic,Topic,,
8,भूलता,,,,,
9,नहीं,,,,,
10,था,,,,,
11,।,,,,,
,,,,,,
1,मैं,,,,,
2,मरम्मत,,,,,
3,से,से,Stimulus,Causer,,
4,खीजा,,,,,
5,हुआ,,,,,
6,था,,,,,
7,।,,,,,
,,,,,,
1,जो,,,,,
2,भी,,,,,
3,मुंह,,,,,
4,में,में,Goal,Locus,,
5,आए,,,,,
6,उत्तर,,,,,
7,दे,,,,,
8,देता,,,,,
9,था,,,,,
10,।,,,,,
,,,,,,
1,"""",,,,,
2,कांटे,,,,,
3,एकदम,,,,,
4,बेकार,,,,,
5,होते,,,,,
6,हैं,,,,,
7,।,,,,,
,,,,,,
1,बस,,,,,
2,फूलों,,,,,
3,के,के प्रति,Source,Direction,,*Q* no clue
4,प्रति,के प्रति,,,,
5,दुष्टता,,,,,
6,के,का,Topic,Topic,,
7,प्रतीक,,,,,
8,होते,,,,,
9,हैं,,,,,
10,।,,,,,
11,"""",,,,,
,,,,,,
1,"""",,,,,
2,अच्छा,,,,,
3,!,,,,,
4,"""",,,,,
,,,,,,
1,वह,,,,,
2,थोड़ी,,,,,
3,देर,,,,,
4,तक,तक,Duration,EndTime,,
5,चुप,,,,,
6,रहा,,,,,
7,फिर,,,,,
8,झुंझला,,,,,
9,कर,,,,,
10,उसने,ने,Originator,Agent,,
11,प्रश्नों,,,,,
12,की,का,QuantityItem,Stuff,,
13,एक,,,,,
14,झड़ी,,,,,
15,लगा,,,,,
16,दी,,,,,
17,।,,,,,
,,,,,,
1,"""",,,,,
2,लेकिन,,,,,
3,मुझे,को,Experiencer,Recipient,,
4,तेरी,,,,,
5,बात,,,,,
6,पर,पर,Topic,Topic,,
7,विश्वास,,,,,
8,नहीं,,,,,
9,होता,,,,,
10,।,,,,,
,,,,,,
1,फूल,,,,,
2,तो,,,,,
3,कोमल,,,,,
4,होते,,,,,
5,हैं,,,,,
6,",",,,,,
7,मासूम,,,,,
8,होते,,,,,
9,हैं,,,,,
10,।,,,,,
,,,,,,
1,जैसे,जैसे,Manner,ComparisonRef,,"*Q* however, in whatever way"
2,भी,,,,,
3,हो,,,,,
4,अपने,,,,,
5,को,को,Experiencer,Recipient,,
6,आश्वस्त,,,,,
7,कर,,,,,
8,लेते,,,,,
9,हैं,,,,,
10,।,,,,,
,,,,,,
1,कांटों,,,,,
2,के,का,Theme,Theme,,
3,होने,,,,,
4,से,से,Explanation,Explanation,,unsure? *Q*
5,वे,,,,,
6,अपने,,,,,
7,आप,,,,,
8,को,को,Topic,Topic,,
9,सुरक्षित,,,,,
10,समझते,,,,,
11,होंगे,,,,,
12,।,,,,,
13,"""",,,,,
,,,,,,
1,मैंने,ने,Originator,Agent,,
2,कोई,,,,,
3,जवाब,,,,,
4,नहीं,,,,,
5,दिया,,,,,
6,।,,,,,
,,,,,,
1,मैं,,,,,
2,सोच,,,,,
3,रहा,,,,,
4,था,,,,,
5,अगर,,,,,
6,थोड़ी,,,,,
7,देर,,,,,
8,में,में,Time,Interval,,
9,ठीक,,,,,
10,नहीं,,,,,
11,हुआ,,,,,
12,तो,,,,,
13,मैं,,,,,
14,बोल्ट,,,,,
15,पर,पर,Goal,Goal,,
16,हथौड़ा,,,,,
17,चला,,,,,
18,दूंगा,,,,,
19,।,,,,,
,,,,,,
1,उसने,ने,Agent,Agent,,
2,फिर,,,,,
3,मेरा,का,Experiencer,Gestalt,,
4,ध्यान,,,,,
5,बंटा,,,,,
6,दिया,,,,,
7,",",,,,,
,,,,,,
1,"""",,,,,
2,और,,,,,
3,तुझे,को,Experiencer,Recipient,,
4,विश्वास,,,,,
5,है,,,,,
6,कि,,,,,
7,फूल,,,,,
8,...,,,,,
9,"""",,,,,
,,,,,,
1,"""",,,,,
2,नहीं,,,,,
3,",",,,,,
4,नहीं,,,,,
5,",",,,,,
6,मैं,,,,,
7,कुछ,,,,,
8,नहीं,,,,,
9,जानता।,,,,,
10,"""",,,,,
,,,,,,
1,मैंने,ने,Recipient,Agent,,
2,जो,,,,,
3,भी,,,,,
4,समझा,,,,,
5,जवाब,,,,,
6,दे,,,,,
7,दिया,,,,,
8,।,,,,,
,,,,,,
1,"""",,,,,
2,मैं,,,,,
3,जरूरी,,,,,
4,काम,,,,,
5,कर,,,,,
6,रहा,,,,,
7,हूं,,,,,
8,।,,,,,
9,"""",,,,,
,,,,,,
1,अकबक,,,,,
2,होकर,,,,,
3,उसने,ने,Experiencer,Agent,,
4,मुझे,को,Stimulus,Theme,,
5,देखा,,,,,
6,",",,,,,
,,,,,,
1,"""",,,,,
2,जरूरी,,,,,
3,काम,,,,,
4,?,,,,,
5,"""",,,,,
,,,,,,
21,उसने,ने,Experiencer,Agent,,
22,देखा,,,,,
23,कि,,,,,
24,मेरी,का,Whole,Whole,,
25,उंगलियां,,,,,
26,काली,,,,,
27,हो,,,,,
28,रही,,,,,
29,हैं,,,,,
30,और,,,,,
31,मैं,,,,,
32,एक,,,,,
33,भोंडी,,,,,
34,सी,,,,,
35,चीज,,,,,
36,पर,पर,Direction,Goal,,
37,हथौड़ा,,,,,
38,लिए,,,,,
39,झुका,,,,,
40,हुआ,,,,,
41,था,,,,,
42,।,,,,,
,,,,,,
1,"""",,,,,
2,तू,,,,,
3,तो,,,,,
4,बूढ़ों,,,,,
5,जैसे,जैसे,ComparisonRef,ComparisonRef,,
6,बातें,,,,,
7,करता,,,,,
8,है,,,,,
9,।,,,,,
10,"""",,,,,
,,,,,,
10,मुझे,को,Experiencer,Recipient,,
11,थोड़ी,,,,,
12,शर्म,,,,,
13,आई,,,,,
14,पर,,,,,
15,उस,,,,,
16,पर,पर,Topic,Topic,,
17,बिना,बिना,Manner,Manner,,
18,ध्यान,,,,,
19,दिए,,,,,
20,उसने,ने,Originator,Agent,,
21,कहा,,,,,
22,",",,,,,
,,,,,,
1,"""",,,,,
2,तू,,,,,
3,सब,,,,,
4,उल्टा-पुल्टा,,,,,
5,कर,,,,,
6,देता,,,,,
7,है,,,,,
8,...,,,,,
,,,,,,
1,सब,,,,,
2,गड़बड़,,,,,
3,कर,,,,,
4,देता,,,,,
5,है,,,,,
6,।,,,,,
7,"""",,,,,
,,,,,,
1,वास्तव,,,,,
2,में,में,Circumstance,Circumstance,,
3,वह,,,,,
4,बहुत,,,,,
5,चिढ़ा,,,,,
6,हुआ,,,,,
7,था,,,,,
8,।,,,,,
,,,,,,
1,उसके,का,Whole,Whole,,
2,सुनहरे,,,,,
3,बाल,,,,,
4,हवा,,,,,
5,में,में,Locus,Locus,,
6,उड़,,,,,
7,रहे,,,,,
8,थे,,,,,
9,।,,,,,
,,,,,,
1,"""",,,,,
2,मैं,,,,,
3,एक,,,,,
4,ऐसे,,,,,*Q* इस तरह का
5,ग्रह,,,,,
6,के,के बारे में,Topic,Topic,,
7,बारे,के बारे में,,,,
8,में,के बारे में,,,,
9,जानता,,,,,
10,हूं,,,,,
11,जहां,,,,,
12,एक,,,,,
13,गुस्सैल,,,,,
14,से,,,,,
15,गुमसुम,,,,,
16,रहने,,,,,
17,वाले,वाला,Characteristic,Characteristic,,
18,महाशय,,,,,
19,रहते,,,,,
20,हैं,,,,,
21,।,,,,,
,,,,,,
1,उनका,का,Whole,Whole,,
2,चेहरा,,,,,
3,हरदम,,,,,
4,लाल,,,,,
