"","Target","SS","SS2","MWE","Notes"
"मुझे","को","Theme","Recipient","","passes reflexivization test for subject, passage of time is Theme"
"यह","","","","",""
"समझने","","","","",""
"में","में","Topic","Topic","","unsure, took time to do x is Purpose but this use of में is generally Topic"
"कई","","","","",""
"दिन","","","","",""
"लग","","","","",""
"गए","","","","",""
"कि","","","","",""
"आखिर","","","","",""
"वह","","","","",""
"नन्हा","","","","",""
"राजकुमार","","","","",""
"है","","","","",""
"कौन","","","","",""
",","","","","",""
"कहां","","","","",""
"से","से","Source","Source","",""
"आया","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"वह","","","","",""
"मुझसे","से","Recipient","Source","",""
"तो","","","","",""
"बहुत","","","","",""
"सारे","","","","",""
"सवाल","","","","",""
"पूछता","","","","",""
"था","","","","",""
"पर","","","","",""
"लगता","","","","",""
"था","","","","",""
"कि","","","","",""
"मेरी","का","Originator","Gestalt","",""
"बिल्कुल","","","","",""
"नहीं","","","","",""
"सुनता","","","","",""
"।","","","","",""
"","","","","",""
"मुझे","को","Experiencer","Recipient","",""
"धीरे-धीरे","","","","",""
"उसकी","का","Originator","Gestalt","",""
"बातों","","","","",""
"से","से","Source","Source","","*Q* indication?"
"सब","","","","",""
"कुछ","","","","",""
"पता","","","","",""
"चला","","","","",""
"।","","","","",""
"","","","","",""
"इस","","","","",""
"प्रकार","","","","",""
"जब","","","","",""
"उसने","ने","Experiencer","Agent","",""
"मेरा","का","Possessor","Possessor","",""
"जहाज","","","","",""
"पहली","","","","",""
"बार","","","","",""
"देखा","","","","",""
"(","","","","",""
"जहाज","","","","",""
"का","का","Topic","Topic","",""
"चित्र","","","","",""
"बनाना","","","","",""
"मेरे","का","Gestalt","Gestalt","",""
"वश","","","","",""
"की","का","ComparisonRef","Gestalt","","sort of like ""within my power"""
"बात","","","","",""
"नहीं","","","","",""
")","","","","",""
"तो","","","","",""
"पूछ","","","","",""
"बैठा","","","","",""
",","","","","",""
"""","","","","",""
"यह","","","","",""
"क्या","","","","",""
"चीज","","","","",""
"है","","","","",""
"?","","","","",""
"","","","","",""
"""","","","","",""
"""","","","","",""
"यह","","","","",""
"कोई","","","","",""
"चीज","","","","",""
"थोड़े","","","","",""
"ही","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"यह","","","","",""
"उड़ती","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"जहाज","","","","",""
"है","","","","",""
"जहाज","","","","",""
"-","","","","",""
"मेरा","का","Possessor","Possessor","",""
"जहाज।","","","","",""
"""","","","","",""
"","","","","",""
"मैंने","ने","Originator","Agent","",""
"बड़े","","","","",""
"गर्व","","","","",""
"से","से","Manner","Manner","",""
"बताया","","","","",""
"कि","","","","",""
",","","","","",""
"""","","","","",""
"मैं","","","","",""
"आकाश","","","","",""
"में","में","Locus","Locus","",""
"उड़","","","","",""
"सकता","","","","",""
"हूं","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"मेरी","का","Originator","Gestalt","",""
"बात","","","","",""
"सुनते","","","","",""
"ही","","","","",""
"वह","","","","",""
"चिल्ला","","","","",""
"पड़ा","","","","",""
",","","","","",""
"""","","","","",""
"यह","","","","",""
"क्या","","","","",""
"?","","","","",""
"","","","","",""
"तू","","","","",""
"आसमान","","","","",""
"से","से","Source","Source","",""
"गिरा","","","","",""
"है","","","","",""
"!","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"हां","","","","",""
"""","","","","",""
"̧","","","","",""
"मैंने","ने","Originator","Agent","",""
"सकुचाते","","","","",""
"हुए","","","","",""
"कहा","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"यह","","","","",""
"तो","","","","",""
"बड़े","","","","",""
"मजे","","","","",""
"की","का","Characteristic","Identity","",""
"बात","","","","",""
