"","Target","SS","SS2","MWE","Notes"
"लेओं","","","","",""
"वेर्थ","","","","",""
"को","को","Beneficiary","Recipient","","Uncertain whether dedication should take a Recipient or Beneficiary."
"।","","","","",""
"","","","","",""
"बच्चों","","","","",""
"मैं","","","","",""
"क्षमा","","","","",""
"चाहता","","","","",""
"हूं","","","","",""
"क्योंकि","","","","",""
"मैंने","ने","Agent","Agent","",""
"यह","","","","",""
"पुस्तक","","","","",""
"एक","","","","",""
"वयस्क","","","","",""
"को","को","Beneficiary","Recipient","",""
"समर्पित","","","","",""
"की","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"कारण","","","","",""
"?","","","","",""
"","","","","",""
"यह","","","","",""
"वयस्क","","","","",""
"दुनिया","","","","",""
"में","में","Whole","Locus","","out of everyone in the world"
"मेरा","का","SocialRel","Gestalt","",""
"सबसे","से","ComparisonRef","ComparisonRef","",""
"प्रिय","","","","",""
"दोस्त","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"फिर","","","","",""
"वह","","","","",""
"सब","","","","",""
"कुछ","","","","",""
"समझ","","","","",""
"सकता","","","","",""
"है","","","","",""
"-","","","","",""
"बच्चों","","","","",""
"की","का","Beneficiary","Possessor","",""
"पुस्तकें","","","","",""
"भी।","","","","",""
"","","","","",""
"एक","","","","",""
"और","","","","",""
"बात","","","","",""
"है","","","","",""
",","","","","",""
"वह","","","","",""
"इस","","","","",""
"वक्त","","","","",""
"फ़्रांस","","","","",""
"में","में","Locus","Locus","",""
"भूख","","","","",""
"और","","","","",""
"सर्दी","","","","",""
"से","से","Stimulus","Ancillary","",""
"जूझ","","","","",""
"रहा","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"ये","","","","",""
"सब","","","","",""
"कारण","","","","",""
"पर्याप्त","","","","",""
"न","","","","",""
"लगें","","","","",""
"तो","","","","",""
"मैं","","","","",""
"पुस्तक","","","","",""
"अपने","का","SocialRel","Gestalt","",""
"मित्र","","","","",""
"के","का","Theme","Theme","",""
"बचपन","","","","",""
"को","को","Beneficiary","Recipient","",""
"समर्पित","","","","",""
"कर","","","","",""
"सकता","","","","",""
"हूं","","","","",""
"।","","","","",""
"","","","","",""
"आखिर","","","","",""
"सारे","","","","",""
"वयस्क","","","","",""
"कभी","","","","",""
"बच्चे","","","","",""
"ही","","","","",""
"तो","","","","",""
"थे","","","","",""
",","","","","",""
"पर","","","","",""
"कहां","","","","",""
"याद","","","","",""
"रहती","","","","",""
"है","","","","",""
"इसकी","का","Topic","Topic","",""
"उन्हें","को","Experiencer","Recipient","",""
"तो","","","","",""
"समर्पण","","","","",""
"के","का","Whole","Whole","",""
"शब्द","","","","",""
"बदल","","","","",""
