,Target,SS,SS2,MWE,Notes
उस,,,,,
कुएं,,,,,
के,के पास,Locus,Locus,,
पास,के पास,,,,
ही,,,,,
एक,,,,,
पत्थर,,,,,
की,का,Stuff,Stuff,,
दीवार,,,,,
का,का,Identity,Identity,,
खंडहर,,,,,
था,,,,,
।,,,,,
,,,,,
दूसरे,,,,,
दिन,,,,,
शाम,,,,,
को,को,Time,Time,,
जब,,,,,
मैं,,,,,
काम,,,,,
कर,,,,,
के,,,,,
वहां,,,,,
लौटा,,,,,
तो,,,,,
नन्हा,,,,,
राजकुमार,,,,,
ऊँचाई,,,,,
पर,पर,Locus,Locus,,
पैर,,,,,
लटकाए,,,,,
बैठा,,,,,
हुआ,,,,,
था,,,,,
।,,,,,
,,,,,
मैंने,ने,Experiencer,Agent,,
सुना,,,,,
कि,,,,,
वह,,,,,
किसी,,,,,
से,से,Agent,Ancillary,,
बातें,,,,,
कर,,,,,
रहा,,,,,
था,,,,,
।,,,,,
,,,,,
"""",,,,,
तुझे,को,Experiencer,Recipient,,
याद,,,,,
नहीं,,,,,
!,,,,,
"""",,,,,
वह,,,,,
कह,,,,,
रहा,,,,,
था,,,,,
।,,,,,
,,,,,
"""",,,,,
एकदम,,,,,
यहां,,,,,
नहीं,,,,,
...,,,,,
"""",,,,,
दूसरी,,,,,
आवाज,,,,,
ने,ने,Originator,Agent,,
उससे,से,Recipient,Ancillary,,
निश्चित,,,,,
ही,,,,,
कुछ,,,,,
कहा,,,,,
होगा,,,,,
",",,,,,
क्योंकि,,,,,
राजकुमार,,,,,
ने,ने,Originator,Agent,,
फिर,,,,,
जोर,,,,,
देकर,,,,,
कहा,,,,,
",",,,,,
"""",,,,,
तुम्हें,को,Experiencer,Recipient,,
याद,,,,,
नहीं,,,,,
!,,,,,
,,,,,
आज,,,,,
ही,,,,,
है,,,,,
वह,,,,,
दिन,,,,,
",",,,,,
हां,,,,,
वह,,,,,
जगह,,,,,
नहीं,,,,,
है,,,,,
...,,,,,
"""",,,,,
,,,,,
मैं,,,,,
दीवार,,,,,
की,की ओर,Direction,Direction,1:1,
ओर,की ओर,,,1:2,
बढ़ा,,,,,
।,,,,,
,,,,,
मैंने,ने,Experiencer,Agent,,
किसी,,,,,
को,को,Stimulus,Theme,,
नहीं,,,,,
देखा,,,,,
वहां,,,,,
",",,,,,
कोई,,,,,
आवाज,,,,,
नहीं,,,,,
सुनाई,,,,,
पड़ी,,,,,
।,,,,,
,,,,,
राजकुमार,,,,,
ने,ने,Originator,Agent,,
फिर,फिर से,`d,`d,1:1,
से,फिर से,,,1:2,
कहा,,,,,
",",,,,,
"""",,,,,
...,,,,,
निश्चित,,,,,
ही,,,,,
।,,,,,
,,,,,
देखना,,,,,
मेरे,का,Theme,Theme,,
उतरने,,,,,
के,का,Gestalt,Gestalt,,*Q*
निशान,,,,,
बने,,,,,
हैं,,,,,
रेत,,,,,
में,,,,,
।,,,,,
,,,,,
मेरा,का,Theme,Theme,,
इंतजार,,,,,
करना,,,,,
।,,,,,
,,,,,
मैं,,,,,
रात,,,,,
में,में,Goal,Locus,,
वहां,,,,,
पहुंच,,,,,
जाऊँगा,,,,,
।,,,,,
"""",,,,,
,,,,,
मैं,,,,,
दीवाल,,,,,
से,से,Locus,Source,,
कुल,,,,,
बीस,,,,,
मीटर,,,,,
दूर,,,,,
था,,,,,
फिर,,,,,
भी,,,,,
मुझे,को,Experiencer,Recipient,,
कुछ,,,,,
दिखाई,,,,,
नहीं,,,,,
दे,,,,,
रहा,,,,,
था,,,,,
।,,,,,
,,,,,
एक,,,,,
चुप्पी,,,,,
के,के बाद,Time,Interval,1:1,
बाद,के बाद,,,1:2,
राजकुमार,,,,,
ने,ने,Originator,Agent,,
फिर,,,,,
कहा,,,,,
",",,,,,
"""",,,,,
तेरा,का,Originator,Gestalt,,*Q*
जहर,,,,,
बहुत,,,,,
तेज,,,,,
है,,,,,
न?,,,,,
,,,,,
मुझे,को,Experiencer,Gestalt,,
बहुत,,,,,
देर,,,,,
तक,तक,EndTime,Interval,,
तकलीफ,,,,,
तो,,,,,
नहीं,,,,,
होगी,,,,,
?,,,,,
,,,,,
"""",,,,,
मेरे,का,Whole,Whole,,
दिल,,,,,
की,का,Theme,Theme,,
धड़कन,,,,,
रूकती,,,,,
सी,,,,,
लगी,,,,,
।,,,,,
,,,,,
मैं,,,,,
रुक,,,,,
गया,,,,,
पर,,,,,
समझ,,,,,
में,में,Goal,Locus,,
फिर,,,,,
कुछ,,,,,
नहीं,,,,,
आ,,,,,
रहा,,,,,
था,,,,,
।,,,,,
,,,,,
"""",,,,,
अब,,,,,
जा,,,,,
तू,,,,,
उसने,ने,Originator,Agent,,
कहा,,,,,
...,,,,,
,,,,,
मैं,,,,,
उतरना,,,,,
चाहता,,,,,
हूं,,,,,
।,,,,,
"""",,,,,
,,,,,
मैंने,ने,Experiencer,Agent,,
दीवार,,,,,
के,के नीचे,Locus,Locus,1:1,
नीचे,के नीचे,,,1:2,
झुक,,,,,
कर,,,,,
देखा,,,,,
और,,,,,
एक,,,,,
चीख,,,,,
निकल,,,,,
गई,,,,,
।,,,,,
,,,,,
यहीं,,,,,
राजकुमार,,,,,
की,की ओर,Recipient,Direction,1:1,
ओर,की ओर,,,1:2,
मुखातिब,,,,,
था,,,,,
वह,,,,,
-,,,,,
पीला,,,,,
सांप,,,,,
जिसका,का,Whole,Whole,,
काटा,,,,,
आध,,,,,
मिनट,,,,,
के,के अंदर,Duration,Duration,2:1,
अंदर,के अंदर,,,2:2,
दम,,,,,
तोड़,,,,,
देता,,,,,
है,,,,,
।,,,,,
,,,,,
हड़बड़ाहट,,,,,
में,में,Circumstance,Circumstance,,
मैंने,ने,Agent,Agent,,
जेब,,,,,
से,से,Source,Source,,
पिस्तौल,,,,,
निकाली,,,,,
और,,,,,
दौड़ने,,,,,
को,को,`i,`i,,
हुआ,,,,,
पर,,,,,
मेरी,का,Originator,Gestalt,,
आवाज,,,,,
पर,पर,Explanation,Time,,
सांप,,,,,
वैसे,,,,,
ही,,,,,
नीचे,,,,,
सिकुड़,,,,,
गया,,,,,
जैसे,जैसे,Manner,ComparisonRef,,
फव्वारा,,,,,
बंद,,,,,
होने,,,,,
पर,पर,Explanation,Time,,
पानी,,,,,
की,का,Identity,Identity,,
धर,,,,,
",",,,,,
और,,,,,
धीरे-धीरे,,,,,
एक,,,,,
खनखनाहट,,,,,
के,के साथ,Manner,Manner,1:1,
साथ,के साथ,,,1:2,
पत्थरों,,,,,
के,के बीच,Locus,Locus,2:1,
बीच,के बीच,,,2:2,
रेंग,,,,,
गया,,,,,
।,,,,,
,,,,,
भागकर,,,,,
मैं,,,,,
दीवार,,,,,
तक,तक,Goal,Goal,,
पहुंचा,,,,,
और,,,,,
नन्हे-मुन्ने,,,,,
से,,,,,
राजकुमार,,,,,
को,को,Theme,Theme,,
बांहों,,,,,
में,में,Locus,Locus,,
भर,,,,,
लिया,,,,,
।,,,,,
,,,,,
उसका,का,Whole,Whole,,
चेहरा,,,,,
बर्फ़,,,,,
जैसा,जैसा,ComparisonRef,ComparisonRef,,
हो,,,,,
रहा,,,,,
था,,,,,
।,,,,,
,,,,,
"""",,,,,
क्या,,,,,
हुआ,,,,,
?,,,,,
,,,,,
अब,,,,,
तू,,,,,
सांपों,,,,,
से,से,Agent,Ancillary,,
बातें,,,,,
करता,,,,,
है,,,,,
?,,,,,
"""",,,,,
,,,,,
मैंने,ने,Agent,Agent,,
उसका,का,Possessor,Possessor,,
सुनहरा,,,,,
मफलर,,,,,
ढीला,,,,,
किया,,,,,
।,,,,,
,,,,,
उसकी,का,Possessor,Possessor,,
कनपटी,,,,,
पर,पर,Goal,Locus,,
पानी,,,,,
छिड़का,,,,,
और,,,,,
पानी,,,,,
पिलाया,,,,,
।,,,,,
,,,,,
मेरी,का,Experiencer,Gestalt,,
हिम्मत,,,,,
नहीं,,,,,
हुई,,,,,
कि,,,,,
उससे,से,Recipient,Source,,
कुछ,,,,,
पूछूं,,,,,
वह,,,,,
मुझे,को,Stimulus,Thme,,
चुपचाप,,,,,
देखता,,,,,
रहा,,,,,
और,,,,,
मेरी,का,Whole,Whole,,
गर्दन,,,,,
में,में,Goal,Locus,,
बाहें,,,,,
डाल,,,,,
दीं,,,,,
।,,,,,
,,,,,
गोली,,,,,
खाकर,,,,,
मरती,,,,,
हुई,,,,,
चिड़िया,,,,,
की,का,Gestalt,Gestalt,,*Q*
धड़कन,,,,,
की,की तरह,Manner,ComparisonRef,1:1,
तरह,की तरह,,,1:2,
मुझे,को,Experiencer,Recipient,,
उसकी,का,Gestalt,Gestalt,,*Q*
धड़कन,,,,,
सुनाई,,,,,
पड़,,,,,
रही,,,,,
थी,,,,,
।,,,,,
,,,,,
उसने,ने,Originator,Agent,,
मुझसे,से,Recipient,Ancillary,,
कहा,,,,,
",",,,,,
"""",,,,,
मैं,,,,,
बड़ा,,,,,
खुश,,,,,
हूं,,,,,
कि,,,,,
तेरा,का,Possessor,Possessor,,
जहाज,,,,,
ठीक,,,,,
हो,,,,,
गया,,,,,
।,,,,,
,,,,,
अब,,,,,
तू,,,,,
घर,,,,,
लौट,,,,,
सकेगा,,,,,
...,,,,,
"""",,,,,
,,,,,
"""",,,,,
कैसे,,,,,
मालूम,,,,,
तुझे,को,Experiencer,Recipient,,
?,,,,,
"""",,,,,
,,,,,
मैं,,,,,
तो,,,,,
उसे,को,Recipient,Recipient,,
यही,,,,,
बताने,,,,,
आया,,,,,
था,,,,,
कि,,,,,
आशा,,,,,
नहीं,,,,,
थी,,,,,
पर,,,,,
मैं,,,,,
जहाज,,,,,
ठीक,,,,,
करने,,,,,
में,में,Topic,Topic,,
सफल,,,,,
हो,,,,,
गया,,,,,
हूं,,,,,
।,,,,,
,,,,,
मेरे,का,Originator,Gestalt,,
सवाल,,,,,
का,का,Topic,Topic,,
जवाब,,,,,
दिए,,,,,
बिना,बिना,Manner,Manner,,
अपनी,,,,,
ही,,,,,
बातें,,,,,
करने,,,,,
लगा,,,,,
",",,,,,
"""",,,,,
मैं,,,,,
भी,,,,,
आज,,,,,
अपने,का,Possessor,Possessor,,
घर,,,,,
जा,,,,,
रहा,,,,,
हूं,,,,,
...,,,,,
।,,,,,
"""",,,,,
,,,,,
उदास,,,,,
होकर,,,,,
बुदबुदाया,,,,,
",",,,,,
"""",,,,,
कितनी,,,,,
दूर,,,,,
है,,,,,
...,,,,,
कितना,,,,,
मुश्किल,,,,,
है,,,,,
...,,,,,
!,,,,,
"""",,,,,
,,,,,
मैंने,ने,Experiencer,Agent,,
महसूस,,,,,
किया,,,,,
कि,,,,,
कुछ,,,,,
असाधरण,,,,,
घट,,,,,
रहा,,,,,
है,,,,,
।,,,,,
,,,,,
मैंने,ने,Agent,Agent,,
उसे,को,Theme,Theme,,
एक,,,,,
बच्चे,,,,,
की,की तरह,ComparisonRef,ComparisonRef,1:1,
तरह,की तरह,,,1:2,
बांहों,,,,,
में,में,Goal,Locus,,
कस,,,,,
लिया,,,,,
था,,,,,
फिर,,,,,
भी,,,,,
लग,,,,,
रहा,,,,,
था,,,,,
कि,,,,,
वह,,,,,
किसी,,,,,
खाई,,,,,
की,की ओर,Direction,Direction,1:1,
ओर,की ओर,,,1:2,
बहकर,,,,,
मेरी,,,,,
पकड़,,,,,
से,से,Source,Source,,
बाहर,,,,,
जा,,,,,
रहा,,,,,
है,,,,,
और,,,,,
मैं,,,,,
असहाय,,,,,
हूं,,,,,
...,,,,,
!,,,,,
,,,,,
वह,,,,,
गम्भीर,,,,,
और,,,,,
कहीं,,,,,
दूर,,,,,
खोया-खोया,,,,,
सा,,,,,
लग,,,,,
रहा,,,,,
था,,,,,
",",,,,,
"""",,,,,
मेरे,के पास,Possessor,Possessor,1:1,
पास,के पास,,,1:2,
तेरी,का,Originator,Gestalt,,
दी,,,,,
हुई,,,,,
भेड़,,,,,
",",,,,,
उसको,को,Theme,Theme,,
बंद,,,,,
करने,,,,,
वाला,वाला,Characteristic,Characteristic,,
बक्सा,,,,,
और,,,,,
‘जाबा’,,,,,
है,,,,,
...,,,,,
।,,,,,
"""",,,,,
,,,,,
विषादपूर्ण,,,,,
मुस्कान,,,,,
दिखाई,,,,,
पड़ी,,,,,
उसके,का,Whole,Whole,,
चेहरे,,,,,
पर,पर,Locus,Locus,,
।,,,,,
,,,,,
मैं,,,,,
इंतजार,,,,,
करता,,,,,
रहा,,,,,
।,,,,,
,,,,,
लगा,,,,,
कि,,,,,
वह,,,,,
सहज,,,,,
हो,,,,,
रहा,,,,,
है,,,,,
धीरे-धीरे,,,,,
।,,,,,
,,,,,
"""",,,,,
नन्हे-मुन्ने,,,,,
तुझे,को,Experiencer,Recipient,,
डर,,,,,
लगा,,,,,
था,,,,,
...,,,,,
"""",,,,,
,,,,,
डर,,,,,
तो,,,,,
लगा,,,,,
था,,,,,
लेकिन,,,,,
वह,,,,,
धीरे,,,,,
से,से,Manner,Manner,,
हंसा,,,,,
",",,,,,
"""",,,,,
आज,,,,,
शाम,,,,,
को,को,Time,Time,,
और,,,,,
डर,,,,,
लगेगा,,,,,
।,,,,,
"""",,,,,
जैसे,,,,,
कुछ,,,,,
टूट,,,,,
गया,,,,,
हो,,,,,
अंदर,,,,,
से,से,Source,Source,,*Q*
।,,,,,
,,,,,
मेरी,का,Whole,Whole,,
नसें,,,,,
ठंडी,,,,,
पड़ने,,,,,
लगीं,,,,,
।,,,,,
,,,,,
मुझे,को,Experiencer,Recipient,,
लगा,,,,,
कि,,,,,
वह,,,,,
ख्याल,,,,,
मैं,,,,,
बर्दाश्त,,,,,
नहीं,,,,,
कर,,,,,
पाउँगा,,,,,
कि,,,,,
यह,,,,,
हंसी,,,,,
मैं,,,,,
आखिरी,,,,,
बार,,,,,
सुन,,,,,
रहा,,,,,
हूं,,,,,
।,,,,,
,,,,,
वह,,,,,
हंसी,,,,,
मेरे,के लिए,Experiencer,Beneficiary,1:1,
लिए,के लिए,,,1:2,
रेगिस्तान,,,,,
में,में,Locus,Locus,,
मिले,,,,,
पानी,,,,,
के,का,Characteristic,Identity,,*Q*
सोते,,,,,
जैसी,जैसा,ComparisonRef,ComparisonRef,,
थी,,,,,
।,,,,,
,,,,,
"""",,,,,
नन्हे-मुन्ने,,,,,
!,,,,,
,,,,,
मैं,,,,,
तुझे,को,Stimulus,Theme,,
फिर,फिर से,`d,`d,1:1,
से,फिर से,,,1:2,
हंसते,,,,,
हुए,,,,,
सुनना,,,,,
चाहता,,,,,
हूं,,,,,
...,,,,,
!,,,,,
"""",,,,,
,,,,,
लेकिन,,,,,
उसने,ने,Originator,Agent,,
मुझसे,से,Recipient,Ancillary,,
कहा,,,,,
",",,,,,
"""",,,,,
आज,,,,,
रात,,,,,
एक,,,,,
साल,,,,,
पूरा,,,,,
हो,,,,,
जाएगा,,,,,
।,,,,,
,,,,,
मेरा,का,Gestalt,Gestalt,,
ग्रह,,,,,
उस,,,,,
जगह,,,,,
के,के ऊपर,Goal,Locus,,
ऊपर,के ऊपर,,,,
आ,,,,,
जाएगा,,,,,
जहां,,,,,
मैं,,,,,
उतरा,,,,,
था,,,,,
पिछले,,,,,
साल...,,,,,
!,,,,,
"""",,,,,
,,,,,
"""",,,,,
नन्हे-मुन्ने,,,,,
!,,,,,
,,,,,
बोल,,,,,
यह,,,,,
एक,,,,,
दुःस्वप्न,,,,,
जैसा,जैसा,ComparisonRef,ComparisonRef,,
है,,,,,
कि,,,,,
नहीं,,,,,
?,,,,,
,,,,,
यह,,,,,
सांप,,,,,
",",,,,,
मिलने,,,,,
की,का,Topic,Topic,,
बात,,,,,
",",,,,,
तेरा,का,Gestalt,Gestalt,,
ग्रह,,,,,
...,,,,,
!,,,,,
"""",,,,,
,,,,,
मेरे,,,,,
