"","Target","SS","SS2","MWE","Notes",""
"छठा","","","","","",""
"ग्रह","","","","","",""
"दस","","","","","",""
"गुना","","","","","",""
"बड़ा","","","","","",""
"था","","","","","",""
"।","","","","","",""
"","","","","","",""
"उस","","","","","",""
"पर","पर","Locus","Locus","","",""
"एक","","","","","",""
"बूढ़े","","","","","",""
"महाशय","","","","","",""
"रहते","","","","","",""
"थे","","","","","",""
"जो","","","","","",""
"एक","","","","","",""
"बड़ी","","","","","",""
"सी","","","","","",""
"किताब","","","","","",""
"लिख","","","","","",""
"रहे","","","","","",""
"थे","","","","","",""
"।","","","","","",""
"","","","","","",""
"""","","","","","",""
"अरे","","","","","",""
"!","","","","","",""
"""","","","","","",""
"","","","","","",""
"राजकुमार","","","","","",""
"को","को","Stimulus","Theme","","",""
"देखते","","","","","",""
"ही","","","","","",""
"वह","","","","","",""
"चिल्लाया","","","","","",""
",","","","","","",""
"","","","","","",""
"""","","","","","",""
"यह","","","","","",""
"रहा","","","","","",""
"एक","","","","","",""
"अन्वेषक","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"राजकुमार","","","","","",""
"मेज","","","","","",""
"के","के पास","Locus","Locus","1:1","",""
"पास","के पास","","","1:2","",""
"दम","","","","","",""
"लेने","","","","","",""
"के","के लिए","Purpose","Purpose","2:1","",""
"लिए","के लिए","","","2:2","",""
"बैठ","","","","","",""
"गया","","","","","",""
"।","","","","","",""
"","","","","","",""
"बहुत","","","","","",""
"यात्रा","","","","","",""
"कर","","","","","",""
"चुका","","","","","",""
"था","","","","","",""
"वह।","","","","","",""
"","","","","","",""
"""","","","","","",""
"कहां","","","","","",""
"से","से","Source","Source","","",""
"आ","","","","","",""
"रहा","","","","","",""
"है","","","","","",""
"?","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"कौन","","","","","",""
"सी","","","","","",""
"किताब","","","","","",""
"है","","","","","",""
"यह","","","","","",""
",","","","","","",""
"""","","","","","",""
"","","","","","",""
"राजकुमार","","","","","",""
"ने","ने","Originator","Agent","","",""
"पूछा","","","","","",""
",","","","","","",""
"","","","","","",""
"""","","","","","",""
"क्या","","","","","",""
"कर","","","","","",""
"रहे","","","","","",""
"हैं","","","","","",""
"आप?","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"मैं","","","","","",""
"तो","","","","","",""
"भूगोलवेत्ता","","","","","",""
"हूं","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"भूगोलवेत्ता","","","","","",""
"का","का","Gestalt","Gestalt","","",""
"अर्थ?","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"वह","","","","","",""
"एक","","","","","",""
"विद्वान","","","","","",""
"होता","","","","","",""
"है","","","","","",""
"जिसे","को","Experiencer","Recipient","","",""
"पता","","","","","",""
"होता","","","","","",""
"है","","","","","",""
"कि","","","","","",""
"कहां","","","","","",""
"सागर","","","","","",""
",","","","","","",""
"कहां","","","","","",""
"नदियां","","","","","",""
"-","","","","","",""
"नगर","","","","","",""
",","","","","","",""
"पहाड़","","","","","",""
"और","","","","","",""
"रेगिस्तान","","","","","",""
"पाए","","","","","",""
"जाते","","","","","",""
"हैं","","","","","",""
"।","","","","","",""
