,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
यात्रा,,,,,,,,,,,,,,
के,का,Whole,Whole,,का,QuantityItem,Whole,,,का,Frequency,Whole,,
सातवें,,,,,,,,,,,Whole,Whole,,
दौरे,,,,,,,,,,,,,,
में,में,Time,Time,,में,Time,Time,,*Q*,में,Time,Time,,
वह,,,,,,,,,,,,,,
पृथ्वी,,,,,,,,,,,,,,
पर,पर,Goal,Locus,,पर,Goal,Locus,,,पर,Goal,Locus,,
पहुंचा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
धरती,,,,,,,,,,,,,,
कोई,,,,,,,,,,,,,,
ऐसा-वैसा,,,,,,,,,,,,,,
ग्रह,,,,,,,,,,,,,,
तो,तो,Focus,Focus,,,,,,,तो,Focus,Focus,,
है,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
यहां,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,
राजा,,,,,,,,,,,,,,
(,,,,,,,,,,,,,,
अफ़्रीकी,,,,,,,,,,,,,,
राजाओं,,,,,,,,,,,,,,
को,को,Theme,Theme,,को,Theme,Theme,,,को,Theme,Theme,,
लेकर,,,,,,,,,,,,,,
),,,,,,,,,,,,,,
सात,,,,,,,,,,,,,,
हजार,,,,,,,,,,,,,,
भूगोलवेत्ता,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
नौ,,,,,,,,,,,,,,
लाख,,,,,,,,,,,,,,
व्यवसायी,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
पचहत्तर,,,,,,,,,,,,,,
लाख,,,,,,,,,,,,,,
शराबी,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
इकत्तीस,,,,,,,,,,,,,,
करोड़,,,,,,,,,,,,,,
दम्भी,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,
कुल,,,,,,,,,,,,,,
मिलाकर,,,,,,,,,,,,,,
दो,,,,,,,,,,,,,,
करोड़,,,,,,,,,,,,,,
वयस्क,,,,,,,,,,,,,,
लोग,,,,,,,,,,,,,,
रहते,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
इस,,,,,,,,,,,,,,
धरती,,,,,,,,,,,,,,
पर,पर,Locus,Locus,,पर,Locus,Locus,,,पर,Locus,Locus,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
धरती,,,,,,,,,,,,,,
कितनी,,,,,,,,,,,,,,
बड़ी,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
इसका,का,Topic,Topic,,का,Topic,Topic,,,का,Topic,Theme,,
अंदाजा,,,,,,,,,,,,,,
शायद,,,,,,,,,,,,,,
इस,,,,,,,,,,,,,,
बात,,,,,,,,,,,,,,
से,से,Explanation,Source,,से,Explanation,Source,,,से,Explanation,Source,,
चल,,,,,,,,,,,,,,
जाएगा,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
बिजली,,,,,,,,,,,,,,
के,का,Topic,Topic,,का,Theme,Theme,,,का,Topic,Theme,,
आविष्कार,,,,,,,,,,,Topic,Topic,,
से,से पहले,Time,Time,1:1,से पहले,Time,Time,1:1,,से पहले,Time,Time,1:1,
पहले,से पहले,,,1:2,से पहले,,,1:2,,से पहले,,,1:2,
कुल,,,,,,,,,,,,,,
मिलाकर,,,,,,,,,,,,,,
छः,,,,,,,,,,,,,,
महाद्वीपों,,,,,,,,,,,,,,
पर,पर,Locus,Locus,,पर,Locus,Locus,,,पर,Locus,Locus,,
रोशनी,,,,,,,,,,,,,,
के,के लिए,Purpose,Purpose,2:1,के लिए,Purpose,Purpose,2:1,,के लिए,Purpose,Purpose,1:1,
लिए,के लिए,,,2:2,के लिए,,,2:2,,के लिए,,,1:2,
चार,,,,,,,,,,,,,,
लाख,,,,,,,,,,,,,,
बासठ,,,,,,,,,,,,,,
हजार,,,,,,,,,,,,,,
पांच,,,,,,,,,,,,,,
सौ,,,,,,,,,,,,,,
ग्यारह,,,,,,,,,,,,,,
बत्तियां,,,,,,,,,,,,,,
जलाने,,,,,,,,,,,,,,
वालों,वाला,NONSNACS,NONSNACS,,वाला,NONSNACS,NONSNACS,,,वाला,??,??,,
की,का,QuantityItem,Stuff,,का,QuantityItem,Stuff,,,का,QuantityItem,QuantityItem,Stuff,en guidelines 437
पूरी,,,,,,,,,,,,,,
फौज,,,,,,,,,,,,,,
की,का,Stimulus,Theme,,का,Stimulus,Topic,,,का,Theme,Theme,,
जरूरत,,,,,,,,,,,Stimulus,Theme,,
पड़ती,,,,,,,,,,,,,,
थी,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
आसमान,,,,,,,,,,,,,,
से,से,Locus,Source,,से,Locus,Source,,,से,Locus,Source,,
देखने,,,,,,,,,,,,,,
पर,पर,Explanation,Time,,पर,Time,Time,,*Q*,पर,Circumstance,Circumstance,,"'upon'?'when'?
no parallel in french original, suggests non-time scene as times cannot usually be omitted"
बड़ा,,,,,,,,,,,Explanation,Time,,
मनोहारी,,,,,,,,,,,,,,
लगता,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
दृश्य,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
फौज,,,,,,,,,,,,,,
जब,,,,,,,,,,,,,,
काम,,,,,,,,,,,,,,
पर,पर,Purpose,Purpose,,पर,Goal,Locus,,*Q*,पर,Explanation,Explanation,,"Omkar Koul , use of par, 
'cause' or 'reason' e.g
dhokaa dene par use sazaa milii
can substitute with ke liye"
निकलती,,,,,,,,,,,Purpose,Purpose,,
थी,,,,,,,,,,,,,,
तो,,,,,,,,,,,,,,
लगता,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
जैसे,जैसे,Manner,ComparisonRef,,जैसे,Manner,ComparisonRef,,analogy,जैसे,Manner,ComparisonRef,,
बैले,,,,,,,,,,,,,,
नृत्य,,,,,,,,,,,,,,
हो,,,,,,,,,,,,,,
रहा,,,,,,,,,,,,,,
हो,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
पहले,,,,,,,,,,,,,,
न्यूजीलैंड,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
आस्ट्रेलिया,,,,,,,,,,,,,,
की,का,Locus,Gestalt,,का,Locus,Gestalt,,,का,Locus,Gestalt,,
बत्तियां,,,,,,,,,,,,,,
जलती,,,,,,,,,,,,,,
थीं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
जलाने,,,,,,,,,,,,,,
के,के बाद,Time,Time,1:1,के बाद,Time,Time,1:1,,के बाद,Time,Time,1:1,
बाद,के बाद,,,1:2,के बाद,,,1:2,,के बाद,,,1:2,
वहां,,,,,,,,,,,,,,
के,का,Locus,Gestalt,,का,Locus,Gestalt,,,का,Locus,Gestalt,,
बत्ती,,,,,,,,,,,,,,
वाले,वाला,NONSNACS,NONSNACS,,वाला,NONSNACS,NONSNACS,,,वाला,??,??,,
सोने,,,,,,,,,,,,,,
चले,,,,,,,,,,,,,,
जाते,,,,,,,,,,,,,,
थे,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
फिर,,,,,,,,,,,,,,
आते,,,,,,,,,,,,,,
चीन,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
साईबेरिया,,,,,,,,,,,,,,
के,का,Locus,Gestalt,,का,Locus,Gestalt,,,का,Locus,Gestalt,,
बत्ती,,,,,,,,,,,,,,
वाले,वाला,NONSNACS,NONSNACS,,वाला,NONSNACS,NONSNACS,,,वाला,??,??,,
",",,,,,,,,,,,,,,
नृत्य,,,,,,,,,,,,,,
के,का,Whole,Whole,,का,QuantityItem,Whole,,,का,Frequency,Whole,,
दूसरे,,,,,,,,,,,Whole,Whole,,
क्रम,,,,,,,,,,,,,,
में,में,Time,Time,,में,Time,Time,,,में,Time,Time,,
और,,,,,,,,,,,,,,
थोड़ी,,,,,,,,,,,,,,
देर,,,,,,,,,,,,,,
