,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
मैं,,,,,,,,,,,,,,
सोचता,,,,,,,,,,,,,,
रहा,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
अपने,का,Gestalt,Gestalt,,का,Gestalt,Gestalt,,,का,Org,Gestalt,,"my company, my planet, my home"
ग्रह,,,,,,,,,,,,,,
से,से,Source,Source,,से,Source,Source,,,से,Source,Source,,
निकला,,,,,,,,,,,,,,
कैसे,,,,,,,,,,,,,,
होगा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैंने,ने,Experiencer,Agent,,ने,Experiencer,Agent,,,ने,Experiencer,Agent,,
सोचा,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
प्रवासी,,,,,,,,,,,,,,
चिड़ियोें,,,,,,,,,,,,,,
के,का,QuantityItem,Stuff,,का,QuantityItem,Stuff,,,का,QuantityItem,Stuff,,collective noun usage
झुंड,,,,,,,,,,,,,,
के,के साथ,Ancillary,Ancillary,1:1,के साथ,Ancillary,Ancillary,1:1,,के साथ,Ancillary,Ancillary,1:1,passes together with test
साथ,के साथ,,,1:2,के साथ,,,1:2,,के साथ,,,1:2,
उड़,,,,,,,,,,,,,,
चला,,,,,,,,,,,,,,
होगा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
जिस,,,,,,,,,,,,,,
दिन,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
रवाना,,,,,,,,,,,,,,
होने,,,,,,,,,,,,,,
वाला,वाला,NONSNACS,NONSNACS,,,,,,,वाला,NONSNACS,NONSNACS,,
था,,,,,,,,,,,,,,
उसने,ने,Agent,Agent,,ने,Agent,Agent,,,ने,Agent,Agent,,
सब,,,,,,,,,,,,,,
ठीक-ठाक,,,,,,,,,,,,,,
किया,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
अपने,का,Possessor,Possessor,,का,Possessor,Possessor,,,का,Possessor,Possessor,,
