,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
छठा,,,,,,,,,,,,,,
ग्रह,,,,,,,,,,,,,,
दस,,,,,,,,,,,,,,
गुना,,,,,,,,,,,,,,
बड़ा,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
उस,,,,,,,,,,,,,,
पर,पर,Locus,Locus,,पर,Locus,Locus,,,पर,Locus,Locus,,
एक,,,,,,,,,,,,,,
बूढ़े,,,,,,,,,,,,,,
महाशय,,,,,,,,,,,,,,
रहते,,,,,,,,,,,,,,
थे,,,,,,,,,,,,,,
जो,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
बड़ी,,,,,,,,,,,,,,
सी,सा,Extent,Extent,,,,,,,सा,Extent,Extent,,
किताब,,,,,,,,,,,,,,
लिख,,,,,,,,,,,,,,
रहे,,,,,,,,,,,,,,
थे,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
अरे,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
को,को,Stimulus,Theme,,को,Stimulus,Theme,,,को,Stimulus,Theme,,
देखते,,,,,,,,,,,,,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
वह,,,,,,,,,,,,,,
चिल्लाया,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
रहा,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
अन्वेषक,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
मेज,,,,,,,,,,,,,,
के,के पास,Locus,Locus,1:1,के पास,Locus,Locus,1:1,,के पास,Locus,Locus,1:1,
पास,के पास,,,1:2,के पास,,,1:2,,के पास,,,1:2,
दम,,,,,,,,,,,,,,
लेने,,,,,,,,,,,,,,
के,के लिए,Purpose,Purpose,2:1,के लिए,Purpose,Purpose,2:1,,के लिए,Purpose,Purpose,2:1,
लिए,के लिए,,,2:2,के लिए,,,2:2,,के लिए,,,2:2,
बैठ,,,,,,,,,,,,,,
गया,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
बहुत,,,,,,,,,,,,,,
यात्रा,,,,,,,,,,,,,,
कर,,,,,,,,,,,,,,
चुका,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
वह।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
कहां,,,,,,,,,,,,,,
से,से,Source,Source,,से,Source,Source,,,से,Locus,Source,,
आ,,,,,,,,,,,,,,
रहा,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
कौन,,,,,,,,,,,,,,
सी,सा,Extent,Extent,,,,,,,सा,Extent,Extent,,
