,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
आकाश,,,,,,,,,,,,,,
से,से,Source,Source,,से,Source,Source,,,से,Source,Source,,
विचरता,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
उसने,ने,Experiencer,Agent,,ने,Experiencer,Agent,,,ने,Agent,Agent,,"he 'got near the asteroids' 
( i've heard this transliteration very often in India)
suggests an Agency?"
अपने,,,,,,,,,,,,,,
को,को,Stimulus,Theme,,को,Theme,Theme,,*Q*,को,Recipient,Recipient,,'paya' usage suggests receiver
325,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
326,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
327,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
328,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
329,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,
नामक,,,,,,,,,,,,,,
ग्रहों,,,,,,,,,,,,,,
के,के क़रीब,Locus,Locus,1:1,के क़रीब,Locus,Locus,1:1,,के क़रीब,Locus,Locus,1:1,
करीब,के क़रीब,,,1:2,के क़रीब,,,1:2,,के क़रीब,,,1:2,
पाया,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
उसने,ने,Agent,Agent,,ने,Experiencer,Agent,,,ने,Agent,Agent,,"en guidelines page 45, 'making a decision' is agent"
कुछ,,,,,,,,,,,,,,
करने,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
कुछ,,,,,,,,,,,,,,
सीखने,,,,,,,,,,,,,,
के,के लिए,Purpose,Purpose,1:1,के लिए,Purpose,Purpose,1:1,,के लिए,Purpose,Purpose,1:1,
लिए,के लिए,,,1:2,के लिए,,,1:2,,के लिए,,,1:2,
उन,,,,,,,,,,,,,,
ग्रहों,,,,,,,,,,,,,,
में,में,Goal,Locus,,में,Goal,Locus,,,में,Goal,Locus,,Direction because it describes / adverbializes  the following 'jaane' 
जाने,,,,,,,,,,,,,,
का,का,Topic,Topic,,का,Topic,Topic,,decision of going to those planets,का,Topic,Topic,,
निश्चय,,,,,,,,,,,,,,
किया,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
पहले,,,,,,,,,,,,,,
ग्रह,,,,,,,,,,,,,,
