,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
तभी,,,,,,,,,,,,,,
कहीं,,,,,,,,,,,,,,
से,से,Source,Source,,से,Source,Source,,,से,Source,Source,,
एक,,,,,,,,,,,,,,
लोमड़ी,,,,,,,,,,,,,,
आ,,,,,,,,,,,,,,
गई,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
नमस्कार,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
लोमड़ी,,,,,,,,,,,,,,
बोली,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
नमस्कार,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
मुड़कर,,,,,,,,,,,,,,
नन्हे,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
जवाब,,,,,,,,,,,,,,
दिया,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
पर,पर,NONSNACS,NONSNACS,,,,,,,पर,NONSNACS,NONSNACS,,coordinating conjunction
उसे,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
कुछ,,,,,,,,,,,,,,
दिखाई,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
पड़ा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
यहां,,,,,,,,,,,,,,
हूं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
सेब,,,,,,,,,,,,,,
के,का,Identity,Identity,,का,Identity,Identity,,,का,Identity,Identity,,
पेड़,,,,,,,,,,,,,,
के,के नीचे,Locus,Locus,1:1,का,Locus,Locus,1:1,,के नीचे,Locus,Locus,1:1,
नीचे,के नीचे,,,1:2,,,,1:2,,के नीचे,,,1:2,
से,से,Source,Source,,से,Source,Source,,,से,Source,Source,,
आवाज,,,,,,,,,,,,,,
आई,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
कौन,,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
तू,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
अच्छी,,,,,,,,,,,,,,
खासी,,,,,,,,,,,,,,
लग,,,,,,,,,,,,,,
रही,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
देखने,,,,,,,,,,,,,,
में,में,Circumstance,Circumstance,,में,Topic,Topic,,,में,Circumstance,Circumstance,,"acchi khaasi etc is not the topic of the looking at 
(but the fox is)"
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
लोमड़ी,,,,,,,,,,,,,,
हूं,,,,,,,,,,,,,,
