,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
छः,,,,,,,,,,,,,,
साल,,,,,,,,,,,,,,
बीत,,,,,,,,,,,,,,
गए,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैंने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
कभी,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
सुनाई,,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
कहानी,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मेरे,का,Theme,Theme,,का,Theme,Theme,,,का,Theme,Theme,,
जिंदा,,,,,,,,,,,,,,
वापिस,,,,,,,,,,,,,,
आने,,,,,,,,,,,,,,
पर,पर,Explanation,Time,,पर,Explanation,Time,,,पर,Explanation,Time,,
मेरे,का,SocialRel,Gestalt,,का,SocialRel,Gestalt,,,का,SocialRel,Gestalt,,
दोस्त,,,,,,,,,,,,,,
खुश,,,,,,,,,,,,,,
हुए,,,,,,,,,,,,,,
थे,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
उदास,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
लेकिन,,,,,,,,,,,,,,
मैंने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
उनसे,से,Recipient,Ancillary,,से,Recipient,Ancillary,,,से,Recipient,Ancillary,,
कहा,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
कुछ,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
बस,,,,,,,,,,,,,,
थका,,,,,,,,,,,,,,
हुआ,,,,,,,,,,,,,,
हूं,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
अब,,,,,,,,,,,,,,
कुछ,,,,,,,,,,,,,,
संभला,,,,,,,,,,,,,,
हूं,,,,,,,,,,,,,,
पर,पर,NONSNACS,NONSNACS,,,,,,,पर,NONSNACS,NONSNACS,,
पूरी,,,,,,,,,,,,,,
तरह,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
