,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
"""",,,,,,,,,,,,,,
नमस्कार,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
नमस्कार,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
दुकानदार,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
जवाब,,,,,,,,,,,,,,
दिया,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
दुकानदार,,,,,,,,,,,,,,
ऐसी,,,,,,,,,,,,,,
गोली,,,,,,,,,,,,,,
बेच,,,,,,,,,,,,,,
रहा,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
जिससे,से,Causer,Source,,से,Causer,Source,,,से,Causer,Source,,
प्यास,,,,,,,,,,,,,,
शांत,,,,,,,,,,,,,,
हो,,,,,,,,,,,,,,
जाए,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
हफ़्ते,,,,,,,,,,,,,,
में,में,Frequency,Frequency,,में,Time,Time,,,में,Frequency,Time,,**recheck?**
बस,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
गोली,,,,,,,,,,,,,,
खाएं,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
प्यास,,,,,,,,,,,,,,
बिल्कुल,,,,,,,,,,,,,,
न,,,,,,,,,,,,,,
लगे,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
क्यों,,,,,,,,,,,,,,
बेच,,,,,,,,,,,,,,
रहे,,,,,,,,,,,,,,
हो,,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
सब?,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
पूछा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
कितना,,,,,,,,,,,,,,
वक्त,,,,,,,,,,,,,,
बचता,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
इससे,से,Causer,Source,,से,Causer,Source,,,से,Causer,Source,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
दुकानदार,,,,,,,,,,,,,,
बोला,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
जानकार,,,,,,,,,,,,,,
लोगों,,,,,,,,,,,,,,
ने,ने,Agent,Agent,,ने,Agent,Agent,,,ने,Agent,Agent,,
हिसाब,,,,,,,,,,,,,,
लगाया,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
हफ़्ते,,,,,,,,,,,,,,
में,में,Frequency,Frequency,,में,Time,Time,,,में,Frequency,Time,,**recheck**?
तिरपन,,,,,,,,,,,,,,
मिनट,,,,,,,,,,,,,,
बचते,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
इससे,से,Causer,Source,,से,Causer,Source,,,से,Causer,Source,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
इन,,,,,,,,,,,,,,
तिरपन,,,,,,,,,,,,,,
मिनटों,,,,,,,,,,,,,,
का,का,Theme,Theme,,का,Theme,Theme,,,का,Theme,Theme,,
क्या,,,,,,,,,,,,,,
इस्तेमाल,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
आदमी,,,,,,,,,,,,,,
जो,,,,,,,,,,,,,,
चाहे,,,,,,,,,,,,,,
करे,,,,,,,,,,,,,,
इनका,का,Theme,Theme,,का,Theme,Theme,,,का,Theme,Theme,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
यदि,,,,,,,,,,,,,,
तिरपन,,,,,,,,,,,,,,
मिनट,,,,,,,,,,,,,,
बिताने,,,,,,,,,,,,,,
हों,,,,,,,,,,,,,,
तो,तो,`d,`d,,,,,,,तो,`d,`d,,
मैं,,,,,,,,,,,,,,
धीरे-धीरे,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
फव्वारे,,,,,,,,,,,,,,
के,के पास,Goal,Locus,1:1,के पास,Goal,Locus,1:1,,के पास,Goal,Locus,,
पास,के पास,,,1:2,के पास,,,1:2,,के पास,,,,
चला,,,,,,,,,,,,,,
जाऊँगा,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
